team_id,team_name,league_name
13,Arsenal,PremierLeague
24,Aston Villa,PremierLeague
183,Bournemouth,PremierLeague
15,Chelsea,PremierLeague
162,Crystal Palace,PremierLeague
31,Everton,PremierLeague
14,Leicester,PremierLeague
26,Liverpool,PremierLeague
167,Manchester City,PremierLeague
32,Manchester United,PremierLeague
23,Newcastle United,PremierLeague
168,Norwich,PremierLeague
18,Southampton,PremierLeague
96,Stoke,PremierLeague
16,Sunderland,PremierLeague
259,Swansea,PremierLeague
30,Tottenham,PremierLeague
27,Watford,PremierLeague
175,West Bromwich Albion,PremierLeague
29,West Ham,PremierLeague
