team_id,team_name,league_name
1537,Amkar,RussiaLeague
1002,Anzhi Makhachkala,RussiaLeague
847,CSKA Moscow,RussiaLeague
846,Dinamo Moscow,RussiaLeague
7164,FC Krasnodar,RussiaLeague
562,FC Rostov,RussiaLeague
9004,FC Ufa,RussiaLeague
997,Krylya Sovetov Samara,RussiaLeague
2290,Kuban Krasnodar,RussiaLeague
668,Lokomotiv Moscow,RussiaLeague
4173,Mordovya,RussiaLeague
2057,Rubin Kazan,RussiaLeague
840,Spartak Moscow,RussiaLeague
2407,Terek Grozny,RussiaLeague
4174,Ural,RussiaLeague
560,Zenit St. Petersburg,RussiaLeague
