player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
67352,br,Caiuby,27," AM(L),FW",184,85,25,1,2218,4,5,11,0.0,2.6,64.1,3,7.6,7.60,1.5,1.3,2.5,0,1.6,0.8,0.4,0.0,1.5,1.4,0.3,1.6,1.8,1.5,28.6,64.1,0.3,0.8,Augsburg,Bundesliga
86497,kr,Ja-Cheol Koo,27, M(CLR),183,75,24,3,2081,8,1,6,0.0,1.5,79.7,2,2.6,7.20,1.9,1.5,1.3,0,0.8,0.7,0.1,0.0,1,1.6,0.0,1.6,1.5,1,30.2,79.7,0.2,1.1,Augsburg,Bundesliga
44722,is,Alfred Finnbogason,27, FW,184,78,13,1,1133,7,1,3,0.0,2.4,69.2,0,1.4,7.04,1.1,1,1.6,0,0.7,0.6,0.1,0.0,1,0.6,0.8,1.4,1.5,1,20.6,69.2,0,0.5,Augsburg,Bundesliga
5763,de,Daniel Baier,32, M(C),176,77,28,0,2334,1,2,7,0.0,0.6,77,2,1.8,7.02,1.7,2.4,1.1,0,1.7,1,0.2,0.0,1.8,1.7,0,0.5,0.7,1.8,52.7,77,1,4.8,Augsburg,Bundesliga
36152,ch,Marwin Hitz,28, GK,193,86,33,0,2967,0,0,2,0.0,0,63.4,3,0.4,6.95,0,0,0,0,0.7,0.1,0,0,0,0.2,0,0,0,0,32.8,63.4,0,10.1,Augsburg,Bundesliga
25042,py,Raúl Bobadilla,29," AM(R),FW",181,88,19,8,1816,4,2,2,1,2.3,76.7,1,1.1,6.89,1,0.6,1.6,0,0.4,0.5,0.1,0,1.1,2,0.9,2,2.3,1.1,17.6,76.7,0.5,0.7,Augsburg,Bundesliga
106486,gr,Konstantinos Stafylidis,22, D(L),178,73,8,3,686,1,0,2,0,0.9,73.2,1,1.5,6.88,1.9,2.2,0.9,0.3,2.9,0.5,0.4,0.0,0.4,0.5,0,0.5,0.5,0.4,24.5,73.2,0.5,2.7,Augsburg,Bundesliga
10839,ee,Ragnar Klavan,30, D(C),187,85,31,0,2787,0,0,2,0,0.3,85.3,1,2.3,6.84,1.3,1.4,0.8,0.4,5.8,0.3,0.9,0.0,0.2,0.5,0,0.1,0.2,0.2,48.4,85.3,0.1,4.1,Augsburg,Bundesliga
6577,de,Jan-Ingwer Callsen-Bracker,31, D(C),188,88,8,2,741,1,0,1,0,0.5,83.4,0,1.9,6.84,1.1,2.5,1.4,0.4,4.2,0.6,1.2,0.0,0.1,0.4,0,0,0.3,0.1,35.5,83.4,0,3.8,Augsburg,Bundesliga
110165,de,Dominik Kohr,22, DMC,183,75,30,1,2512,0,3,12,0,0.8,77.5,0,2,6.84,2,3,2.1,0.1,2.4,1.4,0.5,0.0,0.3,1.4,0,0.7,0.5,0.3,36.1,77.5,0,2.6,Augsburg,Bundesliga
97422,kr,Jeong-Ho Hong,26, D(C),186,80,19,4,1714,2,0,4,0,0.7,83.4,1,3,6.82,1,1.9,0.9,0.4,5,0.4,0.8,0.0,0.1,0.4,0,0,0.3,0.1,40,83.4,0,4.5,Augsburg,Bundesliga
66696,de,Alexander Esswein,26, AM(LR),183,85,22,7,1809,3,1,1,0,1.6,71.5,1,0.9,6.82,1.3,1.2,1.1,0,0.2,0.6,0,0.0,1.1,1,0.4,0.5,1.1,1.1,17.4,71.5,0.5,0.3,Augsburg,Bundesliga
60235,gh,Daniel Opare,25, D(LR),175,74,4,0,360,0,0,2,0,0.5,68.5,0,1.5,6.81,1.3,2.5,1.3,0.3,4.8,0.3,0,0.0,0.5,1.8,0,0.5,1.3,0.5,22.3,68.5,0.5,1,Augsburg,Bundesliga
97351,nl,Jeffrey Gouweleeuw,24, D(C),187,84,11,0,990,0,0,2,1,0.2,78.4,0,2.3,6.80,1.8,2.1,1.5,0.6,5.9,0.7,1,0.0,0.5,0.5,0,0.3,0.4,0.5,45.5,78.4,0,4.9,Augsburg,Bundesliga
142466,de,Philipp Max,22, D(L),177,77,23,3,2085,0,0,3,0,0.3,73.3,0,0.9,6.77,2.1,2,1.1,0.1,2.2,1.2,0.2,0.0,0.6,0.6,0,0.3,0.9,0.6,27.5,73.3,0.7,1.7,Augsburg,Bundesliga
16243,nl,Paul Verhaegh,32, D(R),178,74,25,0,2200,6,2,8,0,0.4,80.4,1,1.4,6.77,1,2,0.6,0.3,2,0.4,0.4,1,0.6,0.7,0,0.4,0.4,0.6,42,80.4,0.4,3.5,Augsburg,Bundesliga
5759,de,Markus Feulner,34," D(LR),M(CR)",183,82,11,9,1082,1,0,5,0,0.7,72.8,0,0.9,6.55,2.1,1,1.5,0.2,1.5,0.9,0.2,0.0,0.4,0.9,0,0.6,0.9,0.4,17.1,72.8,0.4,0.8,Augsburg,Bundesliga
19044,de,Tobias Werner,30, AM(L),174,70,7,6,700,0,1,2,0,1.7,64.7,0,0.8,6.50,0.5,1.5,0.6,0,0.5,0.4,0,0,1.3,0.6,0.2,0.2,1,1.3,11.5,64.7,0.6,0.9,Augsburg,Bundesliga
5533,tr,Halil Altintop,33," AM(C),FW",186,75,15,4,1206,1,2,1,0,0.7,78.5,0,0.4,6.48,1.1,0.3,0.6,0,0.3,0.4,0,0.0,0.8,0.9,0.2,1.2,1.3,0.8,19.8,78.5,0.1,1.1,Augsburg,Bundesliga
143693,ch,Albian Ajeti,19, Forward,183,77,0,1,36,0,0,0,0,0,66.7,0,1,6.33,1,0,2,0,0,0,0,0.0,0,0,0,1,0,0,3,66.7,0,0,Augsburg,Bundesliga
25518,si,Tim Matavz,27, FW,188,81,3,8,369,0,0,1,0,1.2,59.4,0,1.6,6.32,0.7,0,0.4,0,0,0.4,0,0,0.4,1.1,0.5,0.7,0.6,0.4,6.3,59.4,0.1,0,Augsburg,Bundesliga
36018,cz,Jan Morávek,26, M(C),180,75,3,8,393,1,0,0,0,0.5,75.1,0,1.2,6.28,0.8,0.7,0.8,0,0.1,0.8,0,0,0.5,0.2,0,0.6,0.4,0.5,16.8,75.1,0,0.4,Augsburg,Bundesliga
96084,kr,Dong-Won Ji,25," AM(CL),FW",187,77,7,14,786,0,0,2,0,0.6,74.6,0,1,6.25,0.4,0.4,1.1,0.1,0.3,0.2,0.1,0,0.6,0.6,0.1,0.7,0.7,0.6,14.4,74.6,0.1,0.4,Augsburg,Bundesliga
35744,de,Christoph Janker,31, D(C),185,77,3,9,367,0,0,2,0,0.1,83.1,0,0.5,6.20,0.6,0.5,0.5,0,1.5,0.2,0.5,0,0,0.6,0,0.2,0.1,0,12.3,83.1,0,0.9,Augsburg,Bundesliga
6111,de,Piotr Trochowski,32, M(CL),169,72,2,4,152,0,0,0,0,1,79,0,0.3,6.10,0.5,0,0.7,0,0,0,0,0,0.5,0.8,0,0.2,0.5,0.5,13.5,79,0.2,0.3,Augsburg,Bundesliga
31554,de,Sascha Mölders,31, FW,187,82,0,4,26,0,0,0,0,0.5,28.6,0,0.3,6.08,0.3,0,1,0,0,0,0,0,0,0,0,0.3,0,0,1.8,28.6,0,0,Augsburg,Bundesliga
2856,at,Alexander Manninger,39, GK,189,85,1,1,93,0,0,0,0,0,62.5,0,0,5.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,62.5,0,4,Augsburg,Bundesliga
