player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
29940,de,Lars Bender,27, M(C),185,81,11,0.0,887,1,1,3,0.0,1,78.7,3,4,7.54,4.7,3.4,2,0.2,1.5,1.5,0.1,0.0,0.7,1.2,0.2,0.5,0.7,0.7,48.3,78.7,0.1,2,Bayer Leverkusen,Bundesliga
91060,de,Karim Bellarabi,26," AM(CLR),FW",183,80,31,2,2607,6,11,5,0.0,2.2,69.7,1,0.1,7.20,1.6,0.9,2,0,0.2,1.1,0,0.0,1.3,1.8,0.9,2.4,1.6,1.3,24.5,69.7,0.2,0.7,Bayer Leverkusen,Bundesliga
134946,de,Jonathan Tah,20, D(C),194,98,29,0,2566,0,0,2,0.0,0.5,79,0,3.6,7.19,1.4,3.1,0.8,0.8,4.3,0.7,0.3,0.0,0.2,0.8,0,0.4,0.5,0.2,42.1,79,0,3.1,Bayer Leverkusen,Bundesliga
110373,tr,Hakan Calhanoglu,22," M(CLR),FW",176,76,27,4,2265,3,5,1,0.0,2.8,74.3,2,1.2,7.19,1.3,1.2,1,0,0.5,0.8,0,0.0,2.6,1,0.1,1.5,1.9,2.6,40.5,74.3,1.8,3,Bayer Leverkusen,Bundesliga
80994,si,Kevin Kampl,25, M(CR),178,65,19,3,1746,3,2,4,0.0,1.3,82.1,0,0.9,7.18,1.8,2.8,1.5,0,0.6,1.1,0.3,0.0,0.9,0.7,0,1.2,1.2,0.9,47,82.1,0.1,2.2,Bayer Leverkusen,Bundesliga
8096,de,Stefan Kießling,32, FW,191,82,19,11,1885,5,3,1,0.0,1.4,60,5,7,7.17,1.1,0.5,1.5,0,0.8,0.7,0,0.0,0.5,2.2,0.5,1.8,1.3,0.5,22.2,60,0,0.2,Bayer Leverkusen,Bundesliga
296769,de,Benjamin Henrichs,19, Midfielder,182,78,5,4,538,0,1,1,0.0,0,72.4,0,1.2,7.12,3.8,3.3,0.9,0.1,1.7,0.8,0.2,0.0,0.3,1.1,0,0.3,0.8,0.3,20.1,72.4,0,1.4,Bayer Leverkusen,Bundesliga
35003,mx,Chicharito,28, FW,175,73,25,3,2174,17,2,6,0.0,2.3,74.2,0,1.2,7.10,0.5,0.3,0.9,0,0.2,0.2,0,0.0,1,1.9,1.3,1.1,1.9,1,19.1,74.2,0.1,0.3,Bayer Leverkusen,Bundesliga
43589,tr,Ömer Toprak,26, D(C),187,84,17,2,1412,1,0,2,0.0,0.6,76.2,2,2.9,7.09,1.9,2.4,1.1,0.5,3.9,0.6,0.7,0.0,0.3,0.6,0.1,0.2,0.4,0.3,38.9,76.2,0,3.7,Bayer Leverkusen,Bundesliga
13757,pl,Sebastian Boenisch,29, D(L),191,90,7,1,548,1,0,1,1,1,64.2,0,4.4,7.06,2.3,3.1,1.1,0,2.4,0.4,0.5,0.0,0.4,0.6,0.1,0.1,1,0.4,38.4,64.2,0.3,2.6,Bayer Leverkusen,Bundesliga
102365,de,Christoph Kramer,25, DMC,191,79,28,0,2400,0,1,3,0,0.3,83.3,0,2.3,7.03,2.8,1.6,1.5,0,1,1.6,0.1,0.0,0.6,1.2,0.1,1.3,1,0.6,55.5,83.3,0.1,2.6,Bayer Leverkusen,Bundesliga
132273,br,Wendell,22, D(L),176,66,26,2,2407,0,0,9,1,0.7,75,0,1.6,6.94,2.9,3.6,2,0.2,2.6,1.2,0,0.0,0.7,1.4,0,0.8,1.3,0.7,45.5,75,0.2,2.3,Bayer Leverkusen,Bundesliga
25657,cl,Charles Aránguiz,27, M(C),171,71,5,2,469,2,1,1,0,1.7,81.7,0,0,6.90,0.9,2.6,1.9,0,1.1,1.6,0.4,0.0,0.7,1.4,0,0.4,0.9,0.7,28.9,81.7,0.3,2.9,Bayer Leverkusen,Bundesliga
82961,it,Giulio Donati,26, D(R),178,84,10,2,932,0,1,4,0,0.3,69,0,1.3,6.88,2,2.4,1.1,0.2,1.9,0.8,0.3,0.0,0.5,2,0,0.1,0.5,0.5,33.9,69,0.5,2.5,Bayer Leverkusen,Bundesliga
