player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
29400,pl,Robert Lewandowski,27, FW,185,79,29,3,2654,30,2,2,0.0,4.8,79.2,6,1.7,7.58,0.4,0.2,1.1,0,0.5,0.2,0,0,0.7,1.5,1.2,1.5,2.7,0.7,23.8,79.2,0,0.4,Bayern Munich,Bundesliga
68889,br,Douglas Costa,25, M(CLR),172,65,23,4,1973,4,9,1,0.0,2.4,80.1,3,0.1,7.56,0.7,0.6,1,0,0.2,0.4,0,0,1.8,0.8,0.4,0.7,1.3,1.8,34.8,80.1,1.3,1,Bayern Munich,Bundesliga
125883,fr,Kingsley Coman,20," AM(LR),FW",178,71,20,3,1688,4,6,0,0.0,1.6,84.5,2,0.6,7.52,0.6,0.4,0.6,0,0.2,0.6,0,0,1.5,2,0.1,0.7,1.3,1.5,34.8,84.5,0.7,0.3,Bayern Munich,Bundesliga
37099,de,Thomas Müller,26," M(CR),FW",186,75,26,5,2345,20,5,4,0.0,3,77,3,1.7,7.49,0.8,0.5,0.8,0,0.5,0.6,0,0,1.9,0.9,0.4,1.1,1.5,1.9,34.1,77,0.2,0.9,Bayern Munich,Bundesliga
25008,cl,Arturo Vidal,29, M(C),180,75,24,6,2048,4,5,3,0.0,1.7,90.2,4,1.6,7.40,2.7,1.3,2,0.1,0.6,1,0.2,0.0,1.6,1.3,0.2,0.4,0.5,1.6,67.8,90.2,0.4,3.3,Bayern Munich,Bundesliga
74939,es,Thiago Alcántara,25, M(C),172,71,16,11,1637,2,3,2,0.0,1.1,88.2,3,1,7.34,2.5,1.5,1.3,0.1,0.2,0.7,0.1,0.0,1.4,1.3,0.1,0.8,1,1.4,58.5,88.2,0.4,3.7,Bayern Munich,Bundesliga
80382,de,Mario Götze,24," M(CLR),FW",176,64,11,3,957,3,4,1,0.0,1.3,86.9,1,0.4,7.16,1.1,0.4,1.6,0,0.2,0.9,0,0,1.3,0.8,0.7,0.9,1.7,1.3,37.6,86.9,0.3,0.4,Bayern Munich,Bundesliga
4961,es,Xabi Alonso,34, M(C),183,80,23,3,1947,0,2,5,1,0.5,90.7,0,1.6,7.15,2.1,1.7,1.3,0.3,0.8,1.2,0.1,1,1.6,1.4,0,0.3,0.5,1.6,90.1,90.7,0.8,4.2,Bayern Munich,Bundesliga
4173,nl,Arjen Robben,32," M(CLR),FW",180,80,14,1,1101,4,1,1,0,3.5,80.4,1,0.5,7.14,0.3,0.4,0.3,0,0.1,0.3,0,0,1.8,0.9,0.7,0.8,1,1.8,38.1,80.4,0.6,1.3,Bayern Munich,Bundesliga
29888,ma,Mehdi Benatia,29, D(C),190,92,11,3,980,1,2,2,0,0.6,89.6,0,3.6,7.13,1.2,2.4,1.1,1,2.3,0.4,0.2,0,0.2,0.4,0.1,0,0.4,0.2,59.8,89.6,0,1.9,Bayern Munich,Bundesliga
5570,de,Philipp Lahm,32," D(R),DMC",170,66,25,1,2200,1,1,3,0,0.4,90.8,1,1,7.09,0.9,1.6,0.4,0.2,0.7,0.5,0.2,0,1.9,0.7,0.1,0.2,0.4,1.9,76.5,90.8,0.3,3.2,Bayern Munich,Bundesliga
14091,es,Javi Martínez,27," D(C),M(C)",190,81,11,5,1104,1,1,2,0,0.8,89.8,2,3.1,7.07,1.4,1.4,1,0.2,2,0.2,0.3,0,0.5,0.8,0,0.4,0.4,0.5,56.8,89.8,0.1,1.9,Bayern Munich,Bundesliga
9016,fr,Franck Ribéry,33, AM(L),170,72,6,7,683,2,3,1,0,1,81.3,1,0,7.02,0.1,0.5,0.8,0,0.2,0.8,0,0,2.1,1,0.6,0.5,0.7,2.1,39.5,81.3,0.7,1.5,Bayern Munich,Bundesliga
23589,de,Jérôme Boateng,27, D(CR),192,90,17,2,1353,0,3,3,1,0.4,86.5,0,1.6,6.96,0.7,1.6,0.5,0.8,2.2,0.3,0.2,0,0.7,0.2,0,0.1,0.3,0.7,68.4,86.5,0.2,7.2,Bayern Munich,Bundesliga
13755,br,Rafinha,30," D(CLR),M(R)",172,68,18,7,1748,0,3,7,0,0.4,92.6,0,0.7,6.95,1.3,1.5,0.9,0.3,0.8,0.4,0.2,0,0.8,0.9,0,0.2,0.5,0.8,72.1,92.6,0.4,2.6,Bayern Munich,Bundesliga
106894,es,Juan Bernat,23," D(L),M(L)",170,67,13,3,1149,0,1,2,0,0.6,90.7,0,1.3,6.95,1.3,1.6,0.7,0.3,1.3,0.4,0.1,0,0.4,0.8,0,0.6,0.6,0.4,50.8,90.7,0.2,1.2,Bayern Munich,Bundesliga
39722,at,David Alaba,23," D(CL),M(C)",180,76,27,3,2492,1,0,2,0,0.9,92.4,0,1,6.94,0.8,1.4,0.4,0.4,1.4,0.2,0.2,0,0.6,0.5,0,0.3,0.6,0.6,81.6,92.4,0.2,2.8,Bayern Munich,Bundesliga
29943,de,Holger Badstuber,27, D(CL),190,84,5,2,470,0,0,0,0,0.4,91.1,0,3.3,6.88,0.7,0.6,0.4,1,3,0,0,0,0.3,0.3,0,0,0,0.3,54.4,91.1,0,2,Bayern Munich,Bundesliga
283323,de,Joshua Kimmich,21," D(C),DMC",176,70,15,8,1423,0,2,3,0,0.3,92.2,0,0.8,6.80,1,1.1,0.5,0.4,0.5,0.7,0.1,0,0.4,1.3,0,0,0.5,0.4,66.6,92.2,0.1,3.2,Bayern Munich,Bundesliga
13754,de,Manuel Neuer,30, GK,193,92,34,0,3021,0,0,0,0,0,80.8,1,0.1,6.72,0,0,0,0,0.5,0,0,0,0,0.1,0,0,0,0,32.7,80.8,0,5.3,Bayern Munich,Bundesliga
13762,de,Serdar Tasci,29, D(C),186,80,3,0,220,0,0,1,0,0.3,89.4,0,2.3,6.67,0.3,2,1,0.7,1.7,0,0.7,0,0,0.3,0,0,0,0,63,89.4,0,1.7,Bayern Munich,Bundesliga
65581,de,Sebastian Rode,25, M(C),179,73,3,12,399,1,1,1,0,0.5,86.9,1,0.2,6.34,0.6,0.3,0.8,0,0.2,0.1,0.1,0,0.2,0.3,0,0.2,0.1,0.2,20.9,86.9,0.1,0.3,Bayern Munich,Bundesliga
35506,de,Sven Ulreich,27, GK,192,84,0,1,39,0,0,0,0,0,62.5,0,0,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,62.5,0,2,Bayern Munich,Bundesliga
6683,br,Dante,32, D(C),188,87,0,1,17,0,0,0,0,0,94.7,0,0,6.07,0,0,1,0,1,0,0,0,0,0,0,0,0,0,19,94.7,0,2,Bayern Munich,Bundesliga
298436,rs,Milos Pantovic,19, Forward,185,67,0,1,1,0,0,0,0,0,100,0,0,6.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,100,0,1,Bayern Munich,Bundesliga
