player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
28421,am,Henrikh Mkhitaryan,27, M(CLR),177,75,28,3,2578,11,15,5,0.0,2.6,75.7,11,0.8,7.90,1.7,1.5,1.7,0,0.5,0.8,0.1,0,2.7,1.9,0.6,2.3,1.3,2.7,43.4,75.7,1,1.3,Borussia Dortmund,Bundesliga
77464,de,Ilkay Gündogan,25, M(C),180,80,22,3,1994,1,3,1,0.0,2,87.8,1,0.8,7.43,1.5,2.3,1,0,0.6,1.3,0.1,0,1,1.8,0,1.1,1,1,80.9,87.8,0.1,3.5,Borussia Dortmund,Bundesliga
21541,de,Mats Hummels,27, D(C),191,92,29,1,2496,2,2,1,0.0,0.4,86.4,3,3.9,7.34,2,2.5,0.6,0.8,3.1,0.3,0.1,1,0.2,0.5,0,0.3,0.5,0.2,78.9,86.4,0.1,4.3,Borussia Dortmund,Bundesliga
44120,ga,Pierre-Emerick Aubameyang,27," M(LR),FW",187,80,28,3,2475,25,5,4,0.0,3.8,68.7,2,0.9,7.31,0.2,0.3,0.9,0,0.1,0.3,0.1,0,0.9,0.5,0.9,1,1.3,0.9,16.6,68.7,0.2,0.1,Borussia Dortmund,Bundesliga
41330,de,Marco Reus,27," M(CLR),FW",180,75,24,2,1927,12,3,2,0.0,2.4,82.1,2,0.3,7.20,1,0.7,0.9,0,0.1,0.2,0,0,1.7,1.1,1.4,1.1,1.2,1.7,29.9,82.1,0.3,0.8,Borussia Dortmund,Bundesliga
110182,de,Matthias Ginter,22," D(CR),DMC",190,88,21,3,1890,3,4,0,0.0,0.7,82.6,0,2.5,7.16,1.3,1.5,0.9,0.3,1.5,0.5,0.2,0,0.9,1.1,0,0.4,0.9,0.9,47.8,82.6,0.5,1.2,Borussia Dortmund,Bundesliga
11090,pl,Lukasz Piszczek,31, D(R),184,79,16,4,1519,0,3,3,0.0,0.7,84.2,0,2.1,7.15,1.2,2.2,0.5,0.2,2,0.6,0.4,0,1.1,0.6,0,0.5,0.7,1.1,54.6,84.2,0.5,1.3,Borussia Dortmund,Bundesliga
42862,jp,Shinji Kagawa,27, AM(CL),175,68,26,3,2172,9,7,2,0.0,1.1,85.2,3,0.6,7.06,1.2,0.6,0.9,0,0.1,0.3,0,0,1.4,1.2,0.2,1.8,1.6,1.4,50,85.2,0.1,2,Borussia Dortmund,Bundesliga
142318,de,Julian Weigl,20, DMC,186,71,25,5,2249,0,0,5,0.0,0.3,91.9,0,1.6,7.05,1.6,2.1,1.1,0,0.9,1,0.1,0,0.5,1.7,0,0.6,0.4,0.5,78.1,91.9,0,3,Borussia Dortmund,Bundesliga
22210,gr,Sokratis,28, D(CR),186,85,23,2,2113,1,0,5,0.0,0.4,88.8,1,3.6,7.02,2.1,1.4,1.3,0.9,2.7,0.4,0.4,0.0,0.1,1,0,0.4,0.4,0.1,74.9,88.8,0,3,Borussia Dortmund,Bundesliga
