player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
14958,br,Raffael,31," AM(CL),FW",174,69,30,1,2690,13,10,2,0.0,2.3,81.8,6,0.4,7.64,1.2,0.8,0.6,0,0,1,0.1,0,1.8,2,0.5,1.2,1.4,1.8,38,81.8,0.4,1.1,Borussia M.Gladbach,Bundesliga
30110,de,Lars Stindl,27," M(CR),FW",180,75,29,1,2597,7,8,5,0.0,2.2,80.3,1,1.5,7.44,1.5,1.4,2.3,0,0.6,1,0.2,0,1.8,2,0.5,1.4,1.4,1.8,47.3,80.3,0.1,1.4,Borussia M.Gladbach,Bundesliga
89401,ch,Granit Xhaka,23, M(C),185,82,28,0,2368,3,1,5,3,1.2,85.1,1,3.4,7.35,2.4,2.7,2.6,0.1,1.6,0.8,0.3,0.0,0.8,1.8,0,0.8,1,0.8,82.7,85.1,0,7.4,Borussia M.Gladbach,Bundesliga
25814,gn,Ibrahima Traoré,28, AM(LR),172,61,17,7,1471,3,1,1,0,1.7,77.8,2,0.3,7.27,1.9,0.8,0.7,0,0.3,1,0.1,0,1.5,1.5,0.2,0.9,1,1.5,28.1,77.8,1.3,1.4,Borussia M.Gladbach,Bundesliga
135092,sy,Mahmoud Dahoud,20, M(C),177,67,27,5,2084,5,8,4,0,1.2,83.5,2,0.6,7.13,2.2,1.8,1.7,0,0.4,1.1,0.1,0,1,1.2,0.1,0.9,1.1,1,40.5,83.5,0,2.2,Borussia M.Gladbach,Bundesliga
130331,dk,Andreas Christensen,20, D(C),188,74,31,0,2790,3,1,1,0,0.5,87.6,0,2.9,7.08,1.4,2.7,0.4,0.8,4.2,0.4,0.6,1,0.1,0.7,0,0,0.3,0.1,59.8,87.6,0,3.1,Borussia M.Gladbach,Bundesliga
96854,de,André Hahn,25," AM(R),FW",185,80,7,8,739,8,1,1,0,1.7,61.4,3,2.9,7.01,0.9,0.7,1.7,0,0.1,0.5,0,0,0.5,1.1,0.8,0.5,1.2,0.5,16.6,61.4,0,0.3,Borussia M.Gladbach,Bundesliga
21742,no,Håvard Nordtveit,26," D(CR),DMC",188,83,27,4,2449,4,1,4,0,0.7,82.4,0,2.8,6.96,1.2,1.9,0.9,0.4,2.8,0.4,0.6,0,0.3,0.7,0,0.1,0.5,0.3,55.7,82.4,0.1,4.7,Borussia M.Gladbach,Bundesliga
30577,us,Fabian Johnson,28," D(LR),M(LR)",183,74,25,1,2161,6,4,2,0,1,77.1,0,1.1,6.95,1,1.2,0.6,0.1,0.7,0.2,0.1,0,1.1,1,0.3,1,1.2,1.1,33.9,77.1,0,0.7,Borussia M.Gladbach,Bundesliga
10088,se,Oscar Wendt,30," D(L),M(L)",181,82,30,0,2638,3,2,5,0,0.7,79.6,1,1.3,6.94,1.7,2.2,0.7,0.1,1.8,0.5,0.2,0,0.9,0.5,0.2,0.4,0.9,0.9,47.6,79.6,0.5,1.7,Borussia M.Gladbach,Bundesliga
243534,ch,Nico Elvedi,19, D(C),188,83,17,4,1548,0,2,2,0,0.1,83.1,0,2.7,6.92,1.8,2.3,0.8,0.6,3.1,0.3,0.3,0,0.2,0.8,0,0.2,0.7,0.2,44.6,83.1,0,1.2,Borussia M.Gladbach,Bundesliga
32849,de,Tobias Sippel,28, GK,183,78,2,0,180,0,0,0,0,0,72.1,0,0.5,6.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,72.1,0,4.5,Borussia M.Gladbach,Bundesliga
101537,be,Thorgan Hazard,23," AM(CLR),FW",174,69,19,10,1647,4,3,4,0,1.6,75.4,2,0.7,6.89,1.4,0.9,1.6,0,0.2,1,0,0,1.2,0.8,0.4,0.8,0.9,1.2,26.7,75.4,0.7,1,Borussia M.Gladbach,Bundesliga
35771,es,Álvaro Domínguez,27, D(CL),189,83,5,1,472,0,0,1,0,0,80.3,0,3.2,6.82,0.8,1.3,0.7,1,2.8,0.3,0.7,0,0.2,1.3,0.2,0.2,0.2,0.2,51.7,80.3,0,2.8,Borussia M.Gladbach,Bundesliga
35758,ch,Yann Sommer,27, GK,183,79,32,0,2880,0,0,2,0,0,69.3,0,0.5,6.63,0,0,0,0,0.3,0,0,0,0,0.1,0,0,0,0,39.2,69.3,0,7,Borussia M.Gladbach,Bundesliga
35745,de,Tony Jantschke,26, D(CR),177,74,8,4,749,0,0,2,0,0.3,82.7,0,2.6,6.62,2,1.9,0.7,0.5,2.8,0.4,0.1,0,0.1,1.1,0,0,0.1,0.1,48.1,82.7,0,2.4,Borussia M.Gladbach,Bundesliga
83234,de,Patrick Herrmann,25," M(LR),FW",179,70,5,13,629,3,1,0,0,0.7,71.1,1,0.5,6.57,0.7,0.5,0.4,0,0.2,0.4,0,0,0.7,1.2,0,0.3,0.6,0.7,11.2,71.1,0.2,0.2,Borussia M.Gladbach,Bundesliga
83659,at,Martin Hinteregger,23, D(C),184,78,6,4,658,0,0,0,0,0.4,76.7,0,2.5,6.55,2.3,1.7,0.4,0.4,1.5,0.7,0.3,2,0.4,0.2,0,0.4,0.4,0.4,41.7,76.7,0.1,2.6,Borussia M.Gladbach,Bundesliga
104886,de,Julian Korb,24, D(R),177,69,14,3,1267,1,1,4,0,0.4,76.3,0,0.5,6.55,1.5,1.8,1,0.1,1.5,1.1,0.2,0,0.4,0.8,0.1,0.5,0.6,0.4,37.9,76.3,0.1,1.2,Borussia M.Gladbach,Bundesliga
