player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
22669,de,Sandro Wagner,28, FW,194,90,27,5,2477,14,4,8,1,2.7,50.4,5,7.3,7.19,1,0.4,3,0,1.5,0.5,0.2,0,0.9,2.3,0.5,1.5,2.2,0.9,28,50.4,0.1,0.8,Darmstadt,Bundesliga
133503,tr,Aytac Sulu,30, D(C),183,80,33,0,2970,7,0,6,0,0.6,56.3,5,3.1,7.13,1.6,3.2,1,0.8,5.6,0.3,0.9,2,0.3,1.6,0.1,0,0.2,0.3,16.6,56.3,0,2.5,Darmstadt,Bundesliga
66284,de,Florian Jungwirth,27, D(R),181,79,16,3,1496,0,1,4,0,0.4,61.2,0,2.1,7.01,2.9,3.5,0.9,0.1,2.7,1,0.3,0.0,0.3,1,0,0.2,0.4,0.3,16.9,61.2,0.3,1.2,Darmstadt,Bundesliga
14639,de,Peter Niemeyer,32, M(C),191,83,31,0,2573,2,0,13,0,0.9,55.6,1,3.9,6.98,2.7,2.9,2.2,0,1.3,1.4,0.4,0.0,0.2,1.7,0.1,0.2,0.5,0.2,23.4,55.6,0,1.3,Darmstadt,Bundesliga
133505,de,Jérôme Gondorf,27, DMC,175,76,33,0,2918,3,4,9,0,0.7,59.9,0,1.9,6.90,2.3,2.6,1.9,0.1,1.3,1.8,0.3,0.0,0.6,2.1,0.1,1,1.2,0.6,25.3,59.9,0.2,1.7,Darmstadt,Bundesliga
33071,rs,Slobodan Rajkovic,27, D(C),191,88,12,3,1008,1,1,4,0,0.3,54.4,1,2.1,6.82,1.1,2.2,1.5,0.3,5.5,0.4,0.8,0,0.1,0.7,0.1,0.1,0.1,0.1,13.7,54.4,0,1.5,Darmstadt,Bundesliga
67431,it,Luca Caldirola,25, D(CL),189,79,34,0,3060,0,1,4,0,0.4,59.5,0,2,6.82,2.1,2.5,1.1,0.4,4,0.7,0.7,0.0,0.2,1.7,0,0,0.4,0.2,16.7,59.5,0,2,Darmstadt,Bundesliga
21653,de,Marcel Heller,30, M(R),175,70,33,0,2934,6,5,7,0,1,55.4,2,0.5,6.70,1.8,1.1,1.3,0,0.3,1.6,0,0.0,0.9,1.3,0.7,0.9,1.4,0.9,15.7,55.4,0.6,0.6,Darmstadt,Bundesliga
24372,cr,Júnior Díaz,32, D(L),185,76,9,3,868,0,0,2,0,0.4,58.6,0,2.4,6.68,2.1,2.5,0.9,0.8,3,0.7,0.3,0.0,0.4,0.8,0,0.3,0.1,0.4,14.1,58.6,0.1,1.5,Darmstadt,Bundesliga
12492,at,György Garics,32," D(R),M(R)",183,76,20,1,1796,0,0,8,0,0.1,64.2,0,1,6.63,1.5,3,1.2,0.5,3.4,1.1,0.2,1,0.1,0.4,0,0.2,0.6,0.1,20.3,64.2,0.1,2.2,Darmstadt,Bundesliga
