player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
5486,de,Alexander Meier,33," M(C),FW",196,96,19,0.0,1658,12,1,0.0,1,2.6,66.9,3,5.4,7.32,0.3,0.7,0.9,0,1.5,0.3,0,0.0,0.9,0.5,0.6,0.5,1,0.9,26.3,66.9,0,0.6,Eintracht Frankfurt,Bundesliga
116466,de,Marc Stendera,20, M(C),173,73,24,2,2051,2,1,9,0,1.5,76.6,1,0.7,7.07,3.2,2,1.8,0.0,0.3,1.8,0.1,0.0,1,1.5,0,1.7,1.2,1,39.3,76.6,0.8,2.3,Eintracht Frankfurt,Bundesliga
7421,hu,Szabolcs Huszti,33, AM(CLR),173,72,14,1,1184,1,2,5,0,1.3,75.6,1,1.8,7.02,2.4,1.5,2.3,0.0,0.7,0.9,0.1,0.0,2.2,2.3,0.1,1.2,1.3,2.2,39.1,75.6,1.5,1.3,Eintracht Frankfurt,Bundesliga
67925,de,Bastian Oczipka,27, D(L),185,87,30,0,2700,0,0,7,0,0.3,78.4,0,1.2,6.90,1.9,2.6,0.9,0.2,1.6,0.4,0.3,0.0,0.7,1.1,0,0.8,0.8,0.7,42.4,78.4,0.7,1.3,Eintracht Frankfurt,Bundesliga
13753,de,Marco Russ,30," D(C),DMC",190,88,26,2,2350,3,2,9,0,0.8,79.1,1,3.4,6.87,1.1,2.3,0.9,0.9,3.2,0.6,0.5,0.0,0.2,1,0.1,0.3,0.7,0.2,36.9,79.1,0,1.4,Eintracht Frankfurt,Bundesliga
71862,rs,Aleksandar Ignjovski,25," D(LR),M(C)",175,70,13,5,1221,0,2,3,0,0.5,66.1,0,1.6,6.77,2.2,2.1,0.8,0.5,0.9,1.2,0.2,0.0,0.5,1.4,0,0.9,0.6,0.5,26.2,66.1,0.6,0.9,Eintracht Frankfurt,Bundesliga
23199,ar,David Abraham,29, D(C),188,83,28,3,2548,0,0,8,0,0.4,80.5,1,3.5,6.76,1.2,2.5,1.1,1.4,3.8,0.7,0.4,0.0,0.2,0.7,0,0.2,0.1,0.2,37,80.5,0,2.7,Eintracht Frankfurt,Bundesliga
33134,pe,Carlos Zambrano,26, D(C),185,83,21,3,1793,0,0,8,1,0.2,84.5,0,2.1,6.75,1,2.5,1.4,0.9,3.2,1,0.4,0.0,0,2.4,0,0.3,0.3,0,37.6,84.5,0,1.9,Eintracht Frankfurt,Bundesliga
64846,fi,Lukas Hradecky,26, GK,190,80,34,0,3060,0,0,0,0,0,58.1,1,0.4,6.73,0,0,0,0,1.4,0.1,0,0.0,0,0.1,0,0,0,0,34.5,58.1,0,9.9,Eintracht Frankfurt,Bundesliga
16954,jp,Makoto Hasebe,32," D(R),M(CR)",180,72,31,1,2674,1,2,9,0,0.2,75.7,0,1.6,6.72,1.7,1.7,1.1,0.1,1.3,1.1,0.3,0.0,0.9,1.4,0,0.8,0.6,0.9,39.7,75.7,0.2,2,Eintracht Frankfurt,Bundesliga
