player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
111307,de,Jonas Hector,26," D(L),DMC",185,75,32,0.0,2859,0.0,4,3,0.0,0.3,81.8,1,2.6,7.33,1.9,2.4,0.7,0.2,2.4,0.9,0.4,0.0,1.8,1.4,0,0.7,0.7,1.8,48.9,81.8,1,2.4,FC Cologne,Bundesliga
40535,de,Marcel Risse,26," D(R),M(CLR)",183,75,33,0.0,2963,3,5,5,0.0,1.4,61.9,5,0.3,7.25,2.9,1.9,1,0.1,0.6,1.1,0.1,0.0,2,0.7,0,0.5,0.8,2,35.6,61.9,1.7,3.3,FC Cologne,Bundesliga
25605,fr,Anthony Modeste,28, FW,187,84,33,1,2875,15,3,4,0.0,3.2,59.6,5,5.7,7.12,0.2,0.3,1.3,0,1.1,0.3,0.1,0.0,0.6,2.1,1.7,0.8,2.4,0.6,18.4,59.6,0,0.2,FC Cologne,Bundesliga
40933,si,Dominic Maroh,29, D(C),186,85,23,2,2122,2,1,7,0.0,0.8,87,3,3,7.04,1.7,3,1.1,0.4,4.2,0.6,0.8,0.0,0.1,0.6,0,0.2,0.3,0.1,47.2,87,0,2.8,FC Cologne,Bundesliga
20091,al,Mergim Mavraj,30, D(C),189,84,11,1,991,0,0,1,0.0,0.4,83.5,1,3.1,7.03,2.5,1.3,1.3,0.5,6.1,0.4,0.8,0.0,0,1,0,0.1,0.2,0,33.3,83.5,0,1.5,FC Cologne,Bundesliga
100805,de,Leonardo Bittencourt,22, AM(CLR),171,63,27,2,2219,3,4,2,1,1.3,71.2,0,0.8,6.96,2.7,1.3,1.8,0,0.2,1.7,0.1,0.0,1.3,2.2,0.2,1,1.7,1.3,28,71.2,0.3,0.8,FC Cologne,Bundesliga
93459,dk,Frederik Sörensen,24, D(CR),194,88,19,3,1676,0,2,5,0,0.3,77.3,1,2.3,6.95,2,1.7,1,0.2,4.9,0.8,1,0.0,0.2,0.7,0,0,0.2,0.2,36.9,77.3,0,3.7,FC Cologne,Bundesliga
110132,de,Dominique Heintz,22, D(C),189,87,32,1,2874,2,0,3,0,0.4,82.1,2,1.9,6.89,2,2.4,0.8,0.3,4.2,0.8,0.4,0.0,0.1,0.5,0,0.4,0.4,0.1,43.8,82.1,0,4,FC Cologne,Bundesliga
90967,de,Timo Horn,23, GK,192,90,33,0,2970,0,0,0,0,0,58.1,1,0.5,6.85,0,0,0,0,0.7,0,0,0.0,0,0.3,0,0,0,0,27.3,58.1,0,8.1,FC Cologne,Bundesliga
130899,de,Yannick Gerhardt,22, M(CL),184,81,22,7,1887,2,4,3,0,0.9,80,0,1.4,6.78,2,1.2,1,0,0.5,0.9,0.1,0.0,0.8,1.5,0.1,0.7,1.6,0.8,27.9,80,0.1,1.2,FC Cologne,Bundesliga
100615,rs,Filip Mladenovic,24," D(L),M(L)",180,65,10,4,850,0,2,1,0,0.9,70.8,0,0.5,6.70,1.5,1.3,0.8,0,1.3,0.6,0.3,0.0,1.1,0.4,0.1,0.7,0.8,1.1,20.8,70.8,1.1,1.1,FC Cologne,Bundesliga
72266,de,Kevin Vogt,24," D(R),M(C)",194,85,17,6,1479,0,2,4,0,0.4,80.1,0,1.9,6.65,1.1,1.2,1.2,0,0.8,0.6,0.5,0.0,0.6,1.2,0,0.4,0.6,0.6,38,80.1,0.2,3.7,FC Cologne,Bundesliga
5977,de,Matthias Lehmann,33, M(C),179,75,31,1,2775,0,2,6,1,0.4,83.2,0,1.2,6.57,1.7,1.6,1.3,0.1,1.1,1.1,0.3,0.0,0.6,0.9,0,0.2,0.3,0.6,42.8,83.2,0,2.3,FC Cologne,Bundesliga
71547,jp,Yuya Osako,26," AM(CR),FW",182,71,14,11,1346,1,0,2,0,1.3,75.5,0,1.2,6.56,1.1,0.5,1,0,0.3,0.4,0,0.0,0.8,1.6,0.4,1.2,1.2,0.8,19.1,75.5,0.2,1,FC Cologne,Bundesliga
119563,rs,Milos Jojic,24, M(CR),177,79,2,13,479,2,0,2,0,1.1,74,0,0.6,6.50,0.7,0.5,1.1,0,0.2,0.5,0,0.0,1,0.4,0.1,0.8,0.9,1,12.8,74,0.5,0.7,FC Cologne,Bundesliga
93749,de,Simon Zoller,24," AM(R),FW",179,70,14,10,1223,6,1,4,0,1.3,72.3,0,0.6,6.48,0.5,0.4,0.9,0,0.3,0.3,0,0.0,0.4,0.4,0.4,0.5,1,0.4,11.4,72.3,0,0.3,FC Cologne,Bundesliga
139891,pl,Pawel Olkowski,26, D(R),184,76,13,6,1059,0,0,1,0,0.4,69.9,0,1.1,6.42,1.2,1.4,0.5,0,1.7,0.6,0.2,0.0,0.1,0.7,0,0.3,0.3,0.1,21.7,69.9,0.1,0.4,FC Cologne,Bundesliga
14899,sk,Dusan Svento,30," D(L),M(L)",178,70,2,5,223,1,0,0,0,0.4,66.1,0,0.4,6.28,0,0.9,0,0,0.3,0,0,0.0,0.1,0.4,0.3,0.3,0.1,0.1,8,66.1,0.1,0.3,FC Cologne,Bundesliga
132205,jp,Kazuki Nagasawa,24, M(L),172,68,1,0,46,0,0,0,0,1,60,0,2,6.25,0,1,0,0,2,0,0,0.0,0,1,0,0,3,0,15,60,0,0,FC Cologne,Bundesliga
76984,at,Philipp Hosiner,27, FW,179,79,4,11,562,1,0,2,0,0.9,71,0,0.6,6.25,0.6,0,0.5,0,0.2,0.3,0,0.0,0.3,0.7,0.1,0.7,0.8,0.3,9.7,71,0,0.1,FC Cologne,Bundesliga
303747,de,Marcel Hartel,20, Midfielder,176,0,0,6,74,0,0,0,0,0.7,76.6,0,0.2,6.20,0.5,0,0.2,0,0,0,0.2,0.0,0,0.3,0,0.3,0,0,7.8,76.6,0,0,FC Cologne,Bundesliga
292121,,Lukas Klünter,20, Defender,184,73,0,1,14,0,0,0,0,1,33.3,0,1,6.03,1,0,0,0,1,1,0,0.0,0,0,0,0,3,0,3,33.3,0,0,FC Cologne,Bundesliga
19909,de,Thomas Kessler,30, GK,197,92,1,0,90,0,0,0,0,0,50,0,0,5.19,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,22,50,0,11,FC Cologne,Bundesliga
