player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
57202,de,Tom Mickel,27, Goalkeeper,185,84,1,0.0,90,0.0,0.0,0.0,0.0,0.0,69.6,0.0,0.0,7.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,69.6,0,11,Hamburger SV,Bundesliga
41004,de,Lewis Holtby,25, M(CLR),176,72,34,0.0,2908,3,2,4,0.0,0.9,78.4,1,1.6,7.15,2.9,2,2.2,0.0,1.2,1.2,0.1,0.0,1.3,1.8,0.1,1.1,1,1.3,50.4,78.4,0.7,4,Hamburger SV,Bundesliga
35738,de,Nicolai Müller,28," M(CLR),FW",173,66,27,2,2163,9,5,6,0.0,1.3,68.2,2,1.2,7.03,2,1.1,2,0,0.4,1.5,0,0.0,1,1.1,0.3,0.8,1.6,1,21.9,68.2,0.1,0.2,Hamburger SV,Bundesliga
111226,br,Cléber,25, D(C),183,87,15,8,1467,1,0,2,0.0,0.7,77.9,1,3.2,7.00,1.9,2.6,1,0.6,3.8,0.7,0.5,0,0,0.7,0,0.2,0.4,0,32.8,77.9,0,2.5,Hamburger SV,Bundesliga
19504,cz,Jaroslav Drobny,36, GK,192,90,9,1,846,0,1,1,0.0,0,51.7,1,0.2,7.00,0,0,0,0,0.4,0,0,0,0.1,0.1,0,0,0,0.1,28.6,51.7,0,8.9,Hamburger SV,Bundesliga
25764,se,Albin Ekdal,26, M(C),186,75,14,0,1143,0,0,4,0.0,0.4,76.9,1,3.4,6.97,1.9,3,1.9,0.1,1.6,1.1,0.1,1,0.3,2.7,0,0.6,0.6,0.3,43.9,76.9,0,1.6,Hamburger SV,Bundesliga
18803,hr,Ivo Ilicevic,29, M(LR),174,63,24,7,2153,4,2,3,0.0,1.4,74.4,2,1.2,6.89,1.8,1.3,1.3,0,0.3,1.2,0.1,0,0.8,1.4,0.2,0.7,1.3,0.8,24.7,74.4,0.3,0.7,Hamburger SV,Bundesliga
7905,ba,Emir Spahic,35, D(C),186,81,26,0,2268,0,1,7,1,0.3,76.4,2,3.8,6.89,1.7,3.1,1.2,0.9,5.3,0.5,0.5,0,0.1,0.3,0,0.2,0.5,0.1,50.4,76.4,0,4.1,Hamburger SV,Bundesliga
69138,jp,Gotoku Sakai,25, D(LR),176,74,21,1,1891,0,1,2,0,0.5,74.6,0,1.4,6.88,2.2,2.8,0.8,0.2,2.3,1,0.2,0.0,0.5,0.5,0,0.5,0.7,0.5,36.6,74.6,0.4,2.5,Hamburger SV,Bundesliga
10161,de,Aaron Hunt,29," M(C),FW",183,73,19,2,1659,1,2,2,0,1.1,75.1,1,1.1,6.88,1.2,1,1.2,0,0.3,0.6,0.1,1,1.9,1.7,0.2,1,1.3,1.9,36.8,75.1,1.1,1.9,Hamburger SV,Bundesliga
84919,at,Michael Gregoritsch,22, AM(CR),193,87,15,10,1434,5,2,6,0,2,63.2,1,4.3,6.78,0.7,1.2,1.1,0.1,0.7,0.8,0.2,0,0.8,1.2,0,0.9,1.6,0.8,22.8,63.2,0,0.4,Hamburger SV,Bundesliga
94906,de,Matthias Ostrzolek,26, D(L),178,72,32,0,2836,0,2,5,0,0.4,68.9,0,1.6,6.78,2.1,2.5,0.8,0.3,1.8,0.4,0.3,0.0,0.8,1.8,0,0.5,1.1,0.8,39.7,68.9,0.4,3,Hamburger SV,Bundesliga
11680,ch,Johan Djourou,29, D(C),191,87,26,0,2293,2,0,6,1,0.3,82.9,0,2.7,6.77,1.7,1.7,1.5,0.9,5,0.3,0.8,0,0.1,0.5,0,0.3,0.2,0.1,42.8,82.9,0,5.2,Hamburger SV,Bundesliga
24090,de,René Adler,31, GK,191,87,24,0,2072,0,1,3,1,0,49.1,1,0.7,6.74,0,0,0.2,0,0.9,0.1,0,0,0.1,0.1,0,0,0,0.1,30.9,49.1,0,7.9,Hamburger SV,Bundesliga
83588,ch,Josip Drmic,23," AM(LR),FW",181,80,5,1,420,1,0,2,0,1,61.2,0,1.8,6.73,1.2,1.5,0.7,0,0.7,1.7,0.2,0,0.7,0.5,0.2,1.2,2,0.7,22.3,61.2,0,0.5,Hamburger SV,Bundesliga
83393,de,Pierre-Michel Lasogga,24, FW,189,88,21,9,1755,8,2,5,0,1.8,69,2,2.8,6.66,0.3,0.1,1.7,0,1.1,0.5,0.1,0,0.6,1,0.6,1.1,1.3,0.6,15.9,69,0,0.4,Hamburger SV,Bundesliga
22259,rs,Gojko Kacar,29, M(C),185,84,12,7,1120,1,0,3,0,0.4,76.7,0,1.8,6.66,1.9,1.7,1.4,0,1.1,1.1,0.2,0.0,0.1,0.7,0.1,0.4,0.6,0.1,28.1,76.7,0,0.8,Hamburger SV,Bundesliga
65527,de,Dennis Diekmeier,26, D(R),188,79,15,7,1442,0,0,1,0,0.2,78.8,0,0.9,6.58,1.5,1.5,0.5,0.1,1.1,0.6,0.2,0,0.5,0.8,0.1,0.4,1,0.5,22.1,78.8,0.5,0.9,Hamburger SV,Bundesliga
291676,de,Gideon Jung,21, DMC,189,76,13,6,1177,0,0,4,0,0.5,76.5,0,1.7,6.54,1.1,1.7,1.1,0.1,0.8,0.3,0.2,0,0.2,1.2,0.1,0.8,0.4,0.2,24.4,76.5,0,1.5,Hamburger SV,Bundesliga
141718,se,Nabil Bahoui,25, Midfielder,188,84,2,4,210,0,0,1,0,0.5,68.8,0,0.3,6.46,1.5,0.3,1.5,0,0.3,0.2,0.2,0,0.3,0.2,0,1.2,0.8,0.3,8,68.8,0.8,0.8,Hamburger SV,Bundesliga
28964,lv,Artjoms Rudnevs,28, FW,183,81,6,5,600,2,1,1,0,1.4,60.4,0,1.9,6.44,0.4,0.1,1.2,0,0.8,0.1,0.2,0,0.4,0.5,0.6,0.7,1.9,0.4,14.5,60.4,0.1,0.4,Hamburger SV,Bundesliga
