player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
94912,sn,Salif Sané,25," D(C),DMC",196,85,30,1,2752,2,0.0,8,0.0,1.2,76.5,2,5.6,7.24,2.4,2.3,1.8,0.1,3.3,1.2,0.6,0.0,0.3,1.8,0.1,0.7,1.4,0.3,50.8,76.5,0.1,2.8,Hannover 96,Bundesliga
315527,,Noah Joel Sarenren Bazee,19, Midfielder,182,0,5,0,383,0,3,1,0.0,3.6,50,1,2.6,7.08,1,1.4,2.6,0,0,0.4,0,0.0,1.2,1.8,0.2,1.8,3,1.2,10,50,0.2,0.2,Hannover 96,Bundesliga
40266,jp,Hiroshi Kiyotake,26, AM(CLR),172,66,20,1,1765,5,6,0,0.0,1.3,80.1,0,0.4,7.02,0.5,0.8,0.4,0,0,0.3,0,0.0,2.9,1.6,0.4,1.3,2.3,2.9,44.5,80.1,1.1,2,Hannover 96,Bundesliga
317219,de,Fynn Arkenberg,20, Defender,188,0,2,0,180,0,0,0,0.0,0.5,62.9,0,1.5,6.98,4.5,2,1,1,2.5,2.5,0.5,0.0,0.5,1.5,0,0.5,1,0.5,17.5,62.9,0.5,0,Hannover 96,Bundesliga
28401,cl,Miiko Albornoz,25, D(L),180,80,23,0,2070,0,1,1,0.0,0.3,72.9,0,1.5,6.91,2.4,2.3,1,0.4,2,1.1,0.3,0.0,1.3,1.7,0,0.7,1.1,1.3,32.9,72.9,1,2.3,Hannover 96,Bundesliga
67300,de,Ron-Robert Zieler,27, GK,188,83,34,0,3060,0,0,3,0.0,0,64.9,1,0.6,6.87,0,0,0,0,0.9,0.1,0,0,0,0.1,0,0,0,0,31,64.9,0,8.6,Hannover 96,Bundesliga
140646,tr,Kenan Karaman,22, AM(LR),189,83,19,4,1744,3,2,1,0.0,1.9,72.3,1,0.9,6.84,1.6,1,0.6,0,0.3,0.7,0,0.0,0.9,1.6,0.6,1.5,1.7,0.9,21.7,72.3,0.3,0.3,Hannover 96,Bundesliga
27219,tr,Ceyhun Gülselam,28, DMC,192,88,9,4,828,0,1,8,0.0,1.2,72.5,0,3,6.81,2.8,1.8,2.3,0.1,2.4,1.2,0.2,0.0,0.5,1.3,0,0.7,0.5,0.5,32.2,72.5,0.2,1.8,Hannover 96,Bundesliga
52060,de,Manuel Schmiedebach,27, M(C),171,70,22,0,1810,1,1,4,0.0,0.5,74.9,1,1,6.80,2.1,2.8,1.7,0,0.7,2.6,0.3,0.0,1,1.3,0,1,1.1,1,45.9,74.9,0,2.4,Hannover 96,Bundesliga
62108,jp,Hiroki Sakai,26," D(R),M(R)",185,75,25,1,2295,1,0,1,0.0,0.4,69.7,1,3.2,6.76,2.4,2.3,1,0.3,2.8,0.9,0.3,0.0,0.5,0.8,0,0.3,0.8,0.5,37,69.7,0.3,1.4,Hannover 96,Bundesliga
