player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
10103,ba,Vedad Ibisevic,31, FW,188,82,25,1,2099,10,4,5,1,2.4,67.4,4,4.1,7.08,0.6,0.3,1.8,0,0.5,0.3,0.1,0.0,0.8,1.6,0.9,1.5,2.2,0.8,22.3,67.4,0,0.7,Hertha Berlin,Bundesliga
8028,ci,Salomon Kalou,30," AM(LR),FW",184,77,30,2,2535,14,2,2,0,1.7,76.9,3,1.6,6.99,0.5,0.6,1.3,0,0.5,0.5,0.2,0.0,0.7,1.3,0.5,2.3,1.7,0.7,21.1,76.9,0.1,0.4,Hertha Berlin,Bundesliga
108914,de,Mitchell Weiser,22," D(R),M(R)",176,67,27,2,2431,2,4,7,0,0.5,72,1,1,6.97,2.2,1.7,1,0.1,0.9,1,0.1,0.0,0.7,2.2,0.1,1.6,2.2,0.7,33.5,72,0.3,1.3,Hertha Berlin,Bundesliga
238698,jp,Genki Haraguchi,25, AM(LR),177,68,28,4,2522,2,3,4,0,1,74.5,2,0.9,6.92,2.1,1.1,0.9,0,0.4,1.1,0,0.0,0.9,1.3,0.2,1.1,1.5,0.9,22.2,74.5,0.4,0.7,Hertha Berlin,Bundesliga
31060,de,Sebastian Langkamp,28, D(C),191,85,22,0,1880,0,1,8,0,0.1,85.3,0,3.6,6.91,1.6,1.5,0.6,0.6,5,0.4,0.7,0.0,0.1,1.5,0,0.1,0.4,0.1,55.9,85.3,0,4.6,Hertha Berlin,Bundesliga
84130,cz,Vladimir Darida,25," M(C),FW",171,64,30,1,2599,5,2,6,0,1.3,81.5,1,1.3,6.88,0.9,2.1,1.8,0,0.6,0.8,0.2,0.0,1.1,1.5,0.2,1.1,1.4,1.1,53.7,81.5,0.7,2.1,Hertha Berlin,Bundesliga
104899,us,John Brooks,23, D(C),193,78,20,3,1808,1,1,3,0,0.4,84.4,2,2.9,6.88,1,1.7,1,0.7,3.7,0.4,0.3,0.0,0.1,0.9,0.1,0.2,0.3,0.1,53.6,84.4,0,7,Hertha Berlin,Bundesliga
28800,sk,Peter Pekarík,29, D(LR),176,70,12,0,1066,0,1,1,0,0.3,76.7,0,1.8,6.85,2.3,1.9,1,0.1,2.3,0.8,0.2,0.0,0.5,1.3,0.1,0.8,0.8,0.5,37.8,76.7,0.8,2.3,Hertha Berlin,Bundesliga
8946,no,Per Skjelbred,29, M(CR),175,74,31,0,2695,0,2,9,0,0.1,84.6,0,1.9,6.84,1.8,2.6,2,0.1,0.9,1,0.2,0.0,0.3,1.1,0,0.5,0.6,0.3,50.8,84.6,0,3.2,Hertha Berlin,Bundesliga
92934,de,Marvin Plattenhardt,24, D(L),181,76,33,0,2970,2,4,5,0,0.4,79.2,1,1.4,6.84,1.4,1.3,1.1,0.3,1.8,0.3,0.2,0.0,1.1,1.2,0,0.4,0.7,1.1,39.4,79.2,1.2,1.7,Hertha Berlin,Bundesliga
30149,ch,Fabian Lustenberger,28," D(C),M(C)",180,70,30,0,2537,1,0,5,0,0.3,86.1,1,2.2,6.84,2.2,1.8,0.8,0.3,2.9,0.7,0.4,0.0,0.3,1.4,0,0.2,0.6,0.3,48.2,86.1,0,4.4,Hertha Berlin,Bundesliga
5423,no,Rune Jarstein,31, GK,190,82,28,1,2565,0,0,2,0,0,60.9,0,0.4,6.79,0,0,0,0,0.8,0.1,0,0.0,0,0.1,0,0,0.1,0,44.2,60.9,0,10.2,Hertha Berlin,Bundesliga
90993,tr,Tolga Cigerci,24, M(CLR),185,80,13,5,1033,0,2,2,0,1.4,83.3,0,1.1,6.75,1.3,1.8,0.9,0.1,0.8,0.7,0.1,0.0,0.6,1,0.1,0.8,0.8,0.6,36,83.3,0.3,2.6,Hertha Berlin,Bundesliga
124597,de,Niklas Stark,21," D(C),DMC",190,81,15,6,1409,2,0,2,1,0.7,86.5,0,2,6.60,0.8,1.1,1.1,0.3,3.1,0.3,0.5,0.0,0,1.3,0.2,0.2,0.3,0,37.9,86.5,0,3.4,Hertha Berlin,Bundesliga
297236,de,Yanni Regäsel,20, D(R),176,72,5,1,462,0,0,0,0,0.2,76,0,0.7,6.49,1,1.2,0.8,0,0.3,0.2,0.2,0.0,0.3,1.2,0,0.7,1.2,0.3,36.2,76,0.2,2.3,Hertha Berlin,Bundesliga
