player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
92812,de,Kevin Volland,23," AM(CLR),FW",179,82,31,2,2731,8,7,8,0.0,1.9,58.7,3,0.9,7.04,1.5,0.8,2,0,0.3,1,0,0,1.3,2.5,0.2,1.8,2.1,1.3,25.2,58.7,0.5,0.8,Hoffenheim,Bundesliga
77440,de,Oliver Baumann,26, GK,187,82,33,0,2970,0,0,1,0.0,0,61.4,4,0.2,6.96,0,0.1,0,0,0.7,0,0,0,0.1,0.2,0,0,0,0.1,39.1,61.4,0,8,Hoffenheim,Bundesliga
129983,de,Niklas Süle,20, D(C),195,93,33,0,2970,0,1,4,0.0,0.2,85.9,1,1.7,6.86,1.4,2.1,0.5,1.3,6.2,0.2,0.9,0,0.2,0.7,0,0.1,0.2,0.2,51.6,85.9,0,3.5,Hoffenheim,Bundesliga
75217,hr,Andrej Kramaric,25, FW,177,73,12,3,1085,5,2,0,1,2.8,75.9,0,0.7,6.85,0.3,0.5,0.7,0,0,0.3,0,0,0.6,0.9,0.2,1.2,1.4,0.6,22.7,75.9,0.4,0.5,Hoffenheim,Bundesliga
80418,ba,Ermin Bicakcic,26, D(C),185,84,18,3,1600,0,0,2,1,0.4,84.3,1,2,6.84,1.3,2.2,0.7,0.9,6.3,0.5,1.2,0,0.1,1,0.1,0,0.2,0.1,35,84.3,0,1.6,Hoffenheim,Bundesliga
110184,de,Tobias Strobl,26," D(CR),DMC",186,77,22,4,2078,0,1,5,0,0.4,81,1,1.4,6.83,2.8,2.4,1.7,0.3,1.9,1.3,0.3,0.0,0.6,1.2,0,0.4,0.6,0.6,41,81,0.2,2.5,Hoffenheim,Bundesliga
137167,kr,Jin-Su Kim,24, D(L),176,69,14,1,1313,0,0,3,0,0.5,73.6,0,2,6.83,1.6,3.3,1.4,0.4,3.7,1.1,0.2,0,0.3,1.3,0,0.4,0.8,0.3,32.6,73.6,0.2,2.1,Hoffenheim,Bundesliga
261021,de,Nadiem Amiri,19, AM(C),178,70,16,9,1461,4,4,4,0,1.5,77.8,1,0.3,6.76,1.2,0.6,1,0,0.2,1,0,0,1.4,1.5,0.1,0.8,0.7,1.4,24.3,77.8,0.3,1,Hoffenheim,Bundesliga
90548,cz,Pavel Kaderábek,24," D(R),M(R)",182,80,25,3,2228,0,1,2,0,0.2,68.4,0,2.6,6.75,1.2,1.9,0.9,0.3,3.2,0.5,0.5,0,0.4,0.7,0,0.2,0.4,0.4,26.9,68.4,0.3,0.5,Hoffenheim,Bundesliga
38649,de,Sebastian Rudy,26," D(R),M(CR)",179,73,22,2,1800,2,1,8,1,0.6,76.8,0,1.3,6.75,2.5,1.5,2,0,1.3,1.3,0.3,0.0,0.9,1.1,0.1,0.6,1,0.9,40,76.8,0.3,1.8,Hoffenheim,Bundesliga
