player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
87813,br,Danilo Soares,24, Defender,170,72,1,0.0,90,0.0,0.0,0.0,0.0,1,41.9,0.0,2,7.27,3,5,2,0.0,1,0.0,0.0,0.0,0,6,0,1,1,0,31,41.9,1,0,Ingolstadt,Bundesliga
133346,de,Benjamin Hübner,26, D(C),193,85,30,0.0,2630,1,0.0,7,0.0,0.7,65.7,4,5.2,7.25,1.8,2.5,1.7,0.9,5.8,0.7,0.5,0.0,0.1,1.4,0,0,0.4,0.1,23.1,65.7,0,2.3,Ingolstadt,Bundesliga
21564,de,Tobias Levels,29, D(R),185,80,16,0.0,1440,1,2,4,0.0,0.3,77.1,0,2.5,7.13,2.8,3.4,1.5,0.2,2.5,1.1,0.1,0.0,0.4,1.1,0,0.5,0.8,0.4,42.3,77.1,0.4,2.8,Ingolstadt,Bundesliga
71824,de,Pascal Groß,25, M(C),181,78,32,0.0,2833,1,4,8,1,2.2,67.3,0,1,7.03,1.8,1.9,1.3,0,0.6,1.3,0.1,0.0,3,1.6,0.1,0.9,1.5,3,56.5,67.3,2.1,4.5,Ingolstadt,Bundesliga
12689,de,Marvin Matip,30, D(C),184,83,32,1,2925,2,1,5,0,0.8,76.5,3,3.8,7.00,1,2.5,0.8,1.3,6.2,0.7,0.5,0.0,0.3,0.6,0,0.1,0.2,0.3,31.5,76.5,0,2.4,Ingolstadt,Bundesliga
21380,br,Roger,30, M(C),184,86,28,1,2501,1,1,3,0,0.6,66.6,1,3.2,6.99,2,2.6,1.4,0.2,2.2,1,0.3,0.0,0.3,2.9,0,0.5,0.6,0.3,27.4,66.6,0,2.1,Ingolstadt,Bundesliga
80931,au,Mathew Leckie,25, AM(LR),181,82,28,4,2477,3,0,9,0,1.2,69.5,2,5,6.98,1.2,1.3,1.6,0,0.5,0.5,0.1,0.0,1,1.8,0.3,2.1,2.3,1,27.7,69.5,0.2,0.6,Ingolstadt,Bundesliga
33477,at,Markus Suttner,29, D(L),179,73,15,3,1341,0,0,2,0,1.1,64.8,1,1.7,6.96,2.2,2.9,0.8,0.3,3.1,1.6,0,0.0,0.9,0.3,0,0.1,0.4,0.9,23.3,64.8,0.6,3.4,Ingolstadt,Bundesliga
94934,de,Danny da Costa,22, D(R),186,84,17,3,1524,0,4,4,0,0.3,61.5,0,1.2,6.90,2.8,2.2,0.8,0.3,2,0.6,0.2,0.0,0.7,0.9,0,0.5,1,0.7,26.9,61.5,0.2,1.5,Ingolstadt,Bundesliga
302671,py,Darío Lezcano,25, FW,178,79,15,2,1247,2,1,4,0,1.7,64.2,1,4.1,6.88,1.3,0.5,2.2,0,0.3,0.7,0,0.0,1.1,2.3,0.5,2.2,2.6,1.1,19.9,64.2,0,0.2,Ingolstadt,Bundesliga
291935,de,Robert Bauer,21, D(L),183,76,18,6,1677,1,0,5,0,0.2,65.1,1,1.5,6.84,2.8,2.4,1.4,0.3,2,0.7,0.1,0.0,0.3,1.1,0,0.3,0.5,0.3,21.9,65.1,0,1.8,Ingolstadt,Bundesliga
74079,de,Moritz Hartmann,30, AM(R),183,77,24,6,2011,12,1,4,0,1.8,63.6,1,2.4,6.76,0.8,1,0.8,0,0.3,0.7,0,0.0,0.7,1.2,0.4,0.8,1.6,0.7,18.4,63.6,0.2,0.4,Ingolstadt,Bundesliga
94824,us,Alfredo Morales,26, M(C),183,77,18,6,1665,1,2,7,0,1.3,58.6,0,2.3,6.71,1.4,1.6,2.2,0,0.9,0.8,0.1,0.0,0.5,2.1,0.3,0.9,1.3,0.5,20.9,58.6,0.1,1.2,Ingolstadt,Bundesliga
137254,at,Lukas Hinterseer,25," AM(R),FW",192,86,19,9,1719,6,0,3,0,1.1,61.5,1,2.6,6.59,0.8,0.6,1,0,0.4,0.5,0.1,0.0,0.5,1.4,0.5,1.4,1.4,0.5,18.8,61.5,0,0.1,Ingolstadt,Bundesliga
43394,kz,Konstantin Engel,27, Defender,179,79,2,2,192,0,0,2,0,0.5,56.7,0,1.8,6.58,0.5,3,0.8,0,1.3,0.8,0,0.0,0.3,0.5,0,0,0,0.3,15,56.7,0.3,0.5,Ingolstadt,Bundesliga
35336,at,Ramazan Özcan,31, GK,187,84,28,0,2520,0,0,1,0,0,44.8,0,0.3,6.53,0.1,0,0,0,0.5,0.1,0,0.0,0,0.3,0,0,0,0,37.3,44.8,0,11.5,Ingolstadt,Bundesliga
144769,de,Max Christiansen,19, M(C),188,84,12,7,1031,0,1,3,0,0.9,70.9,0,1.6,6.52,1.5,1.3,1.4,0,0.7,0.7,0,0.0,0.5,1.2,0,0.7,1.1,0.5,22.4,70.9,0.3,1,Ingolstadt,Bundesliga
29581,fr,Romain Brègerie,29," D(C),DMC",190,88,12,10,1056,0,0,3,1,0.6,63.9,0,2,6.51,1.1,1.9,0.2,0.3,2.4,0.3,0.2,0.0,0.2,0.3,0,0.1,0.1,0.2,16.7,63.9,0,1.4,Ingolstadt,Bundesliga
75568,il,Almog Cohen,27, M(C),170,71,8,12,826,0,2,2,0,0.7,65.1,0,1,6.45,1.3,1.5,0.9,0,0.5,0.3,0,0.0,0.3,0.8,0.1,0.4,0.4,0.3,14.2,65.1,0.1,0.4,Ingolstadt,Bundesliga
127685,de,Stefan Lex,26, AM(R),178,74,9,12,875,2,0,2,0,1.1,60,0,0.4,6.34,0.7,0.3,0.8,0,0.1,0.5,0,0.0,0.7,1,0.6,0.4,0.9,0.7,6.7,60,0.1,0.1,Ingolstadt,Bundesliga
39187,no,Ørjan Nyland,25, GK,192,90,6,0,540,0,0,0,0,0,38.5,0,0,6.25,0,0,0,0,0.8,0.2,0,0.0,0,0,0,0,0,0,33.3,38.5,0,10.3,Ingolstadt,Bundesliga
92804,de,Elias Kachunga,24, FW,178,74,3,7,269,0,0,0,0,0.4,69.6,0,0.9,6.19,0.3,0.2,1,0.1,0.2,0.2,0,0.0,0,1,0.1,0.3,1.4,0,6.9,69.6,0,0,Ingolstadt,Bundesliga
44810,cz,Tomas Pekhart,27, FW,194,93,1,3,82,0,0,1,0,1,71.4,0,2,6.06,0.3,0,0.8,0,0,0,0,0.0,0.3,0,0,0.3,0.5,0.3,5.3,71.4,0,0,Ingolstadt,Bundesliga
254554,de,Maurice Multhaup,19, Midfielder,173,74,0,4,84,0,0,0,0,0.5,77.8,0,0.3,6.02,0.3,0.3,0.3,0,0,0,0,0.0,0,1,0,0.3,0.3,0,4.5,77.8,0,0,Ingolstadt,Bundesliga
132357,de,Stefan Wannenwetsch,24, Midfielder,177,71,0,1,37,0,0,0,0,0,60,0,0,5.50,0,1,1,0,0,1,0,0.0,0,0,0,0,0,0,10,60,0,0,Ingolstadt,Bundesliga
