player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
66209,kr,Joo-Ho Park,29," D(L),DMC",176,69,1,0.0,90,0.0,0.0,0.0,0.0,0.0,91.9,0.0,0.0,7.68,6,3,1,2,2,1,0.0,0.0,0,1,0,1,0,0,37,91.9,1,3,Mainz 05,Bundesliga
296120,de,Alexander Hack,22, D(C),193,82,7,0.0,630,0.0,0.0,1,0.0,0.4,81.2,0.0,3.7,7.26,2.4,3,0.6,0.6,4.3,0.7,0.6,0.0,0.1,0.6,0,0.3,0.1,0.1,57.7,81.2,0,5.6,Mainz 05,Bundesliga
90615,fr,Gaëtan Bussmann,25, D(L),184,76,13,0.0,1170,1,0.0,3,0.0,0.5,61.6,1,2,7.18,2.7,3.2,1.3,0.3,2.6,1.5,0.4,0.0,0.8,0.7,0.2,0.3,0.7,0.8,33.1,61.6,0.2,2.1,Mainz 05,Bundesliga
27124,at,Julian Baumgartlinger,28, DMC,183,82,30,1,2716,2,1,7,0.0,0.4,83.5,0,2.4,7.15,3.7,2.5,1.9,0,1.9,2.2,0.3,0.0,0.7,1.8,0,0.7,1,0.7,48.2,83.5,0,2.7,Mainz 05,Bundesliga
43362,de,Leon Balogun,27, D(CR),190,88,17,4,1511,1,0,4,0.0,0.6,75.6,1,3.4,7.12,2,2.8,1.1,0.4,5.2,0.5,0.6,0.0,0.3,0.7,0,0.4,0.4,0.3,31.2,75.6,0,2.2,Mainz 05,Bundesliga
83467,de,Stefan Bell,24, D(CR),192,86,29,1,2635,1,2,3,0.0,0.8,79.1,0,3.4,7.11,1.4,3,1.6,0.8,5.2,0.6,0.7,1,0.2,0.5,0,0.1,0.5,0.2,52,79.1,0,5.1,Mainz 05,Bundesliga
70227,de,Danny Latza,26, DMC,179,76,20,7,1863,0,2,8,0.0,1,80.6,0,2,7.00,2.5,2.1,1.6,0,1.3,1.4,0.3,0.0,1.2,1.3,0,0.4,0.9,1.2,43.8,80.6,0.9,2.7,Mainz 05,Bundesliga
104919,tr,Yunus Malli,24," AM(C),FW",179,70,33,1,2796,11,4,0,0.0,1.9,73.3,3,0.5,6.98,0.5,0.4,0.5,0,0.2,0.4,0,0,1.3,1.3,0.3,1,1.5,1.3,25.6,73.3,0.1,0.7,Mainz 05,Bundesliga
132210,jp,Yoshinori Muto,23, FW,178,72,18,2,1497,7,2,2,0.0,1.7,64.6,2,2.2,6.94,1.2,0.7,2.3,0,0.1,0.6,0,0,0.7,1.1,1.2,1.4,1.7,0.7,13.6,64.6,0.1,0.3,Mainz 05,Bundesliga
107023,es,Jairo Samperio,22, M(LR),173,65,26,5,2307,7,5,5,0.0,1.3,64.8,1,1,6.89,0.8,1.5,1.2,0,0.3,1.2,0.1,0,1,1.6,0.3,2.3,1.9,1,20,64.8,0.1,0.5,Mainz 05,Bundesliga
82961,it,Giulio Donati,26, D(R),178,84,11,0,935,0,1,4,1,0,66.5,1,1.2,6.84,2.3,2.4,1.5,0.2,2.4,1.1,0.3,0.0,0.5,2.5,0.1,0.5,0.7,0.5,33.1,66.5,0.2,3.4,Mainz 05,Bundesliga
