player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
96449,de,Julian Draxler,22, AM(CLR),187,76,3,0.0,253,1,0.0,1,0.0,3.3,81.8,1,1.7,7.43,0.7,1,1.3,0,0,0.7,0,0,0.7,1,0.3,1,0.7,0.7,36.7,81.8,0.3,5.7,Schalke 04,Bundesliga
29809,cm,Eric Maxim Choupo-Moting,27," M(CLR),FW",191,91,21,7,1865,6,2,1,0.0,1.8,72.5,3,2.8,7.37,1.3,1.2,1.6,0,0.8,0.7,0.1,0,1.3,1.6,0.5,1.5,2.1,1.3,24.9,72.5,0.5,0.9,Schalke 04,Bundesliga
74341,cm,Joel Matip,24, D(C),195,90,34,0,3060,3,3,3,0.0,0.9,83.5,2,3.5,7.32,1.6,3.1,1.5,0.5,5.4,0.3,1,0,0.4,0.7,0.1,0.2,0.3,0.4,50.1,83.5,0,4.1,Schalke 04,Bundesliga
115519,de,Leon Goretzka,21, M(CR),189,79,23,2,1993,1,3,5,0.0,1.5,81.6,3,1.6,7.27,2.6,3,1.2,0.1,1.7,1.5,0.5,1,1,1.4,0,0.9,0.9,1,38.1,81.6,0,1.7,Schalke 04,Bundesliga
93672,de,Johannes Geis,22, DMC,181,81,27,1,2334,2,5,4,1,1.6,81.3,0,1.3,7.17,2.1,1.5,1.5,0,1.4,1.2,0.2,0,2.1,1.9,0,0.4,0.6,2.1,56,81.3,1.8,6.9,Schalke 04,Bundesliga
144711,de,Leroy Sané,20, AM(LR),183,75,23,10,2314,8,6,4,0,2.1,77.5,2,0.9,7.10,1.8,0.8,1,0,0.1,1.2,0,0,0.8,1.3,0.3,1.8,2.5,0.8,18.8,77.5,0.0,0.5,Schalke 04,Bundesliga
74909,br,Júnior Caiçara,27, D(R),173,70,22,1,1856,0,3,7,0,0.6,73.6,1,1.6,6.92,2.5,2,1.7,0.2,3,0.8,0.3,0,1.7,0.6,0.1,0.5,1.1,1.7,43.8,73.6,1,2.1,Schalke 04,Bundesliga
8013,nl,Klaas-Jan Huntelaar,32, FW,186,83,29,2,2483,12,3,2,0,2.3,72.7,3,2.4,6.89,0.2,0.3,1.6,0,0.6,0.3,0.1,0,0.8,1.3,0.7,1.2,1.5,0.8,16.9,72.7,0.1,0.2,Schalke 04,Bundesliga
78195,ma,Younès Belhanda,26, M(CL),177,78,8,7,813,2,1,2,0,0.9,80.9,1,0.7,6.87,1.4,1.1,1,0,0.1,1.1,0,0,1.3,0.9,0.1,1.1,1.3,1.3,26.5,80.9,0.1,1.1,Schalke 04,Bundesliga
23592,de,Ralf Fährmann,27, GK,196,95,34,0,3060,0,0,1,0,0,64.4,2,0.4,6.84,0,0.1,0,0,1.2,0,0,0,0,0.1,0,0,0,0,33.9,64.4,0,9.3,Schalke 04,Bundesliga
