player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
80388,de,Daniel Ginczek,25, FW,190,87,7,0.0,630,3,1,1,0.0,2.6,61.1,1,6.1,7.41,0.6,0.3,1.6,0,0.7,0.6,0,0,1.7,2.3,0.7,1.9,1.9,1.7,25,61.1,0,0.1,VfB Stuttgart,Bundesliga
105995,rs,Filip Kostic,23, AM(LR),183,83,30,0.0,2603,5,5,5,0.0,1.6,61.6,4,0.9,7.20,1.1,1.6,1.3,0,0.1,0.9,0,0,2.6,1.6,0.2,1.3,1.6,2.6,25.9,61.6,2.6,0.7,VfB Stuttgart,Bundesliga
44142,de,Daniel Didavi,26, AM(C),180,78,30,1,2432,13,3,8,1,3.1,77.3,2,1.3,7.07,1.5,0.9,1.8,0,0.5,1.2,0.1,0,1.3,1.9,0.3,1.4,1.8,1.3,31.5,77.3,0.5,1.4,VfB Stuttgart,Bundesliga
11269,de,Christian Gentner,30, M(C),189,81,29,0,2494,5,2,3,0,1.6,73.1,1,1.7,7.06,2.3,2.1,1.8,0.1,2,1.2,0.2,1,0.9,1.9,0.2,0.4,1,0.9,47.1,73.1,0.2,2.4,VfB Stuttgart,Bundesliga
79533,de,Lukas Rupp,25, M(CR),179,73,24,5,2108,5,4,4,0,1.3,75.3,1,0.9,7.05,2.4,2.2,1,0.1,0.7,1.4,0.2,0,1.3,0.9,0,1.4,1.2,1.3,33.1,75.3,0.1,0.9,VfB Stuttgart,Bundesliga
26817,ar,Emiliano Insúa,27, D(L),180,79,33,0,2934,0,1,5,0,0.7,72.4,0,1.6,6.85,1.9,3.2,1.3,0.6,2.1,1.2,0.2,0,1,1,0,0.5,0.9,1,37.9,72.4,0.5,2.3,VfB Stuttgart,Bundesliga
42123,ci,Geoffroy Serey Dié,31, DMC,179,77,23,0,1826,1,2,8,1,0.7,84.1,1,0.7,6.83,2.4,2.4,1.7,0,0.6,1.4,0,0,0.7,1,0,0.9,1.2,0.7,41.2,84.1,0.1,2.8,VfB Stuttgart,Bundesliga
42540,ba,Toni Sunjic,27, D(C),193,84,17,2,1361,1,0,5,1,0.4,78.1,1,4.1,6.76,1.4,2.5,1.2,1.1,5.2,0.9,0.4,0,0.1,0.6,0,0.2,0.8,0.1,26.9,78.1,0,1.6,VfB Stuttgart,Bundesliga
34595,au,Mitchell Langerak,27, GK,193,81,2,0,180,0,0,0,0,0,47.8,0,0,6.74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,47.8,0,7.5,VfB Stuttgart,Bundesliga
31005,de,Kevin Großkreutz,27," D(LR),M(CLR)",186,77,10,0,900,0,0,3,0,0.6,71.4,0,1.2,6.71,3.2,2.4,1.3,0.4,1.7,1.6,0.3,1,0.6,0.7,0,1.2,0.4,0.6,33.9,71.4,0.3,1.4,VfB Stuttgart,Bundesliga
