player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
83456,sn,Papy Djilobodji,27, D(C),193,82,14,0.0,1260,2,1,6,0.0,1.6,67.9,1,5.1,7.31,1.1,4.1,1.2,0.8,5.9,0.4,0.9,1,0.6,0.9,0.1,0.1,0.6,0.6,47.4,67.9,0.1,5.7,Werder Bremen,Bundesliga
84043,ar,Santiago García,27," D(CL),M(L)",191,80,29,0.0,2468,0,3,9,0.0,0.4,67.2,1,4.1,7.25,2.3,3.7,1.6,0.4,2.2,1.2,0.3,0,1.1,2,0.1,0.4,0.8,1.1,33.6,67.2,0.4,1.8,Werder Bremen,Bundesliga
17827,at,Zlatko Junuzovic,28, M(CLR),172,69,26,4,2355,4,10,6,0.0,2,68.8,3,0.4,7.20,1.7,1.7,1.5,0,0.4,1.2,0.2,0,2.8,1.8,0.1,1,1.4,2.8,30.8,68.8,2,1.9,Werder Bremen,Bundesliga
87182,dk,Jannik Vestergaard,23, D(C),199,98,33,0,2970,2,0,2,0.0,1.1,72.7,2,4.7,7.15,2,3.2,0.7,1,4.5,0.8,0.7,0,0.2,0.8,0.1,0.3,0.2,0.2,40.4,72.7,0,4,Werder Bremen,Bundesliga
36663,cz,Theodor Gebre Selassie,29," D(R),DMC",181,71,33,0,2961,1,2,5,0.0,0.5,73.8,0,3.8,7.10,2.4,2.9,1.3,0.2,2.9,0.7,0.2,1,0.8,1.5,0.1,0.6,0.6,0.8,30.2,73.8,0.4,1.2,Werder Bremen,Bundesliga
6027,de,Clemens Fritz,35," D(R),DMC",183,81,29,0,2528,1,2,13,0.0,0.9,73.9,1,1.2,7.05,2.8,2.3,1.5,0,1.3,1.2,0.4,0.0,0.5,2.7,0,1.4,1,0.5,34.7,73.9,0.1,3.1,Werder Bremen,Bundesliga
217,pe,Claudio Pizarro,37," AM(C),FW",184,84,17,11,1742,14,3,3,0.0,1.6,68.4,2,2.3,7.03,0.6,0.9,1.1,0,0.4,0.3,0,0,1.1,0.8,0.7,1.8,1.5,1.1,21.5,68.4,0.1,1,Werder Bremen,Bundesliga
84145,ng,Anthony Ujah,25, FW,179,81,26,6,2335,11,2,2,0.0,2.1,60.2,2,4.3,6.92,0.4,0.1,1.3,0,1.4,0.2,0.1,0,0.8,1.1,0.7,0.8,1.5,0.8,19.1,60.2,0,0.2,Werder Bremen,Bundesliga
291937,at,Florian Grillitsch,20," DMC,M(L)",187,74,23,2,1989,1,2,3,0.0,1.2,74.7,0,1.6,6.92,2.3,3.4,0.8,0,0.6,1.4,0.2,0,1,1.6,0.1,0.7,1,1,35,74.7,0.5,3,Werder Bremen,Bundesliga
41961,de,Philipp Bargfrede,27, M(C),174,71,14,0,1185,0,1,2,1,0.9,73.5,0,2.1,6.86,3.4,3.4,1.9,0.2,0.9,1.6,0.5,0.0,0.4,1.4,0,0.4,0.8,0.4,36.9,73.5,0,2.1,Werder Bremen,Bundesliga
