player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
14172,br,Naldo,33, D(C),198,89,29,0.0,2596,0.0,1,2,0.0,1.7,87.3,1,4,7.17,1.6,2.5,1.1,0.8,4.2,0.6,0.6,0.0,0.3,0.8,0,0.2,0.4,0.3,63.5,87.3,0,5.2,Wolfsburg,Bundesliga
96449,de,Julian Draxler,22, AM(CLR),187,76,19,2,1522,5,5,4,1,1.6,83.4,1,1,7.17,0.8,0.7,0.9,0,0.4,0.7,0,0.0,1.7,0.8,0.1,1.1,0.9,1.7,32.5,83.4,0.7,2.4,Wolfsburg,Bundesliga
22652,pt,Vieirinha,30," D(R),M(LR)",172,73,22,4,1904,1,5,3,0,1.1,77.7,2,1,7.16,1.8,2.5,0.4,0.2,1,1.3,0.3,0.0,1.3,2.1,0.3,0.7,0.7,1.3,43.6,77.7,1.1,3.3,Wolfsburg,Bundesliga
61610,ch,Ricardo Rodríguez,23, D(L),180,77,23,1,2067,2,3,3,0,1.1,83.1,1,2,7.10,1.5,1.8,1,0.3,1.7,0.6,0.5,0.0,1.5,0.7,0,0.6,0.5,1.5,55.1,83.1,1.4,4.8,Wolfsburg,Bundesliga
70524,hr,Ivan Perisic,27, AM(CLR),187,81,2,0,164,1,0,0,0,1.5,75.6,0,1,7.04,1.5,0,0.5,0,0.5,0.5,0,0.0,1.5,0.5,1,0.5,0.5,1.5,39,75.6,0.5,2.5,Wolfsburg,Bundesliga
82362,de,Daniel Caligiuri,28, M(LR),182,79,20,9,1825,2,5,4,0,1.4,78,2,0.7,6.98,1.8,1.1,1.5,0,0.3,0.8,0.1,0.0,1.1,1.7,0.2,1.5,1.2,1.1,26.5,78,0.4,1.1,Wolfsburg,Bundesliga
70105,fr,Josuha Guilavogui,25, M(C),188,77,26,4,2330,2,0,3,0,0.8,88.1,1,1.6,6.98,2.3,3,2,0.1,1.1,0.7,0.3,0.0,0.7,0.8,0.2,0.8,0.9,0.7,48.3,88.1,0,3.2,Wolfsburg,Bundesliga
77461,de,André Schürrle,25," M(LR),FW",184,72,21,8,1904,9,3,5,0,2.4,78.5,2,0.8,6.93,0.9,0.8,0.8,0,0.2,0.7,0.1,0.0,0.7,1,0.4,0.5,1.1,0.7,24.4,78.5,0.2,0.7,Wolfsburg,Bundesliga
73797,be,Koen Casteels,23, GK,197,86,13,0,1170,0,0,1,0,0,70.3,0,0.5,6.90,0,0,0.1,0,0.5,0.1,0,0.0,0,0.1,0,0,0.1,0,31.8,70.3,0,8.4,Wolfsburg,Bundesliga
6683,br,Dante,32, D(C),188,87,23,0,2065,1,0,4,2,0.7,87.5,0,3,6.87,1.7,2.6,1.6,0.9,3.7,0.7,0.7,0.0,0.2,0.8,0,0.1,0.3,0.2,73.1,87.5,0,5.1,Wolfsburg,Bundesliga
77114,ch,Timm Klose,28, D(C),193,87,7,1,633,1,0,1,0,0.5,89.6,0,2.1,6.86,1.3,2.1,0.6,1.4,3.1,0.8,0.3,0.0,0.1,0.6,0,0,0.5,0.1,60.4,89.6,0,6.9,Wolfsburg,Bundesliga
10154,de,Marcel Schäfer,32," D(L),M(L)",184,75,14,7,1305,1,2,1,0,0.6,78.7,1,1.6,6.86,1,0.7,0.4,0.2,0.8,0.2,0.2,0.0,1.6,0.5,0,0.1,0.5,1.6,27.3,78.7,1.8,0.8,Wolfsburg,Bundesliga
20626,de,Christian Träsch,28," D(R),M(C)",180,75,23,6,2070,0,1,2,0,0.3,79.5,1,1.3,6.85,2.4,1.8,1,0.4,2,1.5,0.1,0.0,0.9,1.2,0,0.5,0.9,0.9,49,79.5,0.8,3.7,Wolfsburg,Bundesliga
34323,nl,Bas Dost,27, FW,196,78,14,8,1368,8,2,0,0,1.8,75.9,0,3.1,6.81,0.1,0.1,0.7,0,0.7,0.2,0,0.0,0.6,0.4,0.5,0.4,0.8,0.6,18.3,75.9,0,0.5,Wolfsburg,Bundesliga
31552,de,Max Kruse,28," M(CR),FW",180,76,28,4,2427,6,6,3,0,1.9,82.3,2,0.6,6.80,0.3,0.3,0.6,0,0,0.4,0,0.0,1.7,0.7,0.2,1,1.7,1.7,34.4,82.3,0.3,2.6,Wolfsburg,Bundesliga
43369,br,Luiz Gustavo,28, M(C),187,80,22,0,1810,1,2,8,0,1,88.3,1,1.2,6.80,2.1,2,1.9,0,0.7,0.8,0,0.0,0.3,1.3,0,1.3,1,0.3,49.5,88.3,0,3.5,Wolfsburg,Bundesliga
108919,de,Maximilian Arnold,22, M(CR),184,74,22,9,2038,3,2,4,0,0.9,84.8,1,0.6,6.73,1.3,0.8,1.6,0,0.4,0.7,0.1,0.0,1.5,2.5,0.1,1.1,0.9,1.5,39.8,84.8,0.2,3.5,Wolfsburg,Bundesliga
100591,de,Robin Knoche,24, D(C),190,77,9,2,817,1,0,1,0,0.2,86.2,1,2.1,6.70,1.5,2.3,0.8,0.5,3.2,0.5,0.4,0.0,0.3,0.4,0,0,0.1,0.3,55.8,86.2,0,2.8,Wolfsburg,Bundesliga
73084,be,Kevin De Bruyne,24," AM(CLR),FW",181,68,2,0,165,0,0,1,0,2,74,0,0,6.69,0,1,2,0,0,0.5,0,0.0,0.5,0.5,0,2.5,1.5,0.5,48,74,2,2.5,Wolfsburg,Bundesliga
71852,de,Sebastian Jung,25, D(R),179,72,5,6,520,0,1,1,0,0.4,82,0,0.9,6.54,1.1,1,0.5,0.2,0.7,0.4,0.2,0.0,1.1,0.5,0,0.4,0.5,1.1,27.8,82,0.5,2,Wolfsburg,Bundesliga
279575,br,Bruno Henrique,25," AM(CR),FW",184,71,2,5,250,0,1,1,0,0.6,68.8,0,1.4,6.43,0.3,0.3,1.6,0,0,0.6,0,0.0,0.6,1.4,0.3,0.6,0.7,0.6,11,68.8,0,0.3,Wolfsburg,Bundesliga
10714,ch,Diego Benaglio,32, GK,194,89,21,0,1890,0,0,1,0,0,77.2,0,0.2,6.41,0,0,0,0,0.5,0.1,0,0.0,0,0.1,0,0,0,0,28.9,77.2,0,6.5,Wolfsburg,Bundesliga
142227,de,Paul Seguin,21, Midfielder,186,79,2,2,177,0,0,0,0,0.5,75.4,0,0.8,6.36,0.5,0.3,0,0,0.3,1.3,0,0.0,0.3,0.3,0.3,0.5,1,0.3,16.3,75.4,0.3,0.5,Wolfsburg,Bundesliga
296650,be,Ismail Azzaoui,18, Midfielder,179,72,0,2,20,0,0,0,0,0,77.8,0,0,6.31,0.5,0,0.5,0,0,0.5,0,0.0,0,0,0,0,0,0,4.5,77.8,0,0,Wolfsburg,Bundesliga
243532,ch,Francisco Rodríguez,20, Midfielder,176,77,0,1,8,0,0,0,0,0,84.2,0,0,6.27,1,0,0,0,0,0,0,0.0,1,0,0,0,0,1,19,84.2,0,2,Wolfsburg,Bundesliga
13819,dk,Nicklas Bendtner,28, FW,194,89,4,9,414,2,0,2,0,0.7,63.9,0,0.9,6.18,0.3,0,0.5,0,0.2,0.2,0.1,0.0,0.2,0.3,0.2,0.6,0.2,0.2,8.3,63.9,0,0.2,Wolfsburg,Bundesliga
98940,pe,Carlos Ascues,24, D(C),187,78,0,1,8,0,0,0,0,0,71.4,0,0,6.15,0,1,1,1,0,0,0,0.0,0,0,0,0,0,0,7,71.4,0,1,Wolfsburg,Bundesliga
