player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
120312,nl,Robert Zwinkels,33, GK,186,82,1,0.0,90,0.0,0.0,0.0,0.0,0.0,51.1,0.0,0.0,7.94,0,0,0,0,2,0,0,0,0,0,0,0,0,0,45,51.1,0,12,ADO Den Haag,Eredivisie
19906,fr,Edouard Duplan,33, AM(CLR),176,69,31,0.0,2735,3,11,6,1,1.5,75.8,5,1.6,7.40,0.9,0.7,1.3,0,0.5,1,0,0,2.7,3.7,0.3,1.7,2.1,2.7,29.6,75.8,3,1.2,ADO Den Haag,Eredivisie
141790,ci,Wilfried Kanon,22, D(CL),190,85,12,2,1095,0,1,1,0,0.1,84.9,1,1.5,7.18,3.1,1.8,1,0.2,5.1,0.6,0.7,0.0,0.1,0.9,0,0.4,0.4,0.1,30.7,84.9,0.1,3.4,ADO Den Haag,Eredivisie
31238,nl,Aaron Meijers,28, D(L),176,71,30,0,2697,1,3,7,0,0.3,69.5,4,1.3,7.11,3,2,1.5,0.2,3.9,1.2,0.3,1,1.1,1.4,0.1,0.9,0.7,1.1,40.9,69.5,0.7,3.9,ADO Den Haag,Eredivisie
19660,nl,Timothy Derijck,29," D(C),DMC",185,77,23,4,2055,3,1,3,0,0.7,76.4,1,1.9,7.03,2,3.1,1.1,0.1,2.7,0.7,0.4,0,0.3,0.5,0.1,0.2,0.4,0.3,28.9,76.4,0.1,2.1,ADO Den Haag,Eredivisie
62022,jp,Mike Havenaar,29, FW,194,85,31,0,2735,16,3,3,0,2.6,61.7,2,3.3,7.01,0.4,0.1,1.1,0,0.8,0.5,0.1,0,1,1.5,0.6,1.6,2.2,1,18.4,61.7,0.1,0.1,ADO Den Haag,Eredivisie
90636,nl,Tom Beugelsdijk,25, D(C),192,79,21,3,1991,2,0,4,0,0.5,79,0,1.1,6.90,1.7,2,0.8,0.6,6.2,0.8,1.1,1,0.3,0.2,0,0.1,0.3,0.3,32.9,79,0.1,3.1,ADO Den Haag,Eredivisie
122972,nl,Danny Bakker,21," D(C),DMC",178,70,32,1,2773,3,2,8,0,1,75.2,1,1.7,6.85,2.2,1.8,1.6,0,2.2,1.4,0.3,0,0.6,1,0.1,0.8,1.3,0.6,30.2,75.2,0.1,2.4,ADO Den Haag,Eredivisie
34629,nl,Vito Wormgoor,27, D(C),188,81,23,0,1991,2,0,3,0,0.6,84.2,0,1.3,6.83,1.3,2.9,1,0.6,5.3,0.4,0.5,0,0.2,0.4,0,0.1,0.3,0.2,43.6,84.2,0,4.9,ADO Den Haag,Eredivisie
43020,nl,Dion Malone,27," D(R),DMC",185,68,21,4,1894,1,1,5,1,0.4,76,0,0.8,6.80,1.8,2.8,1,0.2,2.3,0.8,0.4,0,0.5,0.7,0.1,0.6,0.7,0.5,27.8,76,0.2,2.2,ADO Den Haag,Eredivisie
19499,nl,Gianni Zuiverloon,29, D(CR),179,70,18,4,1569,2,1,4,0,0.8,82.9,0,1.1,6.79,1.9,2.1,1.5,0.5,3.9,0.7,0.2,1,0.3,0.5,0,0.4,0.5,0.3,32.6,82.9,0.1,3.1,ADO Den Haag,Eredivisie
104974,nl,Kevin Jansen,24, AM(C),183,77,24,4,2158,5,1,5,0,1.1,76.2,2,1.1,6.75,1.7,1.6,1.4,0,0.6,1,0.1,0,0.4,0.8,0.1,0.9,1.4,0.4,25.4,76.2,0.5,1.3,ADO Den Haag,Eredivisie
5502,dk,Thomas Kristensen,33, DMC,188,79,14,4,1143,1,0,1,0,0.3,78.7,1,1.6,6.71,1.6,1.6,0.9,0,1.2,0.9,0.3,0,0.3,0.5,0,0.7,0.7,0.3,29.2,78.7,0.2,3.1,ADO Den Haag,Eredivisie
53184,,Martin Hansen,26, GK,188,80,33,0,2970,1,0,2,0,0.1,57.5,1,0.2,6.71,0,0.1,0,0,0.9,0.1,0,0,0,0.2,0,0,0,0,34.8,57.5,0,11.1,ADO Den Haag,Eredivisie
23429,nl,Ruben Schaken,34," AM(R),FW",172,74,27,2,2215,2,2,5,0,0.7,82.9,2,0.4,6.63,0.7,0.7,1.5,0,0.2,0.4,0.1,0,0.8,2.5,0.7,2.3,2.3,0.8,19.5,82.9,0.9,0.5,ADO Den Haag,Eredivisie
232248,nl,Tyronne Ebuehi,20, D(R),187,72,14,0,1231,0,0,1,0,0.1,75.6,0,0.9,6.57,1.9,2,0.7,0,3.2,0.5,0.1,0,0.4,0.3,0,0.4,0.9,0.4,33.4,75.6,0.4,2.4,ADO Den Haag,Eredivisie
89571,nl,Roland Alberg,25, AM(CL),180,72,8,5,684,1,1,3,0,2.2,81.9,0,0.5,6.44,0.8,0.8,0.7,0,0.5,0.3,0,0,0.4,2.1,0.1,0.8,0.8,0.4,17.8,81.9,0.1,0.7,ADO Den Haag,Eredivisie
303420,nl,Dennis van der Heijden,19, Forward,0,0,1,8,135,2,0,0,0,0.9,58.1,0,1,6.42,0.7,0.2,0.4,0,0.1,0.4,0,0,0.3,0,0.2,0.6,0.7,0.3,4.8,58.1,0.1,0.1,ADO Den Haag,Eredivisie
289326,nl,Ludcinio Marengo,24, Forward,175,70,3,18,655,0,0,1,0,0.9,69.2,0,0.6,6.37,0.7,0.5,0.7,0,0,0.1,0,0,0.4,0.5,0.1,0.9,1.1,0.4,11.3,69.2,0,0.7,ADO Den Haag,Eredivisie
280768,nl,Kenji Gorré,21, Forward,177,71,1,4,123,0,1,0,0,0.8,80,0,0,6.33,0.8,0,0.2,0,0.2,0.4,0,0,0.6,0,0,0.2,0.4,0.6,6,80,0.6,0,ADO Den Haag,Eredivisie
