player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
133381,nl,Vincent Janssen,22, FW,180,79,32,2,2751,27,4,3,0.0,4.5,73.5,7,0.7,7.52,0.8,0.1,1.7,0.1,0.4,0.2,0.2,0,1.7,2.6,1.4,2,2.6,1.7,24.7,73.5,0.2,1.8,AZ Alkmaar,Eredivisie
122398,nl,Ridgeciano Haps,23, D(L),175,66,26,1,2286,3,2,4,0.0,0.7,70.4,4,1.1,7.37,2.5,3.4,1.1,0.3,3.2,0.5,0.2,0.0,0.8,2.9,0.1,0.9,1,0.8,28.6,70.4,0.2,3.1,AZ Alkmaar,Eredivisie
133390,ir,Alireza Jahanbakhsh,22, AM(R),180,78,21,2,1673,3,5,5,0.0,2.3,69.8,1,0.8,7.36,2,0.8,1.3,0,0.1,0.7,0,0.0,1.4,1.2,0.6,1.3,1,1.4,27.7,69.8,0.9,1.2,AZ Alkmaar,Eredivisie
120847,be,Stijn Wuytens,26," D(C),DMC",183,74,15,0,1324,0,0,1,1,0.3,83.3,0,2.7,7.18,2.2,2.7,1,0.7,5.5,0.7,0.3,0.0,0.5,0.5,0,0.4,0.1,0.5,47.5,83.3,0.6,4.4,AZ Alkmaar,Eredivisie
69090,no,Markus Henriksen,23, M(C),187,85,28,0,2449,12,6,2,0,2.3,71.2,2,2.1,7.15,1.6,0.8,1.3,0,1.1,0.8,0,0.0,1.5,0.9,0.2,1.2,1.6,1.5,25.5,71.2,0.3,1.1,AZ Alkmaar,Eredivisie
74626,nl,Jop van der Linden,25, D(C),188,74,13,1,1125,1,1,1,0,0.6,82.6,1,1.4,7.14,1.9,2.1,0.5,0.8,5.6,0.6,0.6,0.0,0.7,0.7,0,0.2,0.1,0.7,44.2,82.6,1,6.8,AZ Alkmaar,Eredivisie
108379,nl,Fernando Lewis,23, AM(L),180,75,1,0,86,0,0,0,0,3,83.3,0,0,7.13,0,3,1,0,2,1,0,0,3,0,0,0,0,3,30,83.3,1,2,AZ Alkmaar,Eredivisie
81978,se,Mattias Johansson,24, D(R),171,64,26,0,2283,1,3,7,0,0.3,77.1,1,0.9,7.07,3.1,2.5,1.3,0.2,3.2,1.5,0.3,0.0,0.5,0.8,0,0.7,1,0.5,37.8,77.1,0.2,2.9,AZ Alkmaar,Eredivisie
141173,nl,Dabney dos Santos,19, AM(CL),172,69,25,5,2109,4,8,2,0,1.5,68.1,0,0.6,7.03,1,0.9,0.6,0,0.2,0.5,0.1,0,1.8,0.5,0.3,0.9,1.5,1.8,20,68.1,0.8,1.2,AZ Alkmaar,Eredivisie
302474,tt,Levi García,18, Forward,175,70,4,4,392,1,1,0,0,1.1,79.8,1,0.9,7.01,1.3,0.5,0.5,0,0.1,0.4,0,0,1.5,0.8,0,1.1,1.4,1.5,10.5,79.8,0.6,0.4,AZ Alkmaar,Eredivisie
97351,nl,Jeffrey Gouweleeuw,24, D(C),187,84,16,0,1440,2,0,3,0,0.8,79.4,0,2,7.00,1.3,2.1,1.2,0.8,5.9,0.3,1,0,0.9,0.4,0,0.3,0.3,0.9,51.9,79.4,0.1,5.8,AZ Alkmaar,Eredivisie
90830,nl,Ben Rienstra,26," D(C),DMC",182,67,26,2,2395,1,3,2,0,0.9,79.5,0,1.8,6.89,1.5,1.7,1.3,0,1.7,0.9,0.1,0.0,0.8,0.5,0,0.5,0.7,0.8,42.7,79.5,0,2.7,AZ Alkmaar,Eredivisie
231141,uy,Sergio Rochet,23, GK,190,82,23,0,2070,0,0,0,0,0,55.5,2,0.4,6.89,0,0,0,0,1,0,0,0,0.1,0.1,0,0,0,0.1,26.8,55.5,0,7.1,AZ Alkmaar,Eredivisie
14107,nl,Ron Vlaar,31, D(C),189,80,17,0,1515,1,0,0,0,0.6,82.6,0,1.1,6.88,1.2,2,0.2,0.6,4.6,0.7,0.9,1,0.2,0.2,0,0.1,0.6,0.2,39.5,82.6,0.1,3.4,AZ Alkmaar,Eredivisie
123556,nl,Joris van Overeem,22, M(CR),181,71,31,2,2498,4,9,3,0,1,77.1,0,0.3,6.85,1.6,1.1,1.4,0,0.4,0.8,0.2,0.0,1.4,1.2,0.2,1.1,1.2,1.4,32.6,77.1,0.3,1.7,AZ Alkmaar,Eredivisie
231140,nl,Derrick Luckassen,20," D(CR),DMC",186,78,13,8,1277,1,0,1,2,0.5,78,0,1.6,6.81,1.4,1.7,1.3,0.3,3.2,0.5,0.6,1,0.4,1,0,0.4,0.6,0.4,29.9,78,0.1,2.9,AZ Alkmaar,Eredivisie
301027,nl,Thomas Ouwejan,19, Midfielder,184,0,2,1,184,0,0,0,0,0.3,65,0,1,6.75,3,1.3,0.7,0.3,2,0.7,0,0.0,0,1,0,0,1,0,20,65,0,1,AZ Alkmaar,Eredivisie
75800,rs,Rajko Brezancic,26, D(L),175,71,7,1,595,1,0,2,0,0.5,74,0,0.5,6.73,1.6,1.1,0.9,0.3,2.3,0.4,0.4,0.0,0.8,0.5,0.1,0.1,0.1,0.8,30.3,74,0.6,2.1,AZ Alkmaar,Eredivisie
124380,nl,Thom Haye,21, AM(CL),177,74,10,15,1073,1,2,2,0,0.8,77.8,0,0.6,6.65,1.5,0.8,0.6,0,1,0.5,0,0.0,0.7,0.2,0,0.6,0.8,0.7,24.5,77.8,0.4,3,AZ Alkmaar,Eredivisie
5313,nl,Mounir El Hamdaoui,31, FW,183,84,7,0,576,1,0,0,0,2.6,82.5,0,0.1,6.55,0.7,0.1,1,0,0.1,0.1,0,0,0.6,1.1,0.3,1.1,2.9,0.6,23.7,82.5,0,0.1,AZ Alkmaar,Eredivisie
101079,se,Muamer Tankovic,21, FW,180,74,6,13,690,3,1,3,0,1.1,78.6,1,0.3,6.52,0.3,0.2,0.3,0,0.1,0.3,0,0,0.6,0.5,0,0.6,0.9,0.6,14.3,78.6,0.3,0.6,AZ Alkmaar,Eredivisie
74627,nl,Guus Hupperts,24, AM(LR),184,79,4,9,521,1,2,0,0,0.6,73.9,0,0.2,6.52,0.4,0.2,0.5,0,0.1,0.2,0.1,0,1.3,0.2,0.2,0.6,1.1,1.3,16.2,73.9,0.8,0.6,AZ Alkmaar,Eredivisie
303135,nl,Levi Opdam,20, Defender,165,0,1,0,29,0,0,0,0,0,100,0,0,6.48,1,0,0,0,2,0,0,0,0,0,0,0,0,0,10,100,0,1,AZ Alkmaar,Eredivisie
300755,gr,Pantelis Hatzidiakos,19, Defender,178,0,1,3,175,0,0,1,0,0,80,0,0.5,6.47,2,0.8,0.8,0.5,2.5,1.3,0.5,0.0,0.5,0,0,0.3,0.3,0.5,15,80,0,2,AZ Alkmaar,Eredivisie
52984,nl,Gino Coutinho,33, GK,180,74,11,0,990,0,0,1,0,0,57.2,0,0,6.46,0,0,0.1,0,0.4,0,0,0,0,0,0,0,0,0,24.6,57.2,0,5.2,AZ Alkmaar,Eredivisie
69691,py,Celso Ortíz,27, DMC,175,71,6,12,668,0,0,1,0,0.2,79.9,0,0.8,6.46,1.4,1.4,0.8,0.1,0.9,0.4,0.3,0.0,0.2,0.6,0,0.3,0.2,0.2,22.7,79.9,0.1,1.1,AZ Alkmaar,Eredivisie
288976,nl,Achille Vaarnold,20, Forward,172,70,1,0,72,0,0,0,0,1,75,0,2,6.06,1,0,1,0,1,1,0,0,0,1,0,0,1,0,4,75,0,0,AZ Alkmaar,Eredivisie
240878,nl,Robert Mühren,27, FW,180,78,1,17,337,1,1,1,0,0.8,59.2,0,0.2,6.04,0,0.1,0.4,0,0.3,0.1,0.1,0,0.3,0.1,0.4,0.1,0.7,0.3,4.2,59.2,0,0,AZ Alkmaar,Eredivisie
