player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
110290,nl,Joël Veltman,24, D(CR),182,73,34,0.0,3026,2,5,4,0.0,0.6,78.9,5,3.3,7.77,3.4,3.4,1.7,0.6,5.2,0.6,0.3,0.0,0.5,1.3,0,0.3,0.5,0.5,56.9,78.9,0.1,5.1,Ajax,Eredivisie
77417,rs,Nemanja Gudelj,24, DMC,187,87,34,0.0,2989,4,8,4,0.0,1.4,82.8,5,2.3,7.73,1.9,2.4,1.6,0.1,2,0.4,0.4,0.0,1.8,1.3,0,0.8,0.9,1.8,50.7,82.8,1.8,2.8,Ajax,Eredivisie
34267,nl,Diederik Boer,35, GK,194,89,1,0.0,90,0,0,0,0.0,0,35.3,0,0,7.51,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,34,35.3,0,8,Ajax,Eredivisie
112210,de,Amin Younes,22, AM(CL),168,70,25,2,1914,8,5,0,0.0,1.7,81.6,2,0.1,7.39,1.1,0.7,1,0,0,0.4,0,0.0,1.4,1.3,0.2,2.4,1.6,1.4,23.7,81.6,0.4,1,Ajax,Eredivisie
108860,nl,Davy Klaassen,23, AM(C),179,70,30,1,2636,13,8,4,0.0,1.5,78.7,1,1.7,7.35,1.4,0.9,0.8,0,0.6,0.6,0.2,0.0,1.8,0.7,0.2,1.3,1.5,1.8,37.2,78.7,0.1,1.3,Ajax,Eredivisie
115574,nl,Mitchell Dijks,23, D(L),194,93,29,0,2493,0,6,5,0.0,0.6,81.1,2,1.2,7.32,2,1.3,1.6,0.4,1.9,0.3,0.3,0.0,1.1,1.2,0,0.9,0.8,1.1,43.2,81.1,1.3,2.6,Ajax,Eredivisie
104257,pl,Arkadiusz Milik,22, FW,186,78,28,3,2474,21,7,1,0.0,3.5,72,3,1.5,7.30,0.3,0.3,1.2,0,0.3,0.5,0,0.0,1,1.4,0.9,1.7,2.1,1,24.4,72,0,0.5,Ajax,Eredivisie
70906,nl,Nick Viergever,26," D(CL),DMC",183,78,14,3,1430,0,2,4,0.0,0.2,86.5,0,1.8,7.20,1.3,2.2,1.3,0.4,3.8,0.4,0.7,0.0,0.6,0.4,0,0.3,0.7,0.6,54.6,86.5,0.2,2.2,Ajax,Eredivisie
145996,nl,Kenny Tete,20, D(R),180,77,19,2,1595,0,1,2,0.0,0.2,85.4,2,0.8,7.19,2.9,3,1.3,0.1,1.4,0.6,0.3,0.0,0.5,0.8,0,0.8,0.9,0.5,42.5,85.4,0.2,2.3,Ajax,Eredivisie
133959,nl,Riechedly Bazoer,19, M(C),184,74,27,2,2324,5,4,4,0.0,1.9,85.2,1,0.9,7.18,1.4,0.7,0.8,0,0.5,0.6,0.1,0.0,0.8,1.5,0,1.1,1.1,0.8,45,85.2,0.2,3.3,Ajax,Eredivisie
232261,nl,Anwar El Ghazi,21," AM(R),FW",189,87,20,7,1760,11,2,2,1,2.1,75.6,2,1.3,7.12,0.6,0.2,1.2,0,0.2,0.3,0,0.0,0.9,1.3,0.3,1.9,2.7,0.9,16.3,75.6,0.7,0.2,Ajax,Eredivisie
141246,nl,Jairo Riedewald,19, D(CL),182,79,21,2,1852,0,1,5,0,0,89.3,0,0.9,7.09,1.6,2.4,1.2,0.6,2.3,0.6,0.4,0.0,0.3,0.8,0,0.3,0.4,0.3,62.6,89.3,0,5,Ajax,Eredivisie
101605,nl,Mike van der Hoorn,23, D(C),190,81,13,2,1168,1,1,1,1,0.5,78.8,1,4.1,7.06,0.9,0.9,0.5,0.3,4,0.1,0.4,0.0,0.4,0.4,0,0.1,0.1,0.4,41.9,78.8,0,4.8,Ajax,Eredivisie
22300,dk,Lasse Schöne,30, AM(CLR),178,75,12,12,1077,4,4,1,0,1.1,82.4,2,0.7,6.91,0.5,0.5,0.5,0,0.3,0.2,0,0.0,1.4,0.8,0.2,0.9,1.2,1.4,19.9,82.4,0.8,0.5,Ajax,Eredivisie
141781,nl,Daley Sinkgraven,20, AM(CL),179,64,10,6,941,0,0,1,0,0.6,83.4,0,0.7,6.91,1.8,1,0.4,0,0.3,0.6,0.2,0.0,0.6,1.1,0.1,1.6,1,0.6,30.5,83.4,0.6,1.9,Ajax,Eredivisie
298844,nl,Sam Hendriks,21, Forward,180,70,0,1,9,0,1,0,0,1,50,0,0,6.85,0,0,1,0,1,0,0,0.0,1,0,0,0,0,1,2,50,1,0,Ajax,Eredivisie
291964,cz,Vaclav Cerny,18, Forward,178,68,2,5,267,1,1,0,0,1.6,86.4,0,0.1,6.83,0.7,0.6,0,0,0.1,0.3,0,0.0,1,0.4,0,0.3,1.4,1,15.7,86.4,0.1,0.4,Ajax,Eredivisie
90811,nl,Jasper Cillessen,27, GK,185,83,33,0,2970,0,0,0,0,0,62.3,0,0.1,6.81,0,0,0,0,0.7,0,0,0.0,0.1,0.1,0,0,0.1,0.1,28,62.3,0,6.5,Ajax,Eredivisie
101862,dk,Viktor Fischer,22," AM(L),FW",181,81,10,18,1191,8,3,0,0,1.5,80.2,2,0.3,6.80,0.3,0.3,0.2,0,0.1,0.2,0,0.0,0.7,0.4,0.2,1,1,0.7,15.9,80.2,0,0.7,Ajax,Eredivisie
275035,nl,Donny van de Beek,19, M(C),181,76,4,4,348,0,0,0,0,0.4,83.7,0,0.3,6.53,1.6,0.4,0.6,0,0.4,0.5,0.1,0.0,0.6,0.8,0.3,1.1,0.6,0.6,23.8,83.7,0,0.9,Ajax,Eredivisie
89469,za,Thulani Serero,26, M(C),164,62,6,8,574,1,0,0,0,0.5,87.9,0,0.3,6.52,1.1,1.2,0.4,0,0.6,0.4,0,0.0,0.2,1.2,0.1,0.2,0.8,0.2,22.5,87.9,0,0.4,Ajax,Eredivisie
303814,hr,Robert Muric,20, Midfielder,180,70,0,2,28,0,1,0,0,0,93.3,0,0,6.51,0,0,0.5,0,0,0,0.5,0.0,0.5,0.5,0,0,0.5,0.5,7.5,93.3,0,0,Ajax,Eredivisie
109109,nl,Ricardo van Rhijn,25, D(R),179,72,2,10,372,0,0,0,0,0.5,83.3,0,0.3,6.44,1,0.9,0.5,0.1,0.9,0.1,0.1,0.0,0.3,0.1,0.1,0.1,0.2,0.3,16.5,83.3,0.3,1.5,Ajax,Eredivisie
83304,fr,Yaya Sanogo,23, FW,191,74,0,3,47,0,0,0,0,0,40,0,1.7,6.31,0,0,0.3,0,0.3,0,0,0.0,0.3,0.7,0.3,0.7,0.7,0.3,6.7,40,0,0,Ajax,Eredivisie
6023,nl,John Heitinga,32, D(C),182,72,0,2,40,0,0,0,0,1,76.9,0,0.5,6.06,0,0.5,0,0,0,0,0,0.0,0,0,0,0,0.5,0,6.5,76.9,0,0.5,Ajax,Eredivisie
