player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
125733,ng,Bartholomew Ogbeche,31," AM(LR),FW",177,78,15,1,1232,9,2,2,0.0,2.6,68,2,3.6,7.17,0.8,0.3,1.6,0,1,0.3,0.2,0,1.1,1.3,0.5,1.7,2.1,1.1,22.4,68,0.1,0.6,Cambuur,Eredivisie
78353,be,Marvin Peersman,25, D(CLR),185,79,31,1,2809,0,3,7,0.0,1,76.8,2,2.5,6.95,2.4,2.7,2.4,0.6,5.5,0.7,0.4,1,0.5,1.8,0,0.7,0.9,0.5,48.1,76.8,0.2,4.3,Cambuur,Eredivisie
30792,nl,Etiënne Reijnen,29, D(CR),190,85,1,0,90,0,0,0,0.0,0,86.6,0,3,6.89,1,2,1,1,1,1,0,0,3,1,0,0,0,3,82,86.6,2,4,Cambuur,Eredivisie
73856,nl,Marlon Pereira,29, D(LR),178,82,5,0,406,0,1,1,0.0,0.2,72.2,0,0.2,6.78,1,3.2,0.2,0.2,3.8,0.6,0,0,1.2,0.4,0.2,0.4,0.4,1.2,28.8,72.2,0.8,1.6,Cambuur,Eredivisie
38145,nl,Sjoerd Overgoor,27, DMC,181,75,21,1,1677,2,0,2,0.0,1.1,74.9,1,0.7,6.76,1.7,1.4,1,0,1.5,0.9,0.4,0,1.3,1,0,0.7,0.7,1.3,27.5,74.9,0.9,1.8,Cambuur,Eredivisie
66907,lt,Vytautas Andriuskevicius,25, D(L),188,75,25,0,2003,0,0,3,0.0,0.4,78.2,0,1.8,6.75,2.2,2.6,1.4,0.4,3.6,1,0.2,0,0.6,0.7,0,0.3,0.4,0.6,40.4,78.2,0.4,3.9,Cambuur,Eredivisie
296683,ie,Jack Byrne,20, AM(C),175,73,25,2,2105,4,3,5,0.0,1.5,80.3,2,0.2,6.75,0.3,0.8,0.3,0,0.3,0.4,0.1,0,1.8,1,0.1,1.5,0.7,1.8,45,80.3,1.2,6.3,Cambuur,Eredivisie
300356,nl,Noureddine Boutzamar,22, Midfielder,0,0,0,1,45,0,0,0,0.0,2,80,0,0,6.67,1,1,0,0,0,0,0,0,0,1,0,0,0,0,65,80,0,4,Cambuur,Eredivisie
255970,nl,Wessel Dammers,21, D(C),185,68,14,5,1313,0,0,2,1,0.3,84.8,1,1.7,6.63,1.7,3.2,0.8,0.7,4.5,0.5,0.4,1,0,0.8,0,0.2,0.2,0,43.3,84.8,0,5,Cambuur,Eredivisie
77699,nl,Calvin Mac-Intosch,26, D(CR),181,78,12,2,1111,2,1,3,0,0.3,84.2,2,1,6.58,1.5,3.2,1.4,0.6,4.3,0.6,0.4,0,0.4,1.3,0,0.4,0.2,0.4,37.9,84.2,0.1,4.2,Cambuur,Eredivisie
34698,nl,Martijn van der Laan,27, D(C),175,75,18,3,1492,0,0,1,0,0.2,80.6,1,1,6.57,1.2,1.8,0.8,0.5,3.2,0.3,0.4,0,0.1,0.7,0,0.1,0.1,0.1,38.2,80.6,0,4,Cambuur,Eredivisie
23303,nl,Martijn Barto,31," AM(C),FW",186,81,20,8,1940,4,1,3,0,1.6,66.3,1,3,6.56,0.9,0.4,1.9,0,0.9,0.6,0,0,0.7,1.5,0.4,1.4,2.1,0.7,18.9,66.3,0.1,0.5,Cambuur,Eredivisie
110360,nl,Sander van de Streek,23, AM(C),180,74,29,3,2540,4,2,2,1,1.8,69.1,0,1.7,6.55,1.6,1.1,0.6,0.1,1.3,1.1,0.1,0,0.8,1.4,0.1,1.2,1.6,0.8,24.8,69.1,0.1,0.9,Cambuur,Eredivisie
69584,nl,Darryl Lachman,26, D(C),189,75,15,0,1350,0,0,5,0,0.2,86.5,0,1.3,6.51,1.3,2.5,0.5,1.1,3.3,0.6,0.4,0,0.3,0.8,0,0.2,0.2,0.3,52.7,86.5,0.1,4.8,Cambuur,Eredivisie
68596,nl,Furdjel Narsingh,28, AM(LR),175,74,19,7,1737,1,4,0,0,0.5,76.8,0,0.2,6.47,0.9,0.3,0.2,0,0.3,0.3,0,0,1.5,0.8,0,1.3,0.8,1.5,16.4,76.8,0.9,0.5,Cambuur,Eredivisie
