player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
95889,nl,Ted van de Pavert,24, D(C),190,80,28,0.0,2497,2,1,2,0.0,0.6,80,1,2.3,7.02,1.9,2,1.4,1,7.6,0.4,0.7,0,0.3,0.7,0,0.1,0.5,0.3,33.9,80,0,4.5,De Graafschap,Eredivisie
115655,ma,Karim Tarfi,22, AM(C),175,70,13,4,1197,2,0,3,1,1.9,67.6,1,0.5,6.84,2.4,1.3,1.6,0.1,2.1,0.9,0.2,0,0.8,1.4,0.1,0.6,1.3,0.8,24.3,67.6,0.5,2.7,De Graafschap,Eredivisie
289345,nl,Bart Straalman,19, D(CR),190,82,17,2,1515,2,1,2,0,0.3,75.6,0,2.1,6.80,2,1.5,1,0.8,5.5,0.6,0.4,0,0.5,0.3,0,0.4,0.7,0.5,25.1,75.6,0.1,1.2,De Graafschap,Eredivisie
135107,nl,Vincent Vermeij,21, FW,192,85,21,12,2177,9,1,2,0,1.7,62.8,0,3.2,6.80,0.9,0.4,0.8,0,1.2,0.6,0.2,0,0.7,0.8,0.6,0.9,2,0.7,20.1,62.8,0,0.3,De Graafschap,Eredivisie
231013,nl,Hidde Jurjus,22, GK,187,78,34,0,3060,0,0,0,0,0,51.5,2,0.2,6.78,0,0,0,0,1.4,0.1,0,1,0.1,0,0,0,0,0.1,34.4,51.5,0,10.1,De Graafschap,Eredivisie
108935,nl,Robin Pröpper,22," D(C),DMC",190,80,28,3,2509,2,0,9,1,0.8,74.4,0,2.2,6.75,2.1,2,1.1,0.6,5.2,1.1,0.7,0,0.5,1,0,0.2,0.4,0.5,34.1,74.4,0.1,4.4,De Graafschap,Eredivisie
13857,gb,Andrew Driver,28, AM(CL),176,70,25,2,2058,4,4,4,0,0.8,73.3,1,0.1,6.74,1.4,0.6,0.7,0,1,1.3,0.1,0,1.5,0.6,0.1,0.7,1.9,1.5,21.5,73.3,1.4,0.9,De Graafschap,Eredivisie
296762,tr,Tolgahan Cicek,21, D(L),178,73,13,1,1147,0,0,6,0,0.3,63.8,0,0.6,6.72,2.6,1.4,1.4,0.1,4.1,1.4,0.6,0.0,0.4,0.3,0,0.3,0.9,0.4,18.1,63.8,0.4,2.1,De Graafschap,Eredivisie
120306,nl,Nathaniel Will,27, D(R),177,70,26,2,2343,1,2,6,0,0.5,67.4,0,1,6.70,2.5,1.6,1.5,0.4,3.2,1.1,0.5,1,0.6,1,0.1,0.8,0.8,0.6,23.3,67.4,0.5,1.8,De Graafschap,Eredivisie
115863,nl,Mark Diemers,22, DMC,175,70,11,2,917,1,0,0,0,0.7,84.1,0,0.6,6.64,2.2,1.2,0.8,0.2,1.2,1.5,0.1,0,0.8,1.4,0,0.8,0.5,0.8,30.1,84.1,0.8,2.5,De Graafschap,Eredivisie
97722,nl,Cas Peters,23, FW,184,75,28,1,2265,5,1,3,0,2.4,68.4,0,1.1,6.59,0.6,0.1,1.7,0,0.5,0.8,0,0,1.2,0.8,0.3,1.5,1.8,1.2,15.5,68.4,0.2,0.3,De Graafschap,Eredivisie
77706,nl,Bryan Smeets,23, M(C),183,82,27,1,2328,1,4,2,0,1.8,75.2,0,0.7,6.56,1,0.9,1.2,0,1.1,0.9,0.3,0,1.4,0.4,0,0.8,1.4,1.4,37.6,75.2,1.3,3.6,De Graafschap,Eredivisie
71407,nl,Jeroen Tesselaar,27, D(L),183,74,18,3,1587,0,1,5,1,0.3,65.4,0,0.6,6.52,2.1,2.2,1.3,0.5,3.3,0.6,0.1,0,0.9,0.4,0,0.3,0.4,0.9,22.1,65.4,0.5,2.1,De Graafschap,Eredivisie
97716,nl,Lion Kaak,24, DMC,180,80,9,5,856,0,0,2,0,0.5,73.5,0,0.6,6.43,2.2,1.7,1.4,0,1.4,0.9,0.3,0,0.3,0.3,0,0.2,0.4,0.3,23.4,73.5,0,2.6,De Graafschap,Eredivisie
289344,nl,Jan Lammers,21, Defender,190,83,4,1,349,0,0,1,0,0,87,0,1,6.35,1,2,0.8,0.6,3.8,0.4,0.2,0,0,0.6,0,0.2,0.2,0,27.6,87,0,2.2,De Graafschap,Eredivisie
289339,hu,Kristopher Vida,20, M(C),176,73,12,9,1199,1,1,4,0,1.2,76.2,0,0.4,6.35,1.8,0.7,0.9,0,0.8,0.8,0.1,0,0.9,0.5,0,1,1.2,0.9,17.2,76.2,0.2,0.8,De Graafschap,Eredivisie
285267,nl,Youssef El Jebli,23, AM(C),177,72,18,13,1574,1,3,1,0,1.1,70.1,0,0.4,6.34,0.7,0.4,0.9,0,0.1,1,0,0,1.1,0.4,0.1,1.5,1.5,1.1,15.9,70.1,0.6,0.7,De Graafschap,Eredivisie
68385,be,Nathan Kabasele,22, FW,175,84,10,11,1065,3,1,3,0,1,66.5,0,1.1,6.29,0,0,0.7,0,0,0.2,0,0,0.7,0.5,0.4,0.8,1.4,0.7,12.5,66.5,0.1,0.3,De Graafschap,Eredivisie
132984,nl,Dean Koolhof,21, AM(C),179,69,5,8,451,0,0,0,0,0.9,69.8,0,0.1,6.21,0.8,0.4,0.3,0,0.4,0.2,0,0,0.2,0.2,0,0.5,0.8,0.2,8.9,69.8,0.2,0.4,De Graafschap,Eredivisie
82001,nl,Alexander Bannink,26, M(CR),185,75,11,1,980,1,0,0,1,2.6,68,0,1.2,6.20,1.1,0.5,1.3,0.1,1.5,0.3,0.1,0,0.7,0.7,0.1,1.8,1.5,0.7,21.3,68,0.1,1,De Graafschap,Eredivisie
289338,nl,Tim Linthorst,21, D(C),191,82,5,0,399,0,0,1,0,0.4,77.3,0,0.6,6.16,1.8,1.4,1.2,1,3.8,0.6,1,0,0,1.2,0,0,0.6,0,36.2,77.3,0,4,De Graafschap,Eredivisie
96631,nl,Thijs Bouma,24, Defender,183,77,4,2,364,0,0,0,0,0.2,68,0,0.7,6.15,1.5,1.5,0.3,0.7,2.5,1,0.2,1,0.3,0,0,0,0.5,0.3,20.3,68,0.3,1.7,De Graafschap,Eredivisie
142228,pl,Piotr Parzyszek,22, Forward,190,80,0,9,145,2,0,1,0,0.4,55.4,0,0.6,6.12,0,0.1,0.8,0,0.1,0.2,0,0,0.1,0.4,0.3,0.2,0.3,0.1,6.2,55.4,0,0.1,De Graafschap,Eredivisie
23027,nl,Erik Quekel,29, FW,181,78,7,1,510,0,0,2,0,0.8,80.2,0,0.1,6.07,0.6,0.1,1.6,0,0.5,0.8,0,0,0.4,1.4,1.3,0.5,1.8,0.4,10.1,80.2,0.1,0,De Graafschap,Eredivisie
289347,nl,Tom Menting,21, Midfielder,172,68,0,6,80,0,0,0,0,0,73.7,0,0,6.01,0,0.5,0.5,0,0,0.3,0,0,0.2,0.3,0,1,0.5,0.2,6.3,73.7,0.2,0,De Graafschap,Eredivisie
