player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
34168,nl,Daan Bovenberg,27, D(R),183,74,13,3,1220,1,0.0,2,0.0,1.1,62.2,0.0,1.7,7.04,2.6,2.7,1.9,0.0,3.8,0.8,0.3,0.0,0.9,0.4,0,0.3,0.9,0.9,27.9,62.2,0.4,4,Excelsior,Eredivisie
104971,nl,Jurgen Mattheij,23, D(C),191,84,21,0,1882,0,0.0,4,1,0.2,80.4,0.0,2.3,6.99,1.5,3.5,1.7,0.4,9.1,0.2,0.9,0.0,0.1,0.7,0,0.1,0.4,0.1,36.5,80.4,0,5.2,Excelsior,Eredivisie
25037,ma,Adil Auassar,29, AM(CL),186,80,33,1,2999,2,4,3,0,1.6,61,1,2.7,6.99,1.9,1.6,1.7,0,2.4,0.5,0.4,0.0,1.8,1.4,0.3,2.2,2.2,1.8,38.2,61,1.1,3.3,Excelsior,Eredivisie
231132,nl,Sander Fischer,27, D(C),187,72,32,0,2859,2,2,3,2,0.4,78.5,4,2.1,6.91,1.3,2.9,1,0.7,7.8,0.6,0.8,0.0,0.2,0.6,0.1,0.1,0.2,0.2,36.5,78.5,0,4.2,Excelsior,Eredivisie
290851,be,Tom Muyters,31, GK,187,83,23,2,2160,0,0,0,0,0,51.9,1,0,6.88,0,0.1,0,0,1,0,0,0.0,0,0,0,0,0,0,31.8,51.9,0,8.7,Excelsior,Eredivisie
22116,nl,Luigi Bruins,29, AM(C),178,73,17,1,1426,0,0,4,0,0.8,77.8,0,1.1,6.87,1.6,2.2,1.2,0,1.7,1.7,0.1,0.0,0.5,0.3,0,0.7,0.7,0.5,38.2,77.8,0.3,3.6,Excelsior,Eredivisie
69972,nl,Tom van Weert,26, FW,180,74,31,1,2740,11,2,4,1,2.3,70.9,4,2.2,6.86,0.8,0.2,1.1,0,0.6,0.4,0.1,0.0,0.8,2,0.7,1.4,2.5,0.8,19.7,70.9,0.2,0.7,Excelsior,Eredivisie
290850,nl,Brandley Kuwas,23, AM(CR),178,70,29,5,2522,4,2,3,0,1.6,79.1,1,0.2,6.79,1.2,0.2,1.4,0,0.1,0.8,0.2,0.0,1.1,2.6,0.3,3.5,2.7,1.1,18.3,79.1,0.3,2.1,Excelsior,Eredivisie
104731,nl,Khalid Karami,26, D(LR),175,73,30,0,2694,0,1,4,0,0.7,74.7,1,0.3,6.79,2.2,2.3,0.6,0.1,2.4,0.9,0.5,0.0,0.8,0.8,0,0.4,0.5,0.8,32.5,74.7,0.3,2.6,Excelsior,Eredivisie
134722,nl,Bas Kuipers,21, D(L),180,72,24,0,2136,0,2,5,0,0.2,72.7,0,1.2,6.77,1.9,3.1,1,0.4,3.8,0.5,0.3,0.0,0.5,1.5,0.1,0.6,1.1,0.5,29.7,72.7,0.4,3,Excelsior,Eredivisie
87630,pl,Filip Kurto,25, GK,191,82,11,0,900,0,0,0,0,0,57.2,1,0.3,6.75,0,0,0,0,2.3,0.1,0,0.0,0,0,0,0,0,0,25.3,57.2,0,9.1,Excelsior,Eredivisie
