player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
24260,br,Eric Botteghin,28, D(C),192,89,1,0.0,90,0.0,0.0,0.0,0.0,2,91.1,0.0,2,7.41,3,4,2,0.0,4,0,1,0.0,1,0,0,0,1,1,79,91.1,0,6,FC Groningen,Eredivisie
17765,se,Rasmus Lindgren,31," D(C),DMC",181,75,21,1,1914,5,1,2,0.0,0.7,86.5,2,2.2,7.19,1.6,1.9,0.7,0.6,7.3,0.2,0.6,0.0,0.2,0.5,0,0.1,0.1,0.2,55.5,86.5,0,4.2,FC Groningen,Eredivisie
90833,nl,Johan Kappelhof,25," D(CR),DMC",180,70,18,0,1620,1,1,5,0.0,0.2,80.7,1,1.8,7.08,2,3.2,1.2,0.3,5.2,0.7,0.5,0.0,0.2,0.5,0,0.4,0.6,0.2,46.4,80.7,0.1,2.9,FC Groningen,Eredivisie
30792,nl,Etiënne Reijnen,29, D(CR),190,85,33,1,3020,0,1,3,0.0,0.1,85.8,1,2.6,6.92,1.3,2.5,0.8,0.9,6.1,0.4,0.7,1,0.3,0.9,0.1,0.2,0.3,0.3,54.6,85.8,0,4.2,FC Groningen,Eredivisie
68854,nl,Sergio Padt,26, GK,192,82,36,0,3270,0,0,3,0.0,0,52.4,1,0.1,6.91,0,0.1,0,0,1.8,0.1,0,0,0.1,0.1,0,0,0,0.1,38.1,52.4,0,8.6,FC Groningen,Eredivisie
77725,nl,Michael de Leeuw,29," AM(C),FW",178,67,28,2,2474,9,2,5,1,1.9,73.8,2,1.5,6.84,1,1.1,2.1,0,1.2,0.5,0.1,0,0.8,1.6,0.8,0.6,1.7,0.8,20.8,73.8,0,0.3,FC Groningen,Eredivisie
141927,sk,Albert Rusnák,21, AM(CLR),175,61,29,3,2452,5,1,4,0,1.8,82,2,0.2,6.84,0.7,0.8,0.6,0,0.4,0.5,0,0,1.4,0.9,0.1,1,0.8,1.4,31.8,82,1.3,1.5,FC Groningen,Eredivisie
43004,nl,Bryan Linssen,25, AM(LR),170,70,19,11,1757,3,4,6,0,1.5,67.2,3,0.9,6.82,1.7,0.9,1.5,0,0.5,0.5,0,0.0,1,1,0.3,1,1.1,1,17.9,67.2,1,0.6,FC Groningen,Eredivisie
104292,nl,Lorenzo Burnet,25, D(L),170,65,22,0,1738,1,1,5,0,0.5,78.7,0,1,6.81,2.1,2,1.3,0.3,3.3,0.5,0.5,0.0,0.5,0.7,0,1.3,1,0.5,30.5,78.7,0.5,1.6,FC Groningen,Eredivisie
135890,nl,Hans Hateboer,22, D(R),185,72,33,0,3000,1,1,8,0,0.7,78.1,0,1.5,6.79,2,1.6,1.2,0.1,3.7,0.7,0.3,0.0,0.7,0.6,0,0.9,0.6,0.7,35.8,78.1,0.5,2.3,FC Groningen,Eredivisie
