player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
236544,fr,Sébastien Haller,21, FW,187,82,37,0.0,3195,19,5,2,1,2.9,60.3,8,5.9,7.52,0.6,0.5,1.5,0,1.1,0.4,0.1,0,1.1,2.1,0.3,2,2.5,1.1,29.1,60.3,0.2,0.7,FC Utrecht,Eredivisie
135271,nl,Sean Klaiber,21," D(R),M(R)",179,76,16,1,1373,0,4,3,0,0.9,75.1,1,1.2,7.15,2.6,3.2,1.1,0.2,1.6,1.2,0.4,0.0,1.4,0.6,0,0.8,1.3,1.4,37.3,75.1,1.1,2.8,FC Utrecht,Eredivisie
99897,nl,Ruben Ligeon,24, D(LR),175,73,4,3,483,0,1,3,0,0.3,74,0,0.1,7.10,2.9,2.6,0.7,0.3,0.9,0.4,0.0,0.0,0.4,0.3,0,1.1,1,0.4,24.1,74,0.9,2.3,FC Utrecht,Eredivisie
116641,nl,Timo Letschert,23, D(CR),180,75,34,0,2813,3,0,3,0,0.7,85.2,2,2,7.09,1.5,2.9,1,0.9,3.3,0.2,0.6,0.0,0.4,0.8,0,0.4,0.4,0.4,52.3,85.2,0,6.1,FC Utrecht,Eredivisie
32861,nl,Nacer Barazite,26," AM(C),FW",188,86,32,4,2686,8,7,3,0,1.7,78.6,0,1.2,7.05,0.5,0.5,0.3,0,0.2,0.1,0,0,1.4,0.5,0.4,1.8,1.4,1.4,26.8,78.6,1.5,1,FC Utrecht,Eredivisie
34246,nl,Chris Kum,30, D(CLR),183,71,21,4,1986,3,2,7,0,0.6,81.2,0,1.4,7.00,1.4,3.2,1.7,0.4,2.3,0.6,0.3,0,0.7,0.9,0.1,0.4,0.6,0.7,36.4,81.2,0.5,4,FC Utrecht,Eredivisie
116632,ma,Yassin Ayoub,22, M(C),175,70,22,2,1823,1,5,2,0,1.1,79.5,1,0.5,6.96,2.1,1.2,1.2,0.1,0.9,0.9,0.1,0.0,1.5,1.7,0.1,2,1.2,1.5,34.9,79.5,1,1.4,FC Utrecht,Eredivisie
132420,de,Rico Strieder,23, DMC,174,69,35,1,3057,3,1,4,0,0.4,85.2,1,1,6.92,2,2.4,1.1,0.1,1.6,1.1,0.3,0.0,0.5,1.5,0,1,0.6,0.5,45.5,85.2,0.1,2.9,FC Utrecht,Eredivisie
120718,nl,Ruud Boymans,27, FW,188,88,7,12,868,10,0,3,0,2.1,64.7,2,1.5,6.86,0.3,0.2,1.1,0,0.4,0.2,0,0,0.8,0.7,0.6,1.1,1.2,0.8,11.5,64.7,0.2,0.3,FC Utrecht,Eredivisie
39726,nl,Mark van der Maarel,26, D(CLR),177,74,36,0,3189,1,1,2,2,0.3,79.9,2,1.5,6.86,2,2.7,1.3,0.9,3.1,0.7,0.6,0.0,0.4,0.8,0,0.5,0.5,0.4,49.1,79.9,0.2,4.7,FC Utrecht,Eredivisie
261082,nl,Bart Ramselaar,19, AM(C),180,69,35,2,3140,5,6,3,0,1.2,84,1,0.5,6.85,0.9,0.6,0.4,0,0.1,0.1,0.1,0,1.1,0.9,0.2,1.4,1.5,1.1,32.8,84,0.2,0.9,FC Utrecht,Eredivisie
22842,nl,Willem Janssen,29, M(C),186,75,17,6,1613,3,3,2,0,1.1,76.8,1,2.3,6.81,1,1.3,1,0.2,1.1,0.6,0.3,0,0.7,0.9,0.1,0.4,0.7,0.7,28.3,76.8,0.1,1.9,FC Utrecht,Eredivisie
280289,nl,Giovanni Troupée,18, Defender,0,0,4,3,451,1,0,1,0,0.4,84.3,0,1.4,6.80,1.7,1.1,1,0.1,2.1,0,0.3,0.0,0.4,1.3,0.1,0.3,0.6,0.4,26.4,84.3,0.3,1.1,FC Utrecht,Eredivisie
96632,pl,Filip Bednarek,23, GK,188,81,9,0,810,0,0,0,0,0,66,0,0.1,6.78,0,0.2,0,0,0.9,0,0,0,0,0,0,0,0.1,0,28.8,66,0,10.3,FC Utrecht,Eredivisie
36133,nl,Ramon Leeuwin,28, D(C),187,72,23,8,2038,1,0,1,0,0.3,86.7,1,2.1,6.76,0.9,1.6,0.7,0.5,2.4,0.2,0.5,0,0.2,0.5,0,0.1,0.2,0.2,37.5,86.7,0.1,3.4,FC Utrecht,Eredivisie
