player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
7516,nl,Dirk Kuyt,35," M(CLR),FW",184,77,31,1,2753,19,3,5,0.0,2.6,71.6,6,2.8,7.41,1,0.8,0.9,0.1,1.1,0.7,0,0,1.3,1.3,0.4,1.2,1.4,1.3,47.7,71.6,0.6,1.8,Feyenoord,Eredivisie
14044,nl,Eljero Elia,29," AM(LR),FW",176,77,27,4,2385,8,4,3,0.0,2,77.7,5,0.5,7.32,2.1,0.5,1.5,0,0.4,0.8,0,0.0,1.4,2.4,0.7,2,2.8,1.4,32.1,77.7,0.7,1,Feyenoord,Eredivisie
297527,nl,Bart Nieuwkoop,20, D(R),180,72,5,0,392,0,1,0,0.0,1,71,0,3.4,7.27,1.8,3.4,0.8,0.4,5.2,1.2,0.2,0.0,1.2,1.2,0,1,1,1.2,40,71,1.6,4,Feyenoord,Eredivisie
109117,nl,Terence Kongolo,22, D(CL),183,70,29,0,2526,0,1,7,0.0,0.3,82.1,2,2.1,7.17,3,2,1,0.3,3.6,0.3,0.3,0.0,0.7,1.5,0,0.3,0.6,0.7,44.2,82.1,0.3,2.4,Feyenoord,Eredivisie
24260,br,Eric Botteghin,28, D(C),192,89,18,4,1644,0,0,2,0.0,0.6,85.2,3,2.6,7.07,1.8,2.3,0.9,0.4,4.5,0.5,0.5,0.0,0.2,0.2,0,0.1,0.2,0.2,48.7,85.2,0,5.1,Feyenoord,Eredivisie
110220,nl,Tonny Vilhena,21, AM(CL),175,73,19,8,1886,5,4,4,0.0,1.7,78.4,1,0.7,7.06,1.6,1.1,0.9,0,0.8,0.7,0.1,0.0,1.6,1.9,0.2,1.5,1.5,1.6,39.6,78.4,1.2,3.3,Feyenoord,Eredivisie
40342,nl,Michiel Kramer,27, FW,195,80,25,5,2075,14,4,3,0.0,2.3,67.1,1,1.9,7.04,0.2,0,1.2,0,0.2,0.1,0.1,0,0.9,0.8,1,0.2,1,0.9,12.5,67.1,0.1,0.1,Feyenoord,Eredivisie
67063,nl,Marko Vejinovic,26, M(C),180,76,21,2,1737,0,1,2,0.0,1.5,79.9,0,0.7,7.03,1.8,2,1,0,1.1,1.5,0.3,0.0,1.3,0.8,0,0.5,1,1.3,46.3,79.9,1.2,3.7,Feyenoord,Eredivisie
232249,nl,Rick Karsdorp,21, D(R),182,80,28,1,2462,0,10,4,1,0.4,82.1,1,0.5,7.00,1.9,1.7,0.8,0.3,1,0.7,0.1,0.0,1.4,0.4,0,0.8,0.7,1.4,53.1,82.1,1.1,4.7,Feyenoord,Eredivisie
124274,nl,Sven van Beek,21, D(C),190,76,30,2,2669,2,0,5,0,0.5,86.5,0,2.8,6.95,1.4,2.2,0.8,0.6,3.7,0.6,0.3,2,0.4,0.4,0,0.3,0.4,0.4,58.1,86.5,0,6.4,Feyenoord,Eredivisie
