player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
115869,ma,Oussama Tannane,22," AM(LR),FW",178,80,9,2,847,7,3,5,0.0,4,76.2,2,0.6,7.63,2.4,1.1,3.3,0,0,0.8,0.1,0.0,1.8,2.5,0.5,2.7,3.5,1.8,22.9,76.2,0.5,1.6,Heracles,Eredivisie
136263,nl,Iliass Bel Hassani,23, AM(C),173,72,37,0,3168,8,4,3,0.0,2.2,74.8,5,0.7,7.11,1.7,1.2,0.8,0,0.3,1,0.1,0,1.4,1.7,0.1,1.9,1.8,1.4,39.4,74.8,1,2.6,Heracles,Eredivisie
141762,nl,Gino Bosz,23, Midfielder,181,70,2,2,206,1,0,1,0.0,0.5,85.7,0,0.5,7.10,1,1.8,0.5,0.3,4.3,0,0.3,0,0.3,0.5,0,0,0.3,0.3,33.3,85.7,0,5.5,Heracles,Eredivisie
14924,nl,Mark-Jan Fledderus,33," D(L),M(CL)",178,71,31,1,2659,2,1,8,0.0,0.6,75,1,0.9,7.07,2.7,3.2,1.5,0.1,2.6,0.9,0.3,0.0,1.1,2,0,0.7,0.8,1.1,35.6,75,0.9,2.8,Heracles,Eredivisie
42980,nl,Wout Droste,27, D(R),180,73,33,0,2943,0,2,5,0.0,0.1,73.8,1,1.5,7.05,3,2.5,1.1,0.2,3.9,0.5,0.4,0.0,0.5,0.8,0,0.6,0.5,0.5,36.6,73.8,0.5,4.3,Heracles,Eredivisie
8973,nl,Ramon Zomer,33, D(C),183,75,35,0,3069,3,2,8,1,0.6,79,0,2.7,7.04,1.5,1.7,1.3,0.7,7.2,0.7,0.6,0,0.3,0.5,0.1,0.2,0.1,0.3,45.7,79,0,6.8,Heracles,Eredivisie
96581,nl,Thomas Bruns,24, AM(C),177,69,37,0,3174,7,6,9,0,1.8,73.7,2,0.7,7.02,2.3,1.2,1.8,0,1.6,1.1,0.1,1,1.3,2.1,0.1,1.2,1.8,1.3,35.7,73.7,0.7,3.8,Heracles,Eredivisie
141726,de,Robin Gosens,21," D(L),M(CL)",183,76,23,12,2206,2,2,5,0,1,69.3,1,1.2,7.01,2.6,1.8,0.8,0,2.1,0.5,0.2,0.0,0.6,1,0.3,0.5,0.9,0.6,19.3,69.3,1,1.4,Heracles,Eredivisie
91123,nl,Mike te Wierik,24, D(CR),191,73,36,0,3265,0,0,6,0,0.3,81.4,2,1.7,6.99,1.9,2.3,1.6,0.2,8.6,0.3,0.6,0,0.1,1.4,0.1,0.1,0.2,0.1,41.8,81.4,0,5.1,Heracles,Eredivisie
115479,nl,Wout Weghorst,23, FW,197,84,36,1,3152,14,0,4,0,2.1,69,2,2.6,6.97,0.8,0.4,1.4,0,0.8,0.6,0.2,0,1.1,2.5,1,1.5,2.5,1.1,21.6,69,0.1,0.3,Heracles,Eredivisie
32829,be,Bram Castro,33, GK,191,83,38,0,3450,0,0,0,0,0,62.6,3,0.1,6.93,0,0,0,0,0.5,0,0,0,0,0.1,0,0,0,0,31.1,62.6,0,8.6,Heracles,Eredivisie
97719,nl,Joey Pelupessy,23, DMC,172,63,38,0,3419,1,2,5,0,0.5,81.1,0,1.2,6.89,2.2,2.7,0.9,0.1,1.4,0.7,0.4,0,0.5,0.8,0,0.6,0.5,0.5,36.2,81.1,0.1,2.2,Heracles,Eredivisie
123562,cz,Jaroslav Navratil,24, AM(R),180,72,21,7,1950,5,5,1,0,1.3,70.5,0,1.3,6.78,1,0.8,0.8,0,0.4,0.5,0,0,1,0.9,0.1,1.1,1.6,1,18.5,70.5,0.4,0.5,Heracles,Eredivisie
312702,nl,Justin Hoogma,18, Defender,0,0,1,2,149,0,0,0,0,0,78.2,0,1,6.69,0.7,0.7,0.3,0,5,0,1.7,0,0.7,0.7,0,0.3,0.3,0.7,26,78.2,0,3.3,Heracles,Eredivisie
106048,nl,Brahim Darri,21, AM(L),177,70,22,12,1892,2,5,4,0,1.6,82,1,0.2,6.67,0.7,0.2,0.9,0,0.2,0.4,0,0,1.4,1.1,0.1,1.8,1.4,1.4,16.5,82,0.4,0.5,Heracles,Eredivisie
35160,nl,Tim Breukers,28, D(R),178,76,2,5,265,0,1,0,0,0,76.6,0,0.4,6.47,0.7,1.3,0.9,0,1,0.1,0,0,0.3,0.1,0.1,0.9,0.4,0.3,15.9,76.6,0.7,1.1,Heracles,Eredivisie
288873,nl,Paul Gladon,24, Forward,188,83,3,21,622,4,3,0,0,1,67.9,0,1.5,6.46,0.1,0,0.3,0,0.3,0.1,0,0,0.6,0.5,0.3,0.5,0.6,0.6,8,67.9,0.1,0.2,Heracles,Eredivisie
34142,es,Gonzalo García,32, Midfielder,182,78,3,5,274,0,2,0,0,1.1,74.8,0,0,6.38,0.4,0.5,0.3,0,0.1,0.9,0.1,0,0.5,0.1,0.1,0,0.6,0.5,17.4,74.8,0.1,0.5,Heracles,Eredivisie
69493,hr,Dario Vujicevic,26, DMC,180,73,2,3,212,0,0,0,0,0.2,89.1,0,0.4,6.38,0.8,2.4,0,0,1,0,1.2,0,0,1,0,0.2,0.2,0,25.6,89.1,0,1.4,Heracles,Eredivisie
96609,nl,Peter van Ooijen,24, AM(C),179,75,6,21,784,0,2,1,0,0.6,80.5,0,0,6.37,0.9,0.6,0.5,0,0.2,0.4,0,0,0.6,0.4,0,0.7,0.6,0.6,10.1,80.5,0.2,0.5,Heracles,Eredivisie
262481,nl,Tarik Kada,20, Forward,170,73,2,2,167,0,0,0,0,0.3,74.1,0,1,6.27,0.5,0.5,1,0,0,0.3,0,0,0.8,0.3,0.5,0.5,0.8,0.8,14.5,74.1,0.5,0.3,Heracles,Eredivisie
122409,nl,Menno Heerkes,22, Midfielder,174,67,1,2,84,0,0,0,0,0,84.3,0,0,6.00,0.3,1,0.3,0,0,0,0,0,0,1,0,0,1,0,17,84.3,0,0.7,Heracles,Eredivisie
