player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
107243,ve,Christian Santos,28, FW,184,70,29,1,2649,16,1,8,0.0,3.2,59.6,6,5.9,7.28,1.1,0.4,2.8,0,1.9,0.7,0.2,1,1.1,1,0.3,1.4,2.3,1.1,31.3,59.6,0.2,1.2,NEC Nijmegen,Eredivisie
11774,au,Brad Jones,34, GK,191,76,17,0,1530,0,0,0,0.0,0,61.6,3,0.7,7.16,0,0.1,0,0,1.6,0.2,0,0,0.1,0.3,0,0,0,0.1,28.9,61.6,0,6.9,NEC Nijmegen,Eredivisie
26035,nl,Rens van Eijden,28, D(C),188,81,25,0,2230,0,1,4,1,0.4,84.9,4,2.4,7.01,2,2.8,1,0.4,5.8,0.4,0.8,2,0.3,0.4,0,0.2,0.3,0.3,48,84.9,0,5.6,NEC Nijmegen,Eredivisie
136066,nl,Lucas Woudenberg,22, D(L),179,70,29,1,2554,1,2,7,0,0.3,79.2,0,0.5,6.96,3.3,2.1,1.6,0.1,1.8,0.8,0.3,0.0,0.6,0.2,0.1,0.6,0.8,0.6,37.9,79.2,0.6,2.5,NEC Nijmegen,Eredivisie
95891,aw,Gregor Breinburg,24, DMC,171,70,29,1,2575,0,3,1,0,0.3,84.3,0,0.5,6.94,3.3,1.9,1.4,0,0.9,1.1,0.2,0.0,0.7,1.5,0,0.9,1,0.7,44,84.3,0.1,3,NEC Nijmegen,Eredivisie
92590,be,Anthony Limbombe,21," AM(L),FW",177,72,32,0,2776,7,2,4,0,2.6,82.6,2,0.5,6.92,0.5,0.5,0.8,0,0.4,0.4,0.1,0,1.6,2.2,0.9,2.2,1.7,1.6,28.5,82.6,1.8,1.2,NEC Nijmegen,Eredivisie
141827,pl,Wojciech Golla,24, D(C),182,80,29,0,2571,0,0,2,1,0.4,83.6,0,2.8,6.92,1.4,2.6,1.2,0.7,5.2,0.6,0.8,0,0.1,0.7,0,0.3,0.5,0.1,54.1,83.6,0.1,5.6,NEC Nijmegen,Eredivisie
93012,id,Navarone Foor,24, AM(CLR),176,68,34,0,3009,4,4,3,0,1.6,76.9,1,0.5,6.91,1.7,0.9,1,0.1,0.9,1,0.1,0,1.3,1.4,0.3,1.8,2,1.3,43.8,76.9,0.9,2.8,NEC Nijmegen,Eredivisie
36920,be,Bart Buysse,29, D(L),178,70,4,0,356,0,0,0,0,0,81.3,0,0.8,6.91,4.3,2,1.3,0.3,2.8,1.8,0.0,0.0,0.8,1,0,0.8,0.8,0.8,41.5,81.3,0.5,2.5,NEC Nijmegen,Eredivisie
64134,is,Hannes Thór Halldórsson,32, GK,193,87,8,0,720,0,0,0,0,0,65.9,0,0.1,6.89,0,0,0,0,1,0.1,0,0,0,0,0,0,0.1,0,28.6,65.9,0,8.6,NEC Nijmegen,Eredivisie
38364,nl,Marco van Duin,29, Goalkeeper,191,78,3,0,270,0,0,0,0,0,65.4,0,0.3,6.89,0,0,0,0,2.3,0.3,0,0,0,0.3,0,0,0,0,26,65.4,0,7.7,NEC Nijmegen,Eredivisie
256137,pt,Janio Bikel,20, M(C),173,65,32,0,2507,2,0,0,0,0.4,78.5,1,0.7,6.84,2.3,1.8,1.1,0,1.3,1.2,0.2,0.0,0.4,1.7,0,1.1,0.8,0.4,31.5,78.5,0.1,1.5,NEC Nijmegen,Eredivisie
302644,dk,Dario Dumic,24, D(C),193,85,16,0,1429,1,0,0,0,0.6,78.5,0,2.3,6.82,0.8,2.1,0.6,0.2,4.3,0.3,0.6,0,0.3,0.8,0.1,0.1,0.3,0.3,45.1,78.5,0,3.3,NEC Nijmegen,Eredivisie
295997,de,Benjamin Kirsten,29, GK,182,76,6,0,540,0,0,0,0,0,55.3,0,0.7,6.75,0.3,0,0,0,1.5,0.2,0,0,0,0.3,0,0,0,0,36.2,55.3,0,9.3,NEC Nijmegen,Eredivisie
121979,gb,Todd Kane,22, D(R),180,70,29,2,2620,1,2,9,0,0.5,78.4,0,0.4,6.75,1.5,1.7,1.1,0.2,2.7,0.5,0.3,0,0.7,0.5,0.1,0.6,0.6,0.7,35.3,78.4,0.8,3.3,NEC Nijmegen,Eredivisie
77645,at,Marcel Ritzmaier,23, AM(C),176,68,13,7,1156,1,2,3,0,1.1,77,0,0.6,6.57,0.8,0.7,1,0,0.2,0.9,0,0,1.2,0.6,0.2,0.8,0.9,1.2,25,77,1.1,2.6,NEC Nijmegen,Eredivisie
133570,de,Marcel Appiah,28," D(R),M(R)",191,75,17,6,1546,0,0,2,1,0.3,75.5,0,1,6.46,1.2,1.5,0.7,0.1,1.2,0.5,0.1,0,0.3,0.5,0.1,0.4,0.6,0.3,19.5,75.5,0.7,1.5,NEC Nijmegen,Eredivisie
135798,is,Kristjan Emilsson,23, Midfielder,186,76,1,2,91,0,0,0,0,0.3,61.4,0,3,6.34,0,0,0.3,0,0.7,0,0,0,0.3,0.3,0,0.7,0.7,0.3,14.7,61.4,0,0.3,NEC Nijmegen,Eredivisie
133309,nl,Mohamed Rayhi,21, Midfielder,178,67,4,12,372,0,0,1,0,0.8,69.1,0,0.1,6.24,0.9,0.3,0.8,0,0.3,0.5,0,0,0.3,0.4,0.3,1,0.9,0.3,6.9,69.1,0.1,0.1,NEC Nijmegen,Eredivisie
142243,nl,Joey Sleegers,21, Midfielder,174,65,10,8,988,0,0,2,0,1.3,74.7,0,0.3,6.21,0.4,0.3,0.8,0,0.3,0.4,0,0,0.6,0.6,0,1.1,1.1,0.6,14.9,74.7,0.2,0.4,NEC Nijmegen,Eredivisie
297135,ro,Mihai Roman,24, Forward,190,80,2,11,428,1,0,0,0,1.2,73.3,0,0.8,6.18,0.2,0.2,0.7,0,0.5,0.2,0.1,0,0.2,0.3,0.8,0.9,0.9,0.2,8.9,73.3,0,0.1,NEC Nijmegen,Eredivisie
290847,nl,Jay-Roy Grot,18, Midfielder,193,93,2,8,273,0,0,1,0,0.7,66.7,0,0.3,6.14,0.2,0,1,0,0.5,0.3,0,0,0.4,0.3,0.4,1.8,1,0.4,6,66.7,0.3,0.1,NEC Nijmegen,Eredivisie
13768,nl,Jeffrey Leiwakabessy,35, D(L),173,68,1,4,111,0,0,0,0,0,82.8,0,0.4,6.10,0.8,0.2,0.2,0,0.6,0.4,0,0,0.2,0.4,0,0,0,0.2,12.8,82.8,0,0.8,NEC Nijmegen,Eredivisie
133436,nl,Cihat Çelik,20, Forward,182,82,0,4,29,0,0,0,0,0.5,77.8,0,0.3,6.08,0,0,0.3,0,0,0,0,0,0.3,0.3,0,0.3,0,0.3,4.5,77.8,0,0.5,NEC Nijmegen,Eredivisie
302885,se,Mikael Dyrestam,24, Defender,186,85,0,2,5,0,0,0,0,0,71.4,0,1.5,6.04,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,3.5,71.4,0,0,NEC Nijmegen,Eredivisie
290846,nl,Sjoerd Ars,32, Forward,183,73,2,0,121,0,0,0,0,0.5,81.5,0,1,6.04,0,0,0.5,0,0,0,0,0,0.5,1.5,0.5,1,1.5,0.5,13.5,81.5,0,0,NEC Nijmegen,Eredivisie
