player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
90830,nl,Ben Rienstra,26," D(C),DMC",182,67,3,0.0,270,1,0.0,1,0.0,2,77.9,1,0.7,7.44,0.3,2.3,1,0,1.7,1,0.7,0,2.3,0.3,0,2,1,2.3,40.7,77.9,0,4.7,PEC Zwolle,Eredivisie
24720,nl,Dirk Marcellis,28, D(CR),181,80,31,0.0,2693,4,3,4,0.0,0.5,77.2,1,1.8,7.28,3.4,2.4,1.1,0.7,5.6,1,0.3,0.0,0.4,0.4,0,0.3,0.4,0.4,44.8,77.2,0.2,4.4,PEC Zwolle,Eredivisie
33002,nl,Bart van Hintum,29, D(L),177,75,25,1,2199,1,2,1,1,0.5,76.2,2,1.7,7.17,2.7,2.6,1.3,0.2,4.5,0.8,0.3,0.0,1.3,0.5,0,0,0.3,1.3,36.8,76.2,1.3,3.6,PEC Zwolle,Eredivisie
96928,nl,Lars Veldwijk,24, FW,197,98,35,0,3032,14,10,1,0,2.5,62.4,4,2.2,7.14,0.3,0.2,1.1,0,1.5,0.2,0.1,0,1.5,1.3,0.8,1.7,3.1,1.5,22.2,62.4,0.1,0.5,PEC Zwolle,Eredivisie
34108,nl,Bram van Polen,30, D(LR),179,73,29,2,2519,3,2,6,0,0.7,79.2,2,1.2,6.98,2.3,2.8,1.4,0.3,3.1,0.7,0.5,1,0.7,0.8,0,0.6,0.6,0.7,33.9,79.2,0.5,3.5,PEC Zwolle,Eredivisie
96571,nl,Ouasim Bouy,23," D(C),DMC",180,72,27,1,2367,4,7,3,2,1.8,73.2,2,1.2,6.96,2.1,1.5,1.4,0.3,2.8,1,0.4,0,1.3,0.6,0.2,1,1.2,1.3,47.9,73.2,0.5,6.5,PEC Zwolle,Eredivisie
137327,nz,Ryan Thomas,21, AM(CL),174,60,10,2,865,2,1,4,0,1.3,76,0,0.9,6.91,1.1,1,0.8,0,0.3,0.8,0.1,0,1.3,1.8,0.3,0.7,2.7,1.3,27.1,76,0.6,2.7,PEC Zwolle,Eredivisie
104906,fi,Thomas Lam,22," D(C),DMC",188,76,35,0,2971,2,1,8,0,1,86.9,2,1.1,6.88,1.1,2,1.8,0.9,5.2,0.3,0.6,0,0.5,0.9,0,0.4,0.4,0.5,44.7,86.9,0,4,PEC Zwolle,Eredivisie
35159,be,Kevin Begois,34, GK,185,71,17,0,1473,0,0,0,0,0,63.3,0,0.4,6.87,0,0,0,0,1.1,0.1,0,0,0,0.1,0,0,0.1,0,30.6,63.3,0,9.3,PEC Zwolle,Eredivisie
29281,nl,Wout Brama,29, DMC,184,71,25,2,2260,2,5,5,0,0.5,78.4,0,1.6,6.79,1.4,2,1.1,0.1,1.7,0.4,0.2,0,0.8,1.6,0.1,0.7,0.5,0.8,39.2,78.4,0.1,3.4,PEC Zwolle,Eredivisie
82298,nl,Bart Schenkeveld,24, D(CR),184,80,8,4,702,0,1,3,0,0.3,83.9,0,1.3,6.77,1.3,1.7,0.8,0.2,3.3,0.1,0.3,0,0.3,1.2,0,0.3,0.6,0.3,18.1,83.9,0.2,0.9,PEC Zwolle,Eredivisie
137227,nl,Sheraldo Becker,21, AM(LR),180,70,16,9,1727,4,5,2,0,1.8,67.7,2,0.4,6.76,0.4,0.4,0.7,0,0.2,0.2,0,0,1.1,1.4,0.2,1.3,1.4,1.1,17.6,67.7,0.9,0.6,PEC Zwolle,Eredivisie
244583,nl,Kingsley Ehizibue,21, AM(R),189,83,17,11,1669,4,2,2,0,0.9,70.5,1,0.9,6.74,1.7,0.6,1.1,0.1,1.6,0.4,0.3,0,0.4,1.5,0.5,0.7,1.5,0.4,16.9,70.5,0.4,0.7,PEC Zwolle,Eredivisie
231009,nl,Rick Dekker,21, DMC,169,68,21,6,1821,1,2,5,0,0.2,80.1,1,0.7,6.70,2,2.1,0.9,0,1.9,0.9,0.3,0,0.5,0.3,0,0.3,0.4,0.5,22.1,80.1,0.1,2.2,PEC Zwolle,Eredivisie
31783,nl,Stef Nijland,27," AM(CL),FW",187,79,11,15,1247,6,2,2,0,2.2,74.1,1,0.3,6.69,0.7,0.3,0.8,0,0.1,0.4,0,0,1.3,0.4,0.1,0.3,0.7,1.3,17.7,74.1,0.8,1.3,PEC Zwolle,Eredivisie
247849,nl,Queensy Menig,20, AM(L),174,69,29,6,2514,6,0,0,0,1.6,75.2,0,0.4,6.61,0.6,0.5,0.3,0,0.2,0.4,0.1,0,0.6,0.5,0.1,1.3,1.9,0.6,13,75.2,0.2,0.6,PEC Zwolle,Eredivisie
142204,au,Trent Sainsbury,24, D(C),183,76,8,1,667,1,0,5,0,0.8,81.1,0,2,6.58,1.2,1.9,1.9,0.9,5.2,0.6,0.3,0,0.8,0.1,0.1,0.1,0.3,0.8,44.7,81.1,0,4.6,PEC Zwolle,Eredivisie
121834,nl,Mickey van der Hart,22, GK,188,87,18,0,1596,0,0,0,1,0,66.5,0,0.1,6.57,0.1,0.1,0.1,0,0.8,0.1,0,0,0,0,0,0,0,0,36.7,66.5,0,8.9,PEC Zwolle,Eredivisie
243917,nl,Wouter Marinus,21, AM(C),177,73,22,9,1909,3,2,2,0,1.4,69.1,0,0.4,6.46,0.8,0.5,0.7,0,0.5,0.7,0.1,0,0.6,0.6,0.1,0.8,1,0.6,16.1,69.1,0.4,1.2,PEC Zwolle,Eredivisie
298770,br,Gustavo Hebling,20, Midfielder,173,66,3,5,246,0,1,0,0,0.5,82,0,0.1,6.27,0.5,0.6,0.1,0,0.4,0.4,0.1,0,0.5,0.4,0,0,0.4,0.5,11.1,82,0,0.9,PEC Zwolle,Eredivisie
298675,nl,Mark Bruintjes,19, Defender,0,0,0,1,1,0,0,0,0,0,0,0,0,6.21,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PEC Zwolle,Eredivisie
135106,nl,Abdelmalek El Hasnaoui,22, Midfielder,181,71,5,8,479,0,1,1,0,0.5,86.2,0,0,6.15,0.7,0.4,0.2,0,0.2,0.4,0.1,0,0.3,0.2,0,0.5,0.9,0.3,13.9,86.2,0.2,0.6,PEC Zwolle,Eredivisie
134723,rs,Boban Lazic,22, Forward,175,72,0,5,64,0,0,1,0,0,81,0,0,6.13,0.6,0.6,0.4,0,0.2,0,0,0,0.2,0,0,0.4,0.2,0.2,4.2,81,0,0,PEC Zwolle,Eredivisie
132965,nl,Boy de Jong,22, Goalkeeper,182,76,1,1,147,0,0,0,0,0,46,0,0,6.10,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,25,46,0,8.5,PEC Zwolle,Eredivisie
133420,nl,Dario Tanda,21, Midfielder,173,68,0,3,12,0,0,0,0,0,100,0,0,6.04,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,2.3,100,0,0.3,PEC Zwolle,Eredivisie
140137,ba,Boris Rasevic,21, Midfielder,192,76,0,1,1,0,0,0,0,0,0,0,0,6.03,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,PEC Zwolle,Eredivisie
300823,nl,Sander Thomas,18, Midfielder,0,0,0,3,32,0,0,0,0,0,100,0,0,5.97,0.3,0,0.3,0,0,0,0,0,0,0.3,0,0.7,0,0,2.3,100,0,0.7,PEC Zwolle,Eredivisie
300350,tr,Samet Bulut,20, Forward,175,0,0,1,13,0,0,0,0,0,40,0,0,5.92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,40,0,0,PEC Zwolle,Eredivisie
300621,nl,Tarik Evre,20, Defender,0,0,0,1,26,0,0,1,0,0,66.7,0,0,5.83,0,0,1,0,1,0,0,0,0,1,0,0,1,0,3,66.7,0,0,PEC Zwolle,Eredivisie
