player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
68585,nl,Luuk de Jong,25," AM(C),FW",188,86,32,1,2862,26,8,2,0.0,3.9,71.2,8,5,8.02,0.8,0.4,0.9,0,1.4,0.6,0,0,1.9,1.5,0.4,2.1,2.9,1.9,31.6,71.2,0.1,0.8,PSV Eindhoven,Eredivisie
77429,nl,Davy Pröpper,24, M(C),185,72,33,0,2922,10,6,5,0.0,2.3,76.6,2,1.5,7.63,1.7,1.7,1.2,0,1.4,1.2,0.4,0,2,1.4,0,1.4,1.4,2,39.3,76.6,1.2,2.5,PSV Eindhoven,Eredivisie
21019,mx,Andrés Guardado,29," D(L),M(CL)",169,67,25,0,2190,1,9,4,0.0,1.2,83.2,3,0.6,7.52,1.5,2.4,0.7,0,1.2,1.4,0.2,0,2.4,1.4,0,1,0.9,2.4,61.7,83.2,1.9,7.1,PSV Eindhoven,Eredivisie
85470,nl,Marco van Ginkel,23, DMC,186,82,13,0,1170,8,1,2,0.0,2.5,79,1,1.6,7.52,1.5,0.8,1.6,0,1.2,1.2,0.2,0,1,0.8,0.2,1.3,1.3,1,48.8,79,0,4.1,PSV Eindhoven,Eredivisie
88112,co,Santiago Arias,24, D(R),175,72,32,0,2847,3,2,8,1,0.8,86.4,2,1.5,7.38,1.9,2.4,1.3,0.2,3.1,1,0.4,0,1.7,1.6,0.1,0.5,0.6,1.7,45.6,86.4,0.9,3.4,PSV Eindhoven,Eredivisie
94885,nl,Jetro Willems,22, D(L),170,65,11,4,989,2,4,3,0,0.7,81.4,1,0.5,7.29,1.5,1.6,1.1,0.1,1.9,0.3,0.1,0,1.3,0.9,0.1,0.7,1.1,1.3,34.7,81.4,2.1,3.1,PSV Eindhoven,Eredivisie
107622,nl,Jürgen Locadia,22," AM(L),FW",187,78,23,6,1982,8,10,3,0,3.1,83.2,5,0.5,7.22,0.7,0.5,0.8,0,1.1,0.4,0.1,0,1.5,1.8,0.1,1.3,1.3,1.5,27.1,83.2,0.5,1.7,PSV Eindhoven,Eredivisie
69525,nl,Luciano Narsingh,25, AM(R),178,69,25,5,2091,8,5,1,0,1.6,83.3,4,0.3,7.21,0.6,0.2,0.5,0,0.2,0.2,0,0,1.7,1,0.5,1.2,2,1.7,21.4,83.3,1.2,0.2,PSV Eindhoven,Eredivisie
33495,mx,Héctor Moreno,28, D(C),183,80,29,0,2582,4,0,4,0,0.5,87.8,1,1.6,7.08,1,1.4,0.6,0.2,3.9,0.5,0.4,0,0.3,1,0.1,0.3,0.4,0.3,62.6,87.8,0.4,5.8,PSV Eindhoven,Eredivisie
80881,nl,Jeffrey Bruma,24, D(C),189,88,30,2,2663,0,1,6,0,1,89.3,0,2.5,7.06,0.9,1.5,0.8,0.4,6.2,0.3,0.7,2,0.3,0.5,0.1,0.3,0.3,0.3,48.3,89.3,0,5.2,PSV Eindhoven,Eredivisie
119741,nl,Joshua Brenet,22, D(LR),181,74,21,6,1984,0,1,2,0,0.6,81.4,1,0.5,7.00,2,1.8,1,0.1,2.7,1,0.1,1,0.4,0.7,0.1,0.8,0.7,0.4,33,81.4,0.6,1.8,PSV Eindhoven,Eredivisie
133305,nl,Jorrit Hendrix,21," D(C),DMC",182,70,21,5,1759,2,2,3,0,0.8,83.8,1,0.8,6.94,1.6,1.1,0.8,0.1,1.5,0.7,0.3,0,0.5,1.1,0,0.8,0.6,0.5,33.2,83.8,0.1,2.8,PSV Eindhoven,Eredivisie
289327,uy,Gastón Pereiro,21, AM(R),188,76,15,14,1335,11,3,2,0,1.4,76.8,2,0.7,6.89,0.7,0.3,0.6,0,0.4,0.5,0,0,0.5,0.8,0.2,0.7,1.2,0.5,16.4,76.8,0.1,0.7,PSV Eindhoven,Eredivisie
67299,nl,Jeroen Zoet,25, GK,187,78,34,0,3060,0,0,1,0,0,69.5,1,0.1,6.88,0.1,0,0,0,0.4,0.1,0,0,0,0,0,0,0,0,25.3,69.5,0,8.8,PSV Eindhoven,Eredivisie
71627,be,Maxime Lestienne,24, AM(L),176,61,6,8,673,1,6,1,0,1.4,77.8,0,0,6.85,0.4,0.3,0.5,0,0.1,0.5,0.1,0,1.6,0.5,0.4,0.7,1,1.6,15.1,77.8,1.3,0.8,PSV Eindhoven,Eredivisie
89947,fr,Nicolas Isimat-Mirin,24, D(C),189,80,12,5,1127,0,0,1,0,0.1,91.5,0,2.4,6.78,0.7,0.9,0.9,0.2,4.4,0.1,0.7,0,0,0.4,0,0.1,0.1,0,38.1,91.5,0,2.3,PSV Eindhoven,Eredivisie
4074,dk,Simon Poulsen,31, D(L),187,76,1,1,100,0,0,0,0,0.5,76.7,0,1.5,6.74,1,0.5,0.5,0,1,0.5,0.5,0,0.5,0,0,0,1,0.5,21.5,76.7,1,1,PSV Eindhoven,Eredivisie
89575,nl,Adam Maher,22, DMC,174,76,8,6,699,2,2,1,0,1.7,77.8,0,0.3,6.55,0.8,0.6,0.5,0.1,0.1,0.2,0,0,0.5,0.8,0.1,1,0.8,0.5,25.8,77.8,0.3,1.4,PSV Eindhoven,Eredivisie
12252,nl,Stijn Schaars,32, DMC,177,70,2,10,334,0,0,0,0,0.1,84.8,0,0.3,6.39,0.7,0.3,0.4,0,0.7,0.4,0,0,0.5,0.4,0,0.1,0.3,0.5,18.1,84.8,0.3,2.6,PSV Eindhoven,Eredivisie
90696,nl,Florian Jozefzoon,25, AM(LR),182,80,1,8,179,1,0,0,0,0.1,84.3,0,0.2,6.25,0.1,0,0.2,0,0.1,0.3,0,0,0.3,0.4,0.3,0.4,0.8,0.3,5.7,84.3,0.2,0,PSV Eindhoven,Eredivisie
245621,nl,Jordy de Wijs,21, Defender,189,84,0,1,1,0,0,0,0,0,50,0,0,6.15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,50,0,0,PSV Eindhoven,Eredivisie
279425,nl,Steven Bergwijn,18, Midfielder,171,74,0,5,80,0,0,1,0,0,84.6,0,0,6.06,0.2,0,0.2,0,0,0,0,0,0.4,0,0,0,0.2,0.4,5.2,84.6,0,0,PSV Eindhoven,Eredivisie
140505,nl,Rai Vloet,21, Forward,180,75,0,1,8,0,0,0,0,0,60,0,0,6.05,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,60,0,0,PSV Eindhoven,Eredivisie
