player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
141147,kz,Georgiy Zhukov,21, M(C),181,76,15,1,1197,1,1,0.0,0.0,0.5,76.5,0.0,1,6.94,2.8,2.1,1.4,0,0.8,1.6,0.1,0.0,0.7,1.6,0.1,1.5,1.4,0.7,27.7,76.5,0.5,1.4,Roda,Eredivisie
120322,nl,Rydell Poepon,28, FW,181,79,16,1,1452,4,1,2,0.0,2.8,70.4,1,1.8,6.94,1,0.4,2.2,0,1.6,0.8,0.1,0.0,1.4,3.6,0.4,1.8,2.7,1.4,22.6,70.4,0.3,0.9,Roda,Eredivisie
288868,ma,Hicham Faik,24, M(C),188,82,21,6,1949,3,2,2,0.0,1.7,73.5,4,0.9,6.90,1.7,1.7,0.5,0,1.3,1,0.1,0.0,1.3,0.7,0,0.7,1.1,1.3,33,73.5,1.1,2.5,Roda,Eredivisie
133307,nl,Farshad Noor,21, M(C),177,70,11,1,927,0,1,1,0.0,0.8,62.4,0,1.3,6.85,3.2,1.2,2.4,0.0,1.3,1.2,0.3,0.0,0.7,0.8,0,1.2,1.5,0.7,21.3,62.4,0.5,1.5,Roda,Eredivisie
30121,nl,Anco Jansen,27, Midfielder,185,89,3,0,223,0,2,1,0.0,1,77.6,0,0,6.84,0.3,0,0,0,0.3,0.3,0.3,0.0,1.3,1.3,1.7,2.3,1.7,1.3,19.3,77.6,0.7,0,Roda,Eredivisie
35599,au,Rostyn Griffiths,28, DMC,188,77,17,1,1365,2,0,6,0.0,1.1,78.3,1,2.6,6.83,1.6,2.8,1.8,0,2.6,0.9,0.3,0.0,0.2,0.6,0,0.9,0.7,0.2,34,78.3,0.1,2.8,Roda,Eredivisie
33662,nl,Arjan Swinkels,31, D(C),184,75,31,0,2705,0,0,5,0.0,0.5,77.1,1,1.4,6.81,1.4,2.5,0.6,0.5,5.7,0.3,0.6,0.0,0.2,0.8,0,0.1,0.3,0.2,32.2,77.1,0.1,3.4,Roda,Eredivisie
75543,si,Martin Milec,24, D(R),174,71,12,0,1023,0,0,3,0.0,0.5,74,0,0.3,6.81,2.9,2.5,0.9,0.0,1.8,1.3,0.3,0.0,0.8,0.6,0,0.5,0.6,0.8,36.6,74,0.8,2.4,Roda,Eredivisie
23025,nl,Ard van Peppen,30, D(L),181,79,26,2,2252,0,2,4,1,0.3,67.2,2,1.1,6.81,2.5,2.3,1,0.3,3.6,0.6,0.3,0.0,0.5,1.1,0,0.4,0.2,0.5,36.1,67.2,0.5,3.8,Roda,Eredivisie
54658,be,Tom Van Hyfte,30, AM(C),187,68,33,0,2934,8,2,5,0,0.9,70.7,0,1,6.80,2.1,0.8,1.1,0,1.3,1.1,0.1,0.0,0.9,1,0.2,0.8,1.4,0.9,27.5,70.7,0.8,1.1,Roda,Eredivisie
96615,be,Benjamin van Leer,24, GK,187,76,34,0,3060,0,1,2,0,0,50,1,0.1,6.80,0,0.1,0,0,0.9,0.1,0,0.0,0.1,0.1,0,0,0,0.1,33.1,50,0,9.5,Roda,Eredivisie
1825,tr,Ugur Inceman,35, M(C),183,73,16,0,1409,1,1,4,0,1,74.4,0,0.5,6.78,1.7,2.5,1.1,0,2.2,1.4,0.7,0.0,0.8,1.4,0,0.7,1.1,0.8,37.3,74.4,0.1,3.8,Roda,Eredivisie
34170,nl,Jordy Buijs,27," D(C),DMC",182,80,17,0,1523,1,2,2,0,0.6,78.2,0,0.5,6.75,0.4,1.5,0.5,0.6,4.4,0.2,0.4,0.0,0.9,0.4,0,0.1,0.2,0.9,44.8,78.2,0.8,5.1,Roda,Eredivisie
93665,nl,Henk Dijkhuizen,24, D(R),177,75,23,0,1908,0,0,8,0,0.3,69.9,0,1.1,6.75,2.9,2.1,1.3,0.1,2.6,0.9,0.2,0.0,0.4,0.9,0.1,0.4,0.8,0.4,24,69.9,0.3,2.3,Roda,Eredivisie
79914,es,Marcos Gullón,27, M(C),185,79,11,4,1073,1,1,5,0,0.5,77.3,0,1.5,6.72,1.7,2.5,0.9,0.2,2,1.1,0.2,0.0,0.3,0.1,0,0.3,0.4,0.3,30.6,77.3,0.1,2.2,Roda,Eredivisie
100608,nl,Mike van Duinen,24," AM(LR),FW",187,74,11,2,915,2,1,0,0,1.6,61.8,0,1.2,6.67,0.5,0.6,0.5,0,0.4,0.2,0.1,0.0,0.4,2.2,0.5,0.8,1,0.4,11.7,61.8,0.3,0.3,Roda,Eredivisie
27372,sl,Gibril Sankoh,33, D(C),187,82,17,0,1480,0,0,1,0,0.2,79.2,0,2.1,6.64,1.1,1.7,0.3,0.4,5.4,0.5,0.4,0.0,0.2,0.8,0,0.1,0.2,0.2,35.1,79.2,0,3.4,Roda,Eredivisie
140902,se,Kristoffer Peterson,21, AM(LR),180,70,9,5,834,1,3,0,0,1.6,75.7,0,0.6,6.62,0.5,0.2,0.7,0,0.3,0.6,0,0.0,1.1,0.9,0.2,1.5,1.6,1.1,12.9,75.7,0.6,0.5,Roda,Eredivisie
