player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
238896,se,Sam Larsson,23, AM(L),179,70,34,0.0,3003,6,8,1,0.0,2.1,78.3,6,0.6,7.30,1.1,0.8,0.5,0,0.3,0.9,0,0,2.7,1.4,0,2.2,2.5,2.7,41.1,78.3,0.7,1.5,SC Heerenveen,Eredivisie
142181,nl,Joost van Aken,22, D(CL),185,75,19,1,1662,0,2,3,1,0.3,77.7,1,3.4,7.09,2.1,2.8,1.1,1.5,5.2,0.7,0.4,0,0.2,0.5,0,0.3,0.4,0.2,46.4,77.7,0.1,4.1,SC Heerenveen,Eredivisie
259929,nl,Jerry St. Juste,19," D(C),DMC",185,71,27,1,2370,1,0,4,0,0.8,81.7,1,1.9,7.04,3,2.8,1.2,0.5,3.7,1,0.4,1,0.4,0.7,0,0.6,0.8,0.4,43.7,81.7,0,3.1,SC Heerenveen,Eredivisie
108283,nl,Caner Cavlan,24," D(L),DMC",175,70,27,4,2348,1,0,3,0,1.3,77.7,1,0.5,6.95,2.7,1.7,1.1,0.2,1.6,1.2,0.3,0,1,1.3,0,0.9,1.2,1,36.8,77.7,0.8,3.6,SC Heerenveen,Eredivisie
34295,nl,Joey van den Berg,30," D(C),M(C)",182,84,26,0,2168,2,2,8,2,0.9,75.9,1,1.5,6.80,1.8,2,1.7,0.5,1.6,1,0.3,0,1.2,1.7,0.1,1.3,1.3,1.2,45.6,75.9,0.3,3,SC Heerenveen,Eredivisie
91744,nl,Pele van Anholt,25," D(LR),DMC",170,71,22,0,1980,0,1,4,0,0.3,78.5,0,0.7,6.78,2.5,2.6,1.1,0.3,2,0.5,0.2,0,0.5,1,0,0.7,0.5,0.5,38.1,78.5,0.1,4.3,SC Heerenveen,Eredivisie
110200,nl,Luciano Slagveer,22, AM(R),181,76,21,9,1957,5,5,3,0,1.7,74.3,2,0.6,6.76,1.1,0.8,0.8,0,0.8,0.7,0.2,0,0.8,1.5,0.1,1.4,2,0.8,19.6,74.3,0.5,0.1,SC Heerenveen,Eredivisie
144285,,Arber Zeneli,21, AM(R),176,71,17,0,1370,4,0,0,0,1.5,79,0,0.4,6.72,0.9,0.2,0.4,0,0.2,1,0,0,0.9,1.1,0.4,2.5,3.4,0.9,25.8,79,0.4,0.8,SC Heerenveen,Eredivisie
96575,nl,Mitchell te Vrede,24, FW,191,84,21,7,1788,10,0,3,0,2.1,63.3,0,3.3,6.69,0.2,0.1,1,0,0.8,0.1,0.2,0,0.5,0.7,0.9,1.5,2.1,0.5,18.4,63.3,0,0.2,SC Heerenveen,Eredivisie
118362,ng,Kenny Otigba,23, D(C),187,84,23,8,2274,3,0,6,0,0.6,76.5,0,2,6.66,1.2,1.7,1.8,1.4,4.1,0.3,0.5,0,0.2,0.4,0,0.3,0.3,0.2,32.2,76.5,0,3.7,SC Heerenveen,Eredivisie
