player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
115868,ma,Hakim Ziyech,23, AM(CR),180,70,33,0.0,2953,17,10,6,0.0,4.9,71.5,7,0.6,7.75,1.9,0.8,1.5,0,0.3,1.4,0,0.0,2.8,2.3,0.8,3.2,3.1,2.8,35.4,71.5,2.5,2.6,Twente,Eredivisie
90331,nl,Jerson Cabral,25, AM(LR),177,69,21,3,1938,6,5,2,0.0,2.1,82.3,3,0.3,7.39,1.6,1.1,0.8,0,0.3,0.8,0.1,0.0,1.4,2.2,0.1,2.3,2.3,1.4,20.5,82.3,0.9,0.8,Twente,Eredivisie
82388,cl,Felipe Gutiérrez,25, DMC,175,64,26,3,2296,2,3,4,0.0,1,78.3,0,0.9,7.07,2.4,2.8,0.8,0,1.2,1.2,0.4,0.0,1.1,1.1,0,1.2,0.9,1.1,38.4,78.3,0.3,2.7,Twente,Eredivisie
96635,de,Stefan Thesker,25, D(L),190,84,6,2,531,2,1,1,0.0,0.8,74.1,0,1,6.98,2.1,1.9,0.8,0.1,2.1,1.1,0.6,0.0,0.5,0.5,0,0.1,0.4,0.5,29,74.1,0.3,3.4,Twente,Eredivisie
256971,nl,Hidde ter Avest,19, D(R),182,74,28,1,2383,1,2,0,0.0,0.4,73.7,2,1.1,6.96,2.3,2.4,0.6,0.4,3,0.8,0.2,0.0,0.7,1.2,0,0.4,0.8,0.7,30.7,73.7,0.3,1.9,Twente,Eredivisie
82138,gr,Giorgos Katsikas,26, D(C),187,84,3,0,270,0,0,1,0.0,0.3,89.7,0,6.7,6.95,0.7,2,1.3,1,6,0,0.3,0,0,0.7,0,0.3,0,0,38.7,89.7,0,3,Twente,Eredivisie
81963,za,Kamohelo Mokotjo,25, DMC,170,73,31,0,2784,1,4,3,0.0,0.5,87.3,0,0.6,6.94,1.7,2.7,0.4,0.1,1.1,0.6,0.1,0.0,1.4,1.1,0,1.1,1.2,1.4,57,87.3,0,4.1,Twente,Eredivisie
136987,pe,Renato Tapia,20," D(C),DMC",185,78,10,4,851,1,0,2,0.0,1.3,75.3,1,1.1,6.89,1.7,1.9,0.6,0.1,1.9,0.7,0.3,0.0,0.5,1.9,0,1.4,1.1,0.5,24.6,75.3,0,2.8,Twente,Eredivisie
231135,dk,Joachim Andersen,20, D(C),192,75,18,0,1620,1,0,5,0.0,0.6,78.1,1,2.3,6.82,1.5,2.3,1.1,0.6,5.7,0.4,0.6,1,0.4,0.3,0,0.1,0.5,0.4,48.9,78.1,0.1,5.1,Twente,Eredivisie
92894,br,Bruno Uvini,25, D(C),188,81,32,1,2884,2,0,3,0.0,0.5,83.6,1,2.2,6.80,0.7,3.1,1.1,0.9,4.9,0.2,1,1,0.2,0.5,0,0.1,0.3,0.2,36.1,83.6,0,1.7,Twente,Eredivisie
290833,nl,Jeroen van der Lely,20, D(L),176,63,12,9,1363,0,1,1,0.0,0,77.9,0,0.7,6.79,3.1,2,0.2,0.1,2.4,1.2,0.3,0.0,0.1,0.7,0,0.2,0.2,0.1,26.7,77.9,0,2,Twente,Eredivisie
19902,nl,Robbert Schilder,30," D(L),DMC",178,78,21,2,1698,0,1,3,0.0,0.1,77.6,0,0.7,6.78,2,2.2,1.2,0.2,2.7,0.7,0.2,0.0,0.5,1,0,0.5,0.3,0.5,28.5,77.6,0.4,1.8,Twente,Eredivisie
90310,mx,Jesús Manuel Corona,23," AM(LR),FW",173,59,2,2,222,0,0,0,0.0,2.8,76.2,0,0.3,6.70,0.8,0.5,0.5,0,0,1,0,0,1.3,1.8,0.3,2.3,2.3,1.3,25.3,76.2,0.5,1.3,Twente,Eredivisie
276402,nl,Peet Bijen,21, D(C),180,70,16,2,1464,1,0,2,0.0,0.2,81.6,1,1.6,6.68,1.3,2,0.3,0.7,5.3,0.4,0.8,0,0.3,0.6,0,0.2,0.3,0.3,40.2,81.6,0,4.1,Twente,Eredivisie
13748,de,Chinedu Ede,29, AM(LR),178,83,25,2,1992,6,5,2,0.0,1,76.8,0,0.4,6.65,0.9,0.7,0.4,0,0.4,0.5,0,0,0.7,0.9,0.3,1.9,2.1,0.7,24,76.8,0.3,0.5,Twente,Eredivisie
