player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
69335,ge,Guram Kashia,28, D(C),185,78,26,1,2341,5,4,3,0.0,1.1,82.8,4,3,7.45,2.6,2.7,0.9,0.7,4.7,0.8,0.5,0.0,0.7,0.5,0,0.3,0.6,0.7,67.1,82.8,0.1,7.4,Vitesse,Eredivisie
243249,zw,Marvelous Nakamba,22, M(C),177,71,30,0,2608,1,2,4,1,0.9,85.4,1,0.8,7.30,4.2,1.6,2.5,0.0,1,1.3,0.3,0.0,1.3,2.3,0,1.9,1.1,1.3,58.8,85.4,0,2.1,Vitesse,Eredivisie
44110,nl,Rochdi Achenteh,28," D(L),DMC",177,70,5,0,450,0,2,0,0,0.8,86.4,0,0.8,7.22,1,1.6,1.4,0.8,3.4,0.6,0,0,1.4,1.6,0,0.8,0.2,1.4,56,86.4,0,7,Vitesse,Eredivisie
289014,al,Milot Rashica,19, AM(R),177,73,29,2,2369,8,3,3,0,2,73.4,3,0.6,7.21,1.2,0.5,1.1,0,0.2,0.6,0,0,1.1,2.2,0.3,1.1,2.8,1.1,15.7,73.4,0.6,0.5,Vitesse,Eredivisie
232262,nl,Kevin Diks,19, D(R),182,70,29,1,2559,2,3,5,0,1,78.7,1,1.6,7.16,2.9,2.1,1.8,0.2,2.5,1.2,0.3,0.0,0.9,0.7,0,0.5,0.6,0.9,46.1,78.7,0.3,3.3,Vitesse,Eredivisie
69789,nl,Kelvin Leerdam,25," D(LR),DMC",179,79,14,1,1269,1,1,4,0,0.5,81.5,1,1.7,7.06,2.1,2,1.8,0.5,4,0.5,0.8,0.0,0.8,0.9,0.1,0.7,0.5,0.8,50.5,81.5,0.1,5.1,Vitesse,Eredivisie
22138,nl,Arnold Kruiswijk,31, D(CL),182,73,20,2,1692,0,0,2,0,0,89.8,0,2,6.99,1.8,2,0.8,0.5,4.4,0.4,0.3,0,0,0.6,0,0.1,0,0,54.9,89.8,0,4.1,Vitesse,Eredivisie
34925,nl,Maikel van der Werff,27, D(C),186,82,25,1,2285,0,2,5,0,1.2,83.7,0,1.3,6.97,1.9,2.3,1.4,1.3,4.8,0.6,0.7,1,0.3,0.3,0.1,0,0.4,0.3,68.9,83.7,0,7.8,Vitesse,Eredivisie
136772,gb,Lewis Baker,21, M(C),182,72,23,8,2085,5,4,2,0,1.7,83.1,2,0.3,6.96,0.7,0.8,0.8,0,0.8,0.6,0.1,0,2.3,0.6,0.1,0.6,0.9,2.3,39.8,83.1,1.8,2.6,Vitesse,Eredivisie
75701,il,Sheran Yeini,29," D(R),DMC",175,71,23,3,2125,1,0,5,0,0.6,83.9,0,0.9,6.91,2.6,1.7,1.3,0.1,1.8,0.8,0.3,0.0,0.6,1,0,0.5,1,0.6,59.2,83.9,0.1,2.6,Vitesse,Eredivisie
104793,ge,Valeri Qazaishvili,23," AM(C),FW",183,74,31,2,2649,10,2,0,0,2.5,88.1,1,0.2,6.90,0.5,0.4,0.6,0,0.1,0.6,0,0,1.1,0.5,0.1,1.8,1.7,1.1,25.4,88.1,0,0.5,Vitesse,Eredivisie
67114,nl,Eloy Room,27, GK,188,81,34,0,3060,0,0,0,0,0,67.5,0,0.2,6.86,0,0.1,0,0,0.8,0,0,0,0,0.1,0,0,0,0,32.1,67.5,0,8.6,Vitesse,Eredivisie
302472,jp,Kosuke Ota,28, D(L),178,74,15,1,1415,0,2,4,1,0.6,78,0,1.5,6.81,1.8,1.1,2,0.2,2.5,0.8,0.3,0,1.5,0.7,0.1,0.3,0.8,1.5,46.4,78,1.2,3.4,Vitesse,Eredivisie
87907,ec,Renato Ibarra,25, AM(R),174,69,8,8,885,0,1,2,0,1.5,84,0,0.6,6.75,0.8,1.4,0.6,0,0.2,0.3,0,0,0.9,1.4,0.1,1,1.4,0.9,21.9,84,0.7,0.9,Vitesse,Eredivisie
136459,gb,Dominic Solanke,18, FW,185,75,21,4,1813,7,1,0,0,1.4,72.5,1,1.7,6.74,0.3,0.2,1.6,0,0.8,0.4,0,0,0.8,1,0.3,1.6,2.6,0.8,14.8,72.5,0.1,0.2,Vitesse,Eredivisie
67971,ua,Denys Oliynyk,29, AM(L),178,72,18,7,1595,5,2,3,1,1.3,85.3,0,0.5,6.73,0.7,0.6,0.7,0,0.3,1.3,0,0,1.3,1.1,0.3,0.9,1.1,1.3,29.9,85.3,0.4,1.1,Vitesse,Eredivisie
289015,nl,Julian Lelieveld,18, Defender,184,75,1,0,90,0,0,0,0,3,73,0,0,6.66,0,1,0,1,1,4,0,0,1,1,0,1,1,1,37,73,1,3,Vitesse,Eredivisie
127119,gb,Isaiah Brown,19, AM(L),182,70,12,10,1032,1,1,2,0,0.7,71.5,0,1.2,6.51,0.7,0.6,0.3,0,0.5,0.7,0,0,0.7,1,0.3,1.1,1.7,0.7,20.9,71.5,0.2,0.7,Vitesse,Eredivisie
142410,br,Nathan,20, Forward,178,71,4,14,545,2,0,0,0,0.9,75.5,0,0.6,6.50,0.5,0.2,0.4,0,0.1,0.2,0.1,0,0.2,0.9,0.1,0.6,0.9,0.2,13.4,75.5,0.1,0.6,Vitesse,Eredivisie
39608,ng,Abiola Dauda,28, FW,180,75,4,7,404,3,0,0,0,1,75,0,0.9,6.45,0,0.2,0.5,0,0.5,0.2,0,0,0.2,0.5,0.5,0.6,0.8,0.2,8.7,75,0,0,Vitesse,Eredivisie
303136,cn,Yuning Zhang,19, Forward,184,69,1,7,149,2,0,0,0,1,66.7,0,0.3,6.24,0.1,0.1,0.5,0,0,0.3,0,0,0.1,0.5,0,0.4,1.3,0.1,7.5,66.7,0,0.4,Vitesse,Eredivisie
