player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
120847,be,Stijn Wuytens,26," D(C),DMC",183,74,18,0.0,1620,1,5,2,0.0,0.8,78.4,1,2.6,7.41,3.2,3.2,2.1,0,2.7,0.7,0.5,0.0,1.2,1.1,0.1,0.7,0.6,1.2,54.2,78.4,1.2,4.9,Willem II,Eredivisie
98621,dk,Lucas Andersen,21, AM(CLR),184,72,27,3,2265,6,4,2,0.0,1.1,77.5,2,0.2,7.10,1.4,1.2,0.6,0,0.5,0.9,0,0,1.6,1.9,0.1,1.9,1.9,1.6,24.3,77.5,0.7,0.7,Willem II,Eredivisie
120444,nl,Jordens Peters,29, D(C),183,78,29,0,2610,1,0,7,0.0,0.3,78.6,0,2.5,7.04,1.5,2.8,1.4,0.7,8.2,0.4,0.8,0,0.1,0.9,0,0.3,0.3,0.1,51.7,78.6,0,7.1,Willem II,Eredivisie
74376,be,Funso Ojo,24, M(C),177,71,32,0,2880,0,2,10,0.0,1.7,79.7,2,2.2,6.96,2.4,2.1,1.8,0,2.5,1.3,0.3,0.0,0.5,1.3,0,0.9,1.1,0.5,48.4,79.7,0.2,2.6,Willem II,Eredivisie
120581,nl,Guus Joppen,26, D(L),180,73,11,4,1098,1,1,3,0.0,0.3,76.5,0,1.5,6.93,3.5,2.1,1.1,0.2,3.6,1.2,0.3,0.0,0.5,0.8,0.1,0.6,0.5,0.5,28.1,76.5,0.3,2.1,Willem II,Eredivisie
44110,nl,Rochdi Achenteh,28," D(L),DMC",177,70,13,0,1102,0,1,3,0.0,0.5,78.6,1,0.5,6.89,2.4,3.4,1.5,0,1.3,1,0.1,0.0,1.1,1.3,0,0.8,1.3,1.1,46.8,78.6,0.8,4.3,Willem II,Eredivisie
34921,nl,Erik Falkenburg,28," AM(C),FW",187,84,34,0,2847,11,3,2,0.0,2.3,70.7,3,2.6,6.82,0.9,0.6,1,0,0.4,0.6,0.1,0,0.6,1.5,0.4,1.3,1.8,0.6,22.7,70.7,0,0.7,Willem II,Eredivisie
96614,be,Dries Wuytens,25, D(C),183,73,33,0,2959,4,0,2,0.0,0.3,86.1,1,1.8,6.80,1.8,2.2,1.2,0.7,4.7,0.4,0.6,0,0.2,0.6,0,0.1,0.2,0.2,46.8,86.1,0,6.2,Willem II,Eredivisie
68850,gr,Kostas Lamprou,24, GK,176,80,34,0,3060,0,0,1,0.0,0,62.5,2,0.1,6.77,0,0.1,0,0,0.9,0,0,0,0,0.2,0,0,0.1,0,35.2,62.5,0,11.1,Willem II,Eredivisie
125733,ng,Bartholomew Ogbeche,31," AM(LR),FW",177,78,4,0,352,1,0,0,0.0,2,69.4,0,2.3,6.73,0.3,0.3,1.3,0,0.5,0,0.3,0,1.3,3,0.3,2.5,6.5,1.3,30.3,69.4,0,0.3,Willem II,Eredivisie
