player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
9294,es,Aduriz,35, FW,181,75,30,4,2776,20,6,9,0.0,2.7,60.6,6,4.8,7.37,0.7,0.3,1.6,0,0.7,0.2,0.1,0,1,2,1.1,2.4,2.3,1,21,60.6,0.1,0.2,Athletic Bilbao,LaLiga
11386,es,Raúl García,29," M(CLR),FW",184,81,27,3,2375,7,6,10,0.0,2.6,63.7,2,3.7,7.25,2.3,1.1,2.3,0,1.1,1.1,0.1,0.0,0.8,2.5,0.4,1.3,1.8,0.8,30.8,63.7,0.1,1,Athletic Bilbao,LaLiga
79051,es,San José,27," D(C),DMC",186,77,30,4,2691,2,3,6,1,0.7,78.7,2,2.8,7.05,2.5,2.7,1.6,0.1,1.2,1.6,0.4,0.0,0.4,0.6,0,0.6,0.7,0.4,44.2,78.7,0.1,1.9,Athletic Bilbao,LaLiga
22811,es,Beñat,29, M(C),175,72,32,4,2900,1,5,8,0,0.8,81.3,2,0.4,7.03,2.1,1.8,1.1,0,0.4,1.3,0.1,0.0,1.8,1.5,0,1.1,0.6,1.8,52.7,81.3,1.8,4.9,Athletic Bilbao,LaLiga
78500,es,De Marcos,27," D(LR),M(CR)",180,76,33,1,2886,1,3,6,0,0.4,70.6,1,1.4,7.02,2.7,2.6,1,0.4,1.9,1,0.1,0.0,0.7,0.6,0.1,0.7,0.8,0.7,34.2,70.6,0.8,1.8,Athletic Bilbao,LaLiga
30638,es,Markel Susaeta,28, M(LR),179,67,22,6,1922,3,8,3,0,0.9,76.9,0,0.6,6.96,1.9,1,0.9,0,0.2,1,0,0.0,1.5,1.1,0.3,1.5,1.2,1.5,23.3,76.9,1.1,0.5,Athletic Bilbao,LaLiga
122117,fr,Aymeric Laporte,22, D(CL),189,85,25,1,2214,3,1,7,2,0.7,80.2,1,2.1,6.93,1.9,2.7,1,1.1,3.5,0.7,0.6,1,0.2,1,0,0.2,0.3,0.2,49.8,80.2,0,4.5,Athletic Bilbao,LaLiga
44739,es,Balenziaga,28, D(L),177,75,33,1,2906,0,3,6,0,0.2,77.6,1,0.9,6.90,2.4,2,1.1,0.4,1.8,0.6,0.1,0.0,0.7,0.7,0,0.6,0.7,0.7,31.3,77.6,0.8,1,Athletic Bilbao,LaLiga
73807,es,Eneko Bóveda,27, D(CR),181,77,15,8,1462,0,0,1,0,0.2,77.1,2,1.7,6.89,1.9,2.8,0.7,0.5,2,0.7,0.1,0,0.4,0.4,0.1,0.3,0.5,0.4,35.5,77.1,0.6,1.8,Athletic Bilbao,LaLiga
69806,es,Etxeita,28, D(C),185,79,28,2,2485,0,1,5,0,0.3,80.3,0,1.7,6.86,1.3,2.6,0.7,1.1,4.1,0.5,0.7,1,0.2,0.1,0.1,0.2,0.3,0.2,37.7,80.3,0,3.6,Athletic Bilbao,LaLiga
