player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
22152,br,Filipe Luis,30, D(L),182,73,32,0.0,2834,1,4,11,1,0.3,82.5,3,1.3,7.60,3.9,2.7,0.9,0.0,1.7,0.5,0.2,0.0,0.9,0.9,0,0.8,1,0.9,51.9,82.5,0.7,1.5,Atletico Madrid,LaLiga
26059,uy,Diego Godín,30, D(C),187,79,31,0.0,2651,1,1,5,1,0.8,78.4,6,3,7.52,2.3,3.3,1.2,0.1,5.1,0.3,0.3,0.0,0.2,1.1,0.1,0.2,0.4,0.2,35.7,78.4,0,3,Atletico Madrid,LaLiga
80241,fr,Antoine Griezmann,25," AM(CLR),FW",175,72,36,2,3058,22,5,5,0,2.4,78.3,8,1.5,7.50,1.5,1,0.8,0,0.8,0.7,0.1,0.0,1.4,1,0.4,1.3,1.8,1.4,35.7,78.3,0.3,1.3,Atletico Madrid,LaLiga
80764,es,Koke,24, M(CLR),178,74,34,1,2973,5,14,4,0,1.2,82,2,0.7,7.49,2.9,1.4,1,0,0.8,1.3,0.1,0.0,2.2,1.5,0,1.6,1.3,2.2,57.8,82,1.4,1.9,Atletico Madrid,LaLiga
112161,es,Saúl Ñíguez,21," D(C),M(CLR)",183,76,26,5,2329,4,2,1,0,1.5,76.3,3,2.6,7.37,3,1.8,1.5,0.1,1.5,1.1,0.4,0.0,0.6,0.8,0.2,1.2,1.5,0.6,36.6,76.3,0.2,0.8,Atletico Madrid,LaLiga
10053,es,Gabi,32, M(C),182,75,34,1,2883,1,3,11,1,0.5,82.1,2,1.3,7.22,3,2.2,1.9,0,0.9,1.9,0.3,0.0,0.8,1.2,0,0.6,0.7,0.8,61,82.1,0.7,4.6,Atletico Madrid,LaLiga
135914,uy,Giménez,21, D(C),185,77,27,0,2430,1,1,8,0,0.4,73.3,1,2.1,7.22,2.1,2.5,1,0.4,5.4,0.7,0.7,0.0,0.3,0.4,0.1,0.3,0.3,0.3,31.9,73.3,0,3.5,Atletico Madrid,LaLiga
8128,pt,Tiago,35, M(C),184,75,12,2,1053,1,2,4,0,0.5,84.7,0,1.4,7.14,1.9,2.4,1.1,0,1.6,0.8,0.4,0.0,0.5,1.4,0,0.4,0.4,0.5,54.6,84.7,0,3.9,Atletico Madrid,LaLiga
10332,es,Juanfran,31, D(R),180,72,34,1,3030,1,1,6,0,0.2,77.1,1,0.5,7.06,2.1,1.9,1.2,0.1,1.5,0.5,0.2,0.0,0.8,0.5,0.2,0.8,0.7,0.8,33.5,77.1,0.9,1.1,Atletico Madrid,LaLiga
139186,fr,Lucas Hernández,20, D(C),183,76,8,2,834,0,0,0,0,0,70.2,0,1.4,7.04,1.9,3.1,0.8,0,3.5,0.2,0.4,0.0,0.3,1.1,0,0.1,0.1,0.3,28.9,70.2,0.1,2,Atletico Madrid,LaLiga
