player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
11119,ar,Lionel Messi,28," AM(CR),FW",170,72,31,2,2730,26,16,3,0.0,4.8,81.9,13,0.2,8.46,0.3,0.2,0.4,0,0,0.2,0,0,2.3,1.8,0.3,2.2,0.9,2.3,55.7,81.9,0.4,3.5,Barcelona,LaLiga
50835,br,Neymar,24," AM(CLR),FW",174,68,34,0,3057,24,12,6,0.0,3.6,80.9,7,0.6,8.43,0.8,0.3,1.4,0,0,0.5,0,0,3,3.8,0.7,2.7,2.3,3,53.4,80.9,1.1,1.9,Barcelona,LaLiga
22221,uy,Luis Suárez,29," AM(CLR),FW",182,85,35,0,3150,40,16,6,0.0,3.9,73.1,8,0.4,8.01,0.7,0.2,1.2,0,0.5,0.4,0.1,0,1.6,1.7,1.7,1.2,2,1.6,26.5,73.1,0.1,0.7,Barcelona,LaLiga
44721,es,Sergio Busquets,27, DMC,189,76,34,1,2906,0,4,6,0.0,0.2,89.8,1,1.7,7.28,2.9,1.9,0.9,0.1,0.7,1.1,0.1,0.0,0.5,1.9,0,0.7,0.4,0.5,69.2,89.8,0.1,4.7,Barcelona,LaLiga
9486,es,Andrés Iniesta,32, M(CL),171,68,25,3,2248,1,2,2,0.0,0.8,88.3,1,0.4,7.24,2,1,0.7,0,0.2,0.8,0.1,0.0,1.1,1.4,0,1.1,1,1.1,65.5,88.3,0.1,5.1,Barcelona,LaLiga
22732,hr,Ivan Rakitic,28, M(C),184,78,30,6,2581,7,2,3,0.0,1.3,88.1,2,0.9,7.17,1.8,1.4,1.1,0,0.5,1,0.1,1,0.9,1.4,0.1,0.5,0.9,0.9,49.3,88.1,0.7,3,Barcelona,LaLiga
12712,es,Gerard Piqué,29, D(C),193,85,30,0,2592,2,1,12,0.0,0.4,90.5,1,2,7.14,1.3,1.8,0.6,1,3.6,0.4,0.6,0,0.2,0.3,0.1,0.4,0.2,0.2,67.4,90.5,0,4.3,Barcelona,LaLiga
5780,br,Dani Alves,33, D(R),172,70,24,5,2149,0,4,6,0.0,0.6,87.2,0,0.6,7.05,1.9,1.6,1.3,0.2,0.8,0.8,0.2,0.0,0.7,0.7,0.1,1.2,0.9,0.7,57.7,87.2,0.8,3.1,Barcelona,LaLiga
44288,es,Jordi Alba,27, D(L),170,68,29,2,2591,0,6,2,0.0,0.2,87.2,0,0.5,7.05,1.7,2,0.6,0.5,1.6,0.7,0.2,0,0.6,0.5,0.1,0.5,0.6,0.6,66.5,87.2,0.2,1.7,Barcelona,LaLiga
7415,ar,Javier Mascherano,32," D(C),M(C)",174,73,31,1,2694,0,0,9,1,0.1,90.5,0,1.2,7.01,2.6,2.2,0.8,0.5,1.8,0.6,0.5,0.0,0.3,0.7,0,0.5,0.1,0.3,66.3,90.5,0,7.9,Barcelona,LaLiga
