player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
91267,es,Nolito,29, AM(L),175,65,27,2,2473,12,7,9,0.0,2.8,67.6,9,0.6,7.44,1.7,0.9,1.4,0,0.1,0.8,0,0,2.1,2.1,1.1,2.1,1.8,2.1,38.9,67.6,1,2.1,Celta Vigo,LaLiga
25956,ar,Augusto Fernández,30, M(CR),177,71,15,0,1338,1,1,7,0.0,0.6,90.3,0,1.1,7.17,4.5,2.5,1.9,0.1,1.3,2.1,0.3,0.0,0.4,1.2,0.1,1.2,1.1,0.4,69.4,90.3,0,2.9,Celta Vigo,LaLiga
25714,cl,Orellana,30, AM(CLR),171,70,34,0,2921,7,7,9,1,2.3,77.8,2,0.6,7.09,1,0.8,0.7,0,1.2,0.4,0.1,0,1.7,2.6,0.3,3.3,2.5,1.7,44.9,77.8,0.6,2.4,Celta Vigo,LaLiga
15544,ar,Cabral,30, D(C),184,82,31,0,2675,0,0,9,2,0.2,87.4,0,2.5,7.06,2.8,3.4,1.3,0.3,4.5,0.9,0.6,0.0,0.2,0.6,0.1,0.4,0.2,0.2,56.6,87.4,0,4,Celta Vigo,LaLiga
91242,es,Iago Aspas,28," AM(CR),FW",176,67,31,4,2668,14,4,8,0,2.3,77.5,6,0.6,7.02,0.7,0.4,1.1,0,0.3,0.5,0.1,0,1.4,1,0.5,1.4,1.6,1.4,26.7,77.5,0.3,1.1,Celta Vigo,LaLiga
79929,es,Hugo Mallo,24, D(CR),174,75,33,1,2944,1,4,9,0,0.2,78.5,1,1.1,7.00,2.6,3.4,1.4,0.2,2.6,0.8,0.4,0.0,0.5,0.5,0.1,0.2,0.4,0.5,42.6,78.5,0.2,2.2,Celta Vigo,LaLiga
141879,cl,Pablo Hernández,29, M(C),185,82,28,5,2313,2,4,14,1,0.8,79.1,1,3.8,6.97,2,1.9,2.4,0,1.6,1.2,0.2,1,0.4,2.9,0.2,1.3,1.3,0.4,45.7,79.1,0,2.7,Celta Vigo,LaLiga
74938,es,Fontàs,26," D(C),DMC",181,72,6,1,540,1,0,1,0,0.3,89.7,0,1.6,6.89,2.4,2.1,0.3,0.3,2.9,0.6,0.3,0.0,0.3,0.3,0,0.1,0.3,0.3,66.3,89.7,0,4.6,Celta Vigo,LaLiga
27254,dk,Daniel Wass,27," D(LR),M(CR)",181,74,31,5,2706,2,5,3,0,1.4,80.3,1,1.5,6.87,1.4,1.4,0.8,0,1,0.5,0.2,0,1.1,1.1,0.1,0.9,1.2,1.1,42.4,80.3,0.5,2.8,Celta Vigo,LaLiga
115917,es,Jonny,22, D(LR),175,70,34,2,2960,1,4,8,2,0.4,83.5,2,0.9,6.82,2.3,2.9,1.2,0.2,1.8,0.9,0.2,1,0.6,0.6,0,0.8,0.7,0.6,42.1,83.5,0.2,1.9,Celta Vigo,LaLiga
90778,es,Sergi Gómez,24, D(CR),185,77,29,2,2615,0,1,6,0,0.1,85.6,1,1.7,6.78,1.7,3.2,1,0.3,3.3,0.5,0.5,0,0.1,0.2,0,0.2,0.2,0.1,47.8,85.6,0,1.9,Celta Vigo,LaLiga
91259,es,Planas,25, D(L),173,76,18,8,1680,0,2,4,0,0.1,77.2,0,1.2,6.62,2.3,2.5,0.7,0.1,2.1,1,0.2,0.0,0.3,0.4,0.1,0.1,0.5,0.3,35,77.2,0.1,1.9,Celta Vigo,LaLiga
144095,es,David Goldar,21, Defender,180,72,1,0,90,0,0,1,0,1,41.7,0,1,6.62,2,3,2,0,7,2,2,0,0,2,0,0,0,0,24,41.7,0,1,Celta Vigo,LaLiga
35255,cl,Marcelo Díaz,29, DMC,166,63,10,4,983,0,1,3,0,0.9,89.1,0,0.1,6.53,1.4,2.1,0.7,0,0.7,1.3,0.1,0,0.1,0.9,0,0.6,0.8,0.1,52.6,89.1,0,4,Celta Vigo,LaLiga
136392,be,Theo Bongonda,20, AM(L),177,68,14,9,1195,2,1,5,0,0.8,75.7,0,0.3,6.51,0.8,0.6,0.9,0,0.1,0.3,0,0,0.4,1.3,0.4,0.7,1,0.4,12.9,75.7,0.2,0.1,Celta Vigo,LaLiga
97559,es,Sergio Álvarez,29, GK,179,75,30,1,2725,0,0,1,0,0,53.4,0,0.3,6.48,0,0.1,0,0,0.8,0.1,0,0,0,0,0,0,0,0,27.1,53.4,0,6.8,Celta Vigo,LaLiga
239053,rs,Nemanja Radoja,23, DMC,186,77,15,15,1450,0,1,5,0,0.2,83.4,0,0.6,6.48,1.9,1.3,0.9,0,0.9,0.3,0,0,0.1,0.5,0.1,0.6,0.4,0.1,26.1,83.4,0,1.1,Celta Vigo,LaLiga
25599,fr,Claudio Beauvue,28," AM(CLR),FW",174,66,6,4,505,1,0,1,0,1.1,68.4,0,1.9,6.40,1.1,0.2,1.1,0,0.6,0.5,0.1,0,0.5,0.6,0.2,0.7,0.8,0.5,11.4,68.4,0.3,0.3,Celta Vigo,LaLiga
41420,se,John Guidetti,24, FW,185,79,12,23,1234,7,0,3,0,0.9,72.4,0,0.4,6.38,0.3,0.1,0.7,0,0.1,0.1,0,0,0.5,0.8,0.3,0.5,1,0.5,8.6,72.4,0,0.1,Celta Vigo,LaLiga
279513,,Alende,18, Defender,180,75,0,1,39,0,0,0,0,0,85.7,0,1,6.37,0,2,1,0,3,0,1,0,0,0,0,0,0,0,7,85.7,0,0,Celta Vigo,LaLiga
294191,,Señé,24, Midfielder,185,74,4,4,384,0,1,1,0,0.3,71.6,1,1.1,6.27,0.5,0.4,0.8,0,0.4,0.6,0,0,0.1,1.8,0,1.5,1,0.1,12.8,71.6,0,0,Celta Vigo,LaLiga
239052,es,Borja Fernández,20, Midfielder,177,71,1,3,132,0,0,0,0,0,72.5,0,1,6.26,0.5,1,0,0,0.5,0.3,0.3,0,0.3,0,0,0,0,0.3,12.8,72.5,0,0.5,Celta Vigo,LaLiga
120335,es,Rubén Blanco,20, GK,188,70,8,0,690,0,0,1,1,0,51.3,0,0.3,6.23,0,0,0.3,0,1.6,0,0,0,0,0.3,0,0,0,0,24.1,51.3,0,4.4,Celta Vigo,LaLiga
279511,sn,Pape Cheikh,18, Midfielder,180,68,0,6,59,0,0,0,0,0,92,0,0,6.17,0.7,0.3,0.3,0,0,0,0,0,0,0.7,0,0.5,0.2,0,4.2,92,0,0,Celta Vigo,LaLiga
294190,,Néstor,23, Goalkeeper,183,72,0,1,4,0,0,0,0,0,100,0,0,6.04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,100,0,1,Celta Vigo,LaLiga
108220,ga,Lévy Madinda,23, M(C),182,77,0,1,1,0,0,0,0,0,100,0,0,6.00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,100,0,0,Celta Vigo,LaLiga
