player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
135663,es,Lucas Pérez,27," AM(CR),FW",181,73,35,1,3141,17,8,3,0.0,2.8,79.1,2,0.1,7.10,0.5,0.1,1,0,0,0.4,0.1,0,2,1.3,1,1.8,2.1,2,24.9,79.1,0.7,0.6,Deportivo La Coruna,LaLiga
40731,br,Sidnei,26, D(C),186,86,33,0,2897,0,0,2,0.0,0.2,78.4,1,1.5,6.97,1.6,3.1,0.5,0.9,5.8,0.3,0.5,0,0.2,0.6,0.1,0.2,0.5,0.2,36.5,78.4,0,4.1,Deportivo La Coruna,LaLiga
83081,es,Alejandro Arribas,27, D(C),182,74,31,0,2737,2,0,9,1,0.4,73.7,1,2.7,6.92,1.8,3.3,1,1.1,5,0.7,0.5,1,0.1,1,0,0.4,0.2,0.1,35.3,73.7,0,2.4,Deportivo La Coruna,LaLiga
85077,es,Luis Alberto,23, AM(CL),182,72,25,4,2108,6,7,3,0,2.8,69.1,3,0.7,6.88,1.3,0.3,0.3,0,0.3,0.6,0,0,1.1,0.7,0.3,1.8,1.9,1.1,24.3,69.1,0.2,0.9,Deportivo La Coruna,LaLiga
135238,ar,Fede Cartabia,23, AM(CLR),179,66,15,11,1356,3,3,3,0,2,78.8,2,0.3,6.88,1.4,1.2,0.7,0,0.1,0.8,0,0,0.9,2,0.1,1.2,1.7,0.9,21.9,78.8,0.4,1.4,Deportivo La Coruna,LaLiga
55299,es,Pedro Mosquera,28, M(C),184,77,37,0,3288,0,2,10,0,0.8,82.5,0,1.2,6.83,3.3,2.2,1.9,0.0,1.4,1.4,0.2,0.0,0.6,1.2,0,0.9,0.8,0.6,52.7,82.5,0,5.3,Deportivo La Coruna,LaLiga
44825,es,Álex Bergantiños,31, M(C),177,71,20,2,1750,2,1,3,0,0.7,77.4,0,1.6,6.82,2.7,1.8,0.9,0.1,1.1,1.5,0.1,0.0,1,0.3,0,0.7,0.6,1,39.9,77.4,0,2.3,Deportivo La Coruna,LaLiga
105026,ma,Faycal Fajr,27, AM(CLR),178,72,31,7,2841,5,3,3,0,1.2,82.2,2,0.6,6.81,1.3,1.3,0.7,0,0.4,0.7,0,0,1.5,0.9,0.1,0.6,1,1.5,38.1,82.2,0.9,2.7,Deportivo La Coruna,LaLiga
4387,es,Fernando Navarro,33, D(CL),176,70,35,0,2961,0,2,5,0,0,75.4,0,1.5,6.81,2.7,2.6,1.1,0.6,2.4,0.7,0.3,0.0,0.3,1.1,0.1,0.2,0.5,0.3,35.9,75.4,0.1,2,Deportivo La Coruna,LaLiga
23816,cr,Celso Borges,28, M(C),186,81,21,3,1910,3,2,3,1,0.8,79.7,1,3.5,6.80,1.5,1.4,0.9,0,1.2,0.5,0.1,0,1,0.6,0,0.4,0.5,1,40,79.7,0.1,2.3,Deportivo La Coruna,LaLiga
84963,es,Juanfran,27," D(R),M(R)",179,72,30,5,2683,1,2,4,0,0.5,74.3,2,1.3,6.80,1.7,3,0.3,0.3,1.6,0.7,0.1,0,0.6,0.7,0.1,0.9,1,0.6,30.6,74.3,0.5,1.5,Deportivo La Coruna,LaLiga
34045,es,Laure,31, D(R),171,64,16,7,1548,0,0,6,0,0,73.6,0,0.6,6.56,1.7,2.4,1,0.3,2.3,0.5,0.3,0,0.3,0.5,0,0.4,0.3,0.3,24.5,73.6,0.3,1.3,Deportivo La Coruna,LaLiga
36720,pt,Luisinho,31," D(L),M(L)",171,65,11,9,1091,0,0,5,1,0.4,75.1,0,0.7,6.52,1.6,1.1,1,0.2,0.5,0.7,0.1,0,0.3,1.7,0.1,0.4,0.6,0.3,18.5,75.1,0.3,0.9,Deportivo La Coruna,LaLiga
9283,es,Alberto Lopo,36, D(C),186,82,8,2,741,0,0,5,0,0.4,79.1,0,1.6,6.52,1.1,2.4,0.8,0.4,4.1,0.9,0.5,0,0.1,0.4,0,0,0.1,0.1,32,79.1,0,3.7,Deportivo La Coruna,LaLiga
16711,ar,Germán Lux,34, GK,185,79,29,0,2558,0,0,5,1,0,49.1,2,0.3,6.49,0,0.1,0,0,0.7,0,0,0,0,0.3,0,0,0,0,32.1,49.1,0,11.1,Deportivo La Coruna,LaLiga
9460,es,Cani,34, M(CLR),180,75,12,6,892,0,0,2,0,0.6,71.2,0,0.2,6.40,1.1,0.9,0.5,0.1,0.2,0.7,0.2,0,0.4,0.6,0.1,1.1,0.9,0.4,21.8,71.2,0.2,1.2,Deportivo La Coruna,LaLiga
14075,ar,Jonás Gutiérrez,32, M(CLR),183,73,3,12,391,0,1,2,0,0.2,65.2,1,0.7,6.39,1.2,1.3,0.4,0.1,0.7,0.3,0.1,0,0.3,0.3,0,0.7,0.6,0.3,9.4,65.2,0.2,0.3,Deportivo La Coruna,LaLiga
295002,pt,Miguel Cardoso,22, Midfielder,176,71,0,3,41,0,1,0,0,1.3,80,0,0,6.35,0.7,0,0.3,0,0,0.3,0,0,0.3,0,0.3,0,1.3,0.3,5,80,0,0.7,Deportivo La Coruna,LaLiga
11230,es,Oriol Riera,29, FW,184,78,7,15,788,2,0,3,0,1.1,65.5,0,2.1,6.33,0.1,0.1,1,0.1,0.5,0.1,0,0,0.3,0.8,0.4,0.5,0.7,0.3,11.5,65.5,0,0.5,Deportivo La Coruna,LaLiga
82621,es,Juan Domínguez,26, M(C),184,72,2,3,185,0,0,0,0,0.6,78.3,0,0.4,6.21,1.6,0.2,1,0,0.2,1.6,0,0,0.4,0,0.2,0.2,0.8,0.4,12,78.3,0,0,Deportivo La Coruna,LaLiga
5988,es,Manuel Pablo,40, D(LR),177,73,2,1,175,0,0,0,0,0.3,83.1,0,0.3,6.20,0.7,1.7,0,0,2,1,0,0,0.3,0,0,0,0.7,0.3,29.7,83.1,0,1,Deportivo La Coruna,LaLiga
282857,uy,Jonathan Rodríguez,22, FW,181,78,6,7,566,0,0,2,0,1.3,72.3,0,0.4,6.12,0.6,0.1,1.2,0,0.3,0.2,0,0,0.2,0.4,0.8,1.4,1.7,0.2,6.4,72.3,0,0.2,Deportivo La Coruna,LaLiga
3300,hr,Stipe Pletikosa,37, GK,193,82,2,0,180,0,0,0,0,0,52.7,0,0,6.03,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,27.5,52.7,0,9.5,Deportivo La Coruna,LaLiga
34046,es,Manu,30, GK,182,77,8,1,683,0,0,2,0,0,42.1,0,0.3,5.98,0,0,0,0,1.1,0.1,0,0,0,0.2,0,0,0,0,24.6,42.1,0,8.6,Deportivo La Coruna,LaLiga
301467,,Rober,21, Defender,0,0,0,2,50,0,0,0,0,0.5,80,0,0,5.97,0.5,0,1,0,0,0.5,0,0,0,0,0,0,0,0,17.5,80,0,1.5,Deportivo La Coruna,LaLiga
