player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
127764,ar,Gonzalo Escalante,23, DMC,182,76,32,2,2829,3,1,15,0.0,0.7,73.3,3,1.7,7.00,3.4,2.6,2.4,0.0,1.2,1.5,0.4,0.0,0.4,0.8,0,1.2,1.2,0.4,35.9,73.3,0.1,2.2,Eibar,LaLiga
68706,es,Keko,24, M(R),177,72,27,2,2316,3,3,4,1,1.2,71.3,0,0.3,6.97,2.7,0.9,1.4,0,0.1,1.1,0,0.0,1.4,2.1,0.3,1.9,2.1,1.4,25.3,71.3,1.1,0.7,Eibar,LaLiga
130377,es,Ander Capa,24," D(R),M(R)",173,70,34,2,3122,2,5,12,0,0.4,62.9,1,0.9,6.94,2.9,2.7,1.4,0.3,2.4,0.9,0.1,0.0,0.6,0.8,0.1,0.5,1.1,0.6,32.9,62.9,0.6,1.9,Eibar,LaLiga
83358,es,Sergi Enrich,26, FW,181,77,25,13,2422,9,6,4,0,1.2,67.7,3,3.1,6.84,1.1,0.4,1.4,0,0.7,0.2,0.1,0,0.8,1.4,0.4,1.6,1.9,0.8,23,67.7,0.1,0.3,Eibar,LaLiga
127392,es,Dani García,26, DMC,180,75,35,0,3057,0,0,15,0,0.6,76.4,0,1.6,6.80,2.9,2.7,1.3,0,1,1.3,0.1,0.0,0.4,1.3,0,0.7,0.8,0.4,49.1,76.4,0,6.2,Eibar,LaLiga
106872,es,Borja Bastón,23, FW,191,82,29,7,2581,18,3,3,0,2.6,69.1,1,1.7,6.78,0.7,0.3,1.1,0,0.3,0.7,0,0,0.5,0.8,1,1.4,1.9,0.5,16.6,69.1,0.1,0.2,Eibar,LaLiga
105784,rs,Aleksandar Pantic,24, D(C),185,78,18,2,1677,0,0,6,0,0.5,64.1,1,2.8,6.77,0.9,3.7,1.1,0.4,5.3,0.5,0.2,0,0.1,0.1,0,0.1,0.3,0.1,25,64.1,0,2.3,Eibar,LaLiga
41625,ar,Mauro Dos Santos,26, D(C),180,76,30,1,2682,0,1,7,0,0.4,67.2,1,2.7,6.75,1.6,2.9,1,1,4.7,0.8,0.3,1,0.2,0.5,0,0.1,0.4,0.2,30.2,67.2,0,4.1,Eibar,LaLiga
10058,es,Iván Ramis,31, D(C),188,82,21,2,1795,0,1,7,1,0.3,77.2,0,2.5,6.73,0.8,2.4,0.8,0.7,4.2,0.3,0.2,0,0.2,0.5,0,0,0.3,0.2,31.9,77.2,0.1,4,Eibar,LaLiga
240888,es,Saúl Berjón,30," AM(LR),FW",178,84,16,13,1400,4,4,1,0,1.2,64.6,1,0.4,6.72,1.1,1,0.8,0,0.1,0.6,0,0,1.4,0.3,0.1,1.3,0.9,1.4,18.1,64.6,1.2,1.4,Eibar,LaLiga
140925,es,David Juncà,22, D(L),177,67,25,6,2336,0,4,8,0,0.3,67.8,0,0.7,6.71,2.4,1.8,1.1,0.4,1.5,0.5,0.1,0.0,0.7,1.1,0.1,0.4,0.6,0.7,27.7,67.8,0.9,2,Eibar,LaLiga
16672,es,Adrián,28, M(CL),184,75,26,6,2233,5,0,6,0,1.4,73.4,1,1.9,6.62,0.9,1.3,1.2,0.1,0.5,0.5,0.2,0,0.5,0.6,0,1,0.8,0.5,30.1,73.4,0.4,1.2,Eibar,LaLiga
86793,es,Antonio Luna,25," D(L),M(L)",178,70,12,3,1003,0,1,2,0,0.1,71.2,0,0.5,6.59,1.5,2.1,0.6,0.2,1.2,0.2,0,0,0.3,0.5,0.1,0.5,0.6,0.3,25.7,71.2,0.5,1.3,Eibar,LaLiga
130372,es,Xabi Irureta,30, GK,180,74,4,0,360,0,0,0,0,0,38.5,0,0.3,6.56,0,0,0,0,2,0.3,0,0,0,0,0,0,0,0,22.8,38.5,0,7,Eibar,LaLiga
9405,es,Asier Riesgo,32, GK,185,76,34,0,3060,0,0,1,0,0,41.4,1,0.6,6.56,0,0.2,0,0,1,0.1,0,0,0,0.3,0,0,0.1,0,27.8,41.4,0,10,Eibar,LaLiga
38820,jp,Takashi Inui,28, AM(CL),169,63,18,9,1629,3,3,1,0,1.3,75.1,2,0.2,6.55,1.1,0.4,0.9,0,0.1,0.7,0,0,0.9,0.7,0.3,1.2,1.1,0.9,17.1,75.1,0.6,0.5,Eibar,LaLiga
243787,az,Eddy,23, Midfielder,191,84,1,5,208,0,0,2,0,0.3,65.8,0,1,6.41,1.8,0.8,1.7,0,0.3,0.7,0.2,0.0,0.2,0.8,0,0.3,0.3,0.2,13.2,65.8,0,0.3,Eibar,LaLiga
14201,es,Ion Ansotegi,33, D(C),192,84,6,2,542,0,0,0,0,0.5,67.9,0,1.6,6.38,0.8,1.8,0.6,0.5,5,0.3,0.3,0,0.3,0.4,0,0,0,0.3,21,67.9,0,2.6,Eibar,LaLiga
10447,,Jota,25, AM(LR),180,70,8,5,693,0,0,1,0,1,77.6,0,0.2,6.36,0.9,0.5,1.5,0,0,0.4,0,0,1,0.3,0.1,1.1,1.7,1,16.5,77.6,0.8,0.7,Eibar,LaLiga
44272,es,Lillo,29, D(CLR),176,70,5,5,551,0,0,4,1,0.4,75.4,0,1.4,6.35,0.5,2.5,1.5,0.5,1.7,0.5,0.1,0,0.3,0.5,0,0,0.2,0.3,26.4,75.4,0.3,2.7,Eibar,LaLiga
82144,it,Simone Verdi,23, AM(C),171,62,3,6,290,0,0,2,0,0.7,82.2,0,0.1,6.31,0.4,0.6,1.4,0,0,0.3,0.1,0,0.8,0.9,0.3,1,1,0.8,8.1,82.2,0.2,0.3,Eibar,LaLiga
23540,es,Mikel Arruabarrena,33, AM(C),188,78,0,6,57,1,0,0,0,0.2,86.8,0,0,6.19,0.2,0,0,0,0.2,0,0,0,0,0.3,0.2,0.2,0.3,0,6.3,86.8,0,0.2,Eibar,LaLiga
76800,ba,Izet Hajrovic,24, AM(R),177,71,2,5,174,0,0,0,0,0.3,80.6,0,0.3,6.17,0.3,0.1,0.4,0,0.1,0,0,0,0.4,0.1,0.1,0.7,0.4,0.4,8.9,80.6,0.4,0.1,Eibar,LaLiga
108942,hr,Josip Radosevic,22, M(C),180,74,5,3,405,0,0,1,1,0.1,74.9,0,1.1,6.15,1.6,1.6,1.5,0,0.5,0.5,0,0,0.1,0.8,0,0.6,0.9,0.1,23.4,74.9,0.1,1.8,Eibar,LaLiga
95982,es,Borja Ekiza,28, D(C),180,73,2,2,189,0,0,1,0,0,54.2,0,1,6.11,0.3,1.5,1.5,0,1,0.5,0,0,0,0.3,0,0.8,0.3,0,18,54.2,0,1,Eibar,LaLiga
297217,es,Iñigo Barrenetxea,22, Midfielder,179,70,0,2,3,0,0,0,0,0,85.7,0,0.5,6.11,0.5,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,3.5,85.7,0,0,Eibar,LaLiga
316831,es,Ander Gayoso,22, Defender,171,71,0,1,5,0,0,0,0,0,20,0,0,6.02,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,20,0,0,Eibar,LaLiga
303440,es,Imanol Corral,22, Defender,180,70,0,1,1,0,0,0,0,0,0,0,0,6.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eibar,LaLiga
