player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
137467,es,Marco Asensio,20, AM(CLR),178,70,33,1,2833,4,10,3,0.0,1.8,81,4,0.3,7.03,1.6,0.5,1.1,0,0.1,1.6,0,0.0,2,1.7,0.1,1.8,1.8,2,32.6,81,1.3,1.2,Espanyol,LaLiga
27384,sn,Pape Diop,30, M(C),180,73,29,1,2485,3,0,13,1,0.7,77.7,1,2.4,6.91,2.8,2.9,2.2,0.2,1.7,1.2,0.4,0.0,0.1,1.7,0.1,0.8,1,0.1,38.8,77.7,0,2.9,Espanyol,LaLiga
28785,py,Hernán Pérez,27, M(LR),180,77,27,5,2448,7,1,12,0,1.5,71.2,2,1.5,6.91,1.3,1.3,2.7,0,0.7,1.5,0.1,0.0,0.9,1.7,0.5,1.6,1.9,0.9,27.6,71.2,0.8,0.8,Espanyol,LaLiga
33556,es,Víctor Sánchez,28, M(C),174,72,28,1,2315,1,6,11,2,0.8,79.3,3,0.9,6.87,3.4,2.4,2.3,0.0,0.9,1.3,0.2,0.0,0.8,1.2,0.1,1.2,1.3,0.8,34.4,79.3,0.2,1.8,Espanyol,LaLiga
91438,es,Anaitz Arbilla,29, D(CLR),178,76,7,0,630,0,0,3,0,1,78.6,0,1.3,6.85,3.3,2.1,1.6,0.4,3.3,1,0.1,0.0,0.9,1,0,1.3,0.6,0.9,46,78.6,0.4,3.6,Espanyol,LaLiga
238941,es,Joan Jordán,21, DMC,184,74,5,4,624,1,0,3,0,1,88.4,0,0.8,6.78,2.4,1.7,1.3,0.2,1.1,1.4,0.2,0.0,1,0.3,0.1,0.7,0.2,1,40.1,88.4,0.3,3.9,Espanyol,LaLiga
80957,es,Javi López,30," D(R),DMC",180,76,28,3,2423,0,2,11,0,0.1,71.1,1,0.9,6.77,3.4,2.5,1.5,0.4,2.5,1.4,0.2,0.0,0.2,1,0,0.5,0.8,0.2,28.9,71.1,0.4,1.6,Espanyol,LaLiga
89851,cr,Óscar Duarte,27, D(C),184,85,13,1,1196,1,0,5,0,0.6,72.6,0,2.8,6.74,1.1,3,1.4,0.4,4.6,0.6,0.6,1,0.1,0.2,0.1,0.2,0.6,0.1,31.1,72.6,0,3.1,Espanyol,LaLiga
261286,es,Rubén Duarte,20, D(L),172,68,21,1,1865,0,1,5,0,0.5,73.3,0,0.8,6.69,2.8,2.7,1.5,0.5,1.6,0.5,0.1,0.0,0.5,1,0.1,0.5,0.5,0.5,28.8,73.3,0.5,1.8,Espanyol,LaLiga
97659,es,Gerard Moreno,24, FW,177,75,19,13,1916,7,3,3,1,1.6,71.5,1,1.8,6.66,0.8,0.4,1.3,0,0.7,0.3,0,0,0.6,0.7,0.7,2,2.4,0.6,20.5,71.5,0.1,0.9,Espanyol,LaLiga
99907,es,Álvaro González,26, D(C),183,75,36,0,3227,0,1,10,0,0.4,75.7,0,1.8,6.63,1.2,1.7,0.9,0.8,5.4,0.3,0.7,1,0.4,1.1,0,0.1,0.3,0.4,40.3,75.7,0.1,5,Espanyol,LaLiga
22466,ec,Felipe Caicedo,27, FW,183,84,26,5,2145,8,0,6,0,1.3,75.6,0,1.9,6.62,0.6,0.2,1.7,0,0.5,0.3,0.1,0,0.5,1.2,0.9,1.2,1.8,0.5,16.1,75.6,0,0.3,Espanyol,LaLiga
294006,,Raíllo,24, Defender,186,77,4,0,360,0,0,1,0,1,77.1,0,2.8,6.55,2,1.8,0.8,1.3,5.3,0,0,0.0,0.3,0.5,0.3,0,0.5,0.3,26.3,77.1,0,2,Espanyol,LaLiga
149122,,Burgui,22, AM(L),184,71,8,18,976,1,3,0,0,1.2,76.6,0,0.2,6.54,0.8,0.3,0.3,0,0.1,0.3,0,0,0.7,0.8,0.1,0.5,0.6,0.7,13.5,76.6,0.4,0.5,Espanyol,LaLiga
135405,es,Fuentes,26, D(L),177,72,9,1,760,0,0,2,0,0.1,77.7,0,1.4,6.49,1.5,1.9,0.9,0.4,2.3,0.1,0.2,0.0,0.2,0.7,0.2,0,0.2,0.2,24.7,77.7,0.1,0.7,Espanyol,LaLiga
113354,es,Rober Correa,23, D(R),182,76,5,2,468,0,0,2,1,0,83,0,1,6.48,1.7,2,1.3,0.6,1.9,0.6,0.1,0.0,0,0.6,0.1,0.4,0.4,0,29.4,83,0,0.9,Espanyol,LaLiga
62769,es,Víctor Álvarez,23," D(L),M(L)",178,71,25,2,1968,1,2,6,0,0.5,66.2,1,1.4,6.48,1.9,1.1,1.3,0.1,1.7,1.4,0,0.0,0.6,1.2,0,1.3,1.6,0.6,22.9,66.2,0.4,1,Espanyol,LaLiga
71328,es,Abraham,30, M(C),177,75,13,7,1102,1,1,1,0,0.8,79.9,0,0.4,6.46,1.2,1.3,0.6,0.1,0.2,0.7,0.1,0,0.8,0.4,0.1,0.6,1.1,0.8,25.2,79.9,0.3,1.8,Espanyol,LaLiga
145427,es,Pau López,21, GK,189,77,35,1,3195,0,0,4,0,0,48,0,0.4,6.44,0,0.1,0,0,0.8,0.1,0,0,0,0.2,0,0,0.2,0,22.3,48,0,6.2,Espanyol,LaLiga
141877,cl,Enzo Roco,23, D(C),188,79,26,7,2462,2,0,9,0,0.3,79.9,1,1.2,6.39,0.9,1.8,1,0.7,3.8,0.3,0.4,0,0.1,0.2,0.1,0.2,0.4,0.1,29.3,79.9,0,3.5,Espanyol,LaLiga
20644,es,Paco Montañés,29, AM(LR),172,73,2,5,273,0,0,1,0,0.6,71.4,0,0.1,6.27,1.1,0.6,0.6,0,0.3,0.7,0,0,0.4,1.4,0.1,0.1,0.4,0.4,10,71.4,0.1,0,Espanyol,LaLiga
70133,es,José Cañas,29, DMC,177,71,7,6,690,0,0,5,0,0,83.7,0,0.8,6.21,1.1,1.5,0.8,0,1,0.6,0.3,0,0.2,0.8,0,0.4,0.3,0.2,30.2,83.7,0,3.2,Espanyol,LaLiga
33222,es,Salva Sevilla,32, M(CL),178,71,5,10,527,1,0,3,0,0.5,87.1,0,0.2,6.19,0.5,0.2,0.3,0,0,0.5,0.1,0,0.9,0.6,0.1,0.5,0.5,0.9,20.7,87.1,0.3,0.9,Espanyol,LaLiga
294008,es,Mamadou Sylla,22, Forward,184,84,2,12,330,0,0,3,0,0.6,72.6,0,0.6,6.08,0.3,0,1.1,0.1,0.1,0,0,0,0.2,0.7,0.1,0.7,0.7,0.2,4.4,72.6,0.1,0.1,Espanyol,LaLiga
14241,fr,Michael Ciani,32, D(C),189,88,2,0,136,0,0,0,0,0,77.6,0,2,5.70,2,3,0.5,0.5,5,0.5,0,0.0,0,0.5,0,0.5,1,0,42.5,77.6,0,3.5,Espanyol,LaLiga
66957,lt,Giedrius Arlauskis,28, GK,184,80,3,0,226,0,0,0,0,0,33.9,0,0.7,5.47,0.7,0,0,0,2,0,0,0,0,0,0,0,0,0,18.7,33.9,0,3.7,Espanyol,LaLiga
