player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
94868,es,Pablo Sarabia,24, M(CLR),176,70,30,1,2535,7,6,9,0.0,2,75,2,0.2,7.12,1.5,1,1.3,0,0.4,1.5,0,0,2.5,1.9,0.4,2.2,2.3,2.5,29.4,75,1.8,1.4,Getafe,LaLiga
120114,uy,Emiliano Velázquez,22, D(C),185,79,12,0,975,3,1,7,0.0,0.7,66.7,0,1.5,6.90,2.8,2.2,1.2,1.4,4.8,0.8,0.6,0.0,0.3,0.3,0,0,0.2,0.3,31,66.7,0.1,2.7,Getafe,LaLiga
9255,es,Alexis,30, D(CR),183,75,15,0,1350,1,0,7,0.0,0.1,79,0,1.9,6.89,1.3,3,0.6,0.7,4.9,0.4,0.6,0,0.4,0.5,0,0.3,0.2,0.4,35,79,0,4.9,Getafe,LaLiga
23077,es,Roberto Lago,30, D(L),178,70,17,0,1371,0,2,6,0.0,0.2,78.5,1,0.8,6.83,2.2,2.4,1.3,0.5,1.6,0.5,0.2,0.0,0.6,0.8,0.1,0.4,0.6,0.6,28.9,78.5,0.5,1.3,Getafe,LaLiga
294010,,Noblejas,23, Defender,187,77,1,0,90,0,0,1,0.0,0,69.6,0,0,6.82,4,0.0,3,0.0,1,2,1,0.0,0,1,0,1,1,0,46,69.6,1,3,Getafe,LaLiga
34524,es,Cala,26, D(C),180,76,21,1,1910,1,1,10,1,0.3,74.3,1,1,6.77,2.2,2.8,1.4,0.8,3.9,0.5,0.3,0.0,0.2,1,0.1,0.2,0.3,0.2,35.6,74.3,0,4.8,Getafe,LaLiga
9257,es,Juan Rodríguez,34, M(C),185,72,30,2,2516,0,1,11,0,0.7,78.1,0,2.3,6.76,1.8,2.8,1.4,0.1,1.6,1.1,0.4,1,0.2,0.7,0,0.3,0.5,0.2,34.8,78.1,0.1,3.2,Getafe,LaLiga
313323,,Miguel Ángel,21, Defender,177,72,2,1,201,0,0,1,0,0,84.7,0,1,6.72,1.7,3.3,0.3,0,1.3,0.3,0,0,0,0.3,0,0.7,0.7,0,19.7,84.7,0,1,Getafe,LaLiga
26387,fr,Yoda,27," D(L),M(R)",182,73,8,10,973,0,0,3,0,0.4,77.1,0,0.4,6.67,1.3,1.3,0.7,0.2,0.9,0.9,0.1,0,0.5,0.4,0,0.9,0.8,0.5,23,77.1,0.3,1.2,Getafe,LaLiga
23634,es,Pedro León,29, M(R),183,71,23,8,1849,2,4,5,0,1.5,69.3,1,1.2,6.66,0.9,0.7,1.5,0,0.4,0.4,0,0,1.1,1,0,1.3,1.4,1.1,18.7,69.3,1.1,0.8,Getafe,LaLiga
18413,dz,Mehdi Lacen,32, M(C),176,70,31,0,2664,0,0,8,0,0.4,81.7,0,1.4,6.66,2.8,2.2,1.7,0.0,1.4,1.4,0,0.0,0.3,1,0,1.3,0.7,0.3,44.6,81.7,0.1,3.1,Getafe,LaLiga
83705,uy,Damián Suárez,28, D(R),173,68,30,1,2635,0,3,7,1,0.3,75,0,0.5,6.64,2.1,1.9,1.3,0.3,1.8,1.3,0.2,0.0,1,1.1,0,0.5,0.4,1,38.5,75,0.7,2,Getafe,LaLiga
33866,es,Vicente Guaita,29, GK,190,81,38,0,3420,0,0,2,0,0,44.2,0,0.5,6.62,0,0.2,0,0,1.2,0.1,0,0,0.1,0.1,0,0,0.2,0.1,24.7,44.2,0,6.1,Getafe,LaLiga
82394,ar,Santiago Vergini,27, D(CR),191,83,24,2,2202,0,0,7,1,0.3,82.5,0,1,6.61,1.5,2.7,0.8,0.8,3.7,0.6,0.3,0,0.1,0.2,0,0.3,0.3,0.1,33.8,82.5,0,2.8,Getafe,LaLiga
14100,es,Ángel Lafita,31," M(CLR),FW",187,73,12,2,1020,3,2,5,0,2,66.3,0,1.6,6.59,0.8,0.8,2.1,0,0.7,0.4,0.1,0,0.6,1.6,0.2,2.2,2.2,0.6,17.4,66.3,0.2,0.6,Getafe,LaLiga
142802,es,Álvaro Medrán,22, DMC,176,68,16,4,1486,2,1,7,0,1.6,81.4,0,1.6,6.52,0.9,1,1.5,0,1,0.8,0.1,0,0.5,1.2,0.1,1.9,1.2,0.5,30.4,81.4,0,2.3,Getafe,LaLiga
118898,es,Víctor Rodríguez,26, AM(CLR),170,70,26,7,2309,2,2,1,0,1.4,86.1,1,0.2,6.48,1.2,0.6,0.5,0,0.2,0.8,0.1,0,0.8,1,0.1,1.4,1.8,0.8,30.2,86.1,0.2,0.8,Getafe,LaLiga
260592,,Emi,19, Midfielder,170,65,6,11,740,1,0,5,1,0.8,81.8,0,0.5,6.46,2.4,1.2,0.9,0,0.2,0.9,0.1,0.0,0.3,0.9,0.1,1.4,0.6,0.3,19.7,81.8,0.1,1.3,Getafe,LaLiga
101238,es,Moi Gómez,21, AM(CLR),179,72,9,13,915,2,3,3,0,0.7,85.8,0,0.1,6.42,0.6,0.5,0.9,0,0.2,0.4,0,0,0.3,0.2,0,0.6,0.5,0.3,18.2,85.8,0.1,0.8,Getafe,LaLiga
