player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
91273,es,Rubén Rochina,25, M(CLR),182,76,29,6,2497,6,6,10,0.0,2.2,70.8,3,1.1,7.11,1.5,1.6,1.2,0,0.4,0.9,0,0,1.3,2.2,0,1.9,1.4,1.3,33.3,70.8,0.8,3.6,Granada,LaLiga
75526,es,Jesús Fernández,28, GK,190,84,1,0,90,0,0,0,0.0,0,40.5,0,0,7.09,0,0,0,0,2,0,0,0,1,0,0,0,0,1,42,40.5,0,15,Granada,LaLiga
43977,pt,Miguel Lopes,29, D(R),182,83,23,3,1973,0,1,8,1,0.4,75.9,3,1.5,7.08,3.3,2.6,1,0.2,2.9,0.8,0.2,1,0.4,0.7,0,0.4,0.7,0.4,26.8,75.9,0.3,1.2,Granada,LaLiga
70080,ma,Youssef El-Arabi,29," AM(C),FW",183,84,27,8,2517,16,2,3,0,2,65.3,1,2,6.91,1,0.3,1.3,0,0.7,0.2,0.1,0,0.7,1.5,1.3,1.6,2.6,0.7,18.1,65.3,0.1,0.6,Granada,LaLiga
10110,pt,Ricardo Costa,35, D(C),183,80,14,0,1250,1,0,7,0,0.6,79.9,0,2.1,6.84,1.4,1.9,0.8,0.7,4.4,0.2,0.5,0,0.2,0.2,0,0.1,0.1,0.2,31.3,79.9,0,3.2,Granada,LaLiga
67480,es,Rubén Pérez,27, M(C),178,72,30,1,2484,0,2,17,0,0.5,77.5,1,1.1,6.83,3.5,2.2,1.5,0.0,1.3,1.8,0.4,0.0,0.7,1,0.1,0.8,0.9,0.7,43.4,77.5,0.3,5.2,Granada,LaLiga
91580,es,Isaac Cuenca,25, M(LR),181,74,8,4,788,2,2,0,0,0.8,85.5,1,0.3,6.79,1.1,1.2,0.4,0,0.2,0.5,0,0,0.5,0.8,0.1,0.8,1.2,0.5,17.8,85.5,0.3,0.3,Granada,LaLiga
15455,es,Piti,35, M(CLR),179,79,5,3,416,2,2,3,0,1.3,58.5,0,0.9,6.78,0.9,0.5,0.8,0,0.1,0.9,0,0,1.6,0.5,0.3,1,1,1.6,15.4,58.5,1.3,0.4,Granada,LaLiga
140998,mq,Jean-Sylvain Babin,29, D(C),179,88,25,0,2236,3,0,5,0,0.5,82.2,1,1.9,6.77,0.8,2.3,0.4,0.8,5.4,0.2,0.4,0,0,0.2,0,0,0.2,0,32.5,82.2,0,3,Granada,LaLiga
145940,ng,Success,20," AM(LR),FW",186,86,28,2,2434,6,2,10,1,1.9,64.9,1,0.6,6.72,1,0.5,1.7,0,0.6,0.4,0,0,0.9,2.9,0.6,2.1,3.2,0.9,20.1,64.9,0.4,0.6,Granada,LaLiga
73948,si,Rene Krhin,26, DMC,189,80,16,8,1432,0,0,3,0,0.3,76.2,1,2.2,6.67,1.6,2.4,0.9,0.1,1.9,0.9,0.1,0,0.2,0.7,0,0.4,0.2,0.2,21.2,76.2,0,1,Granada,LaLiga
116317,ml,Abdoulaye Doucouré,23, M(C),183,75,13,2,1156,0,2,5,0,0.7,83.9,0,0.9,6.66,2.1,2.1,1.3,0.1,0.9,0.5,0.4,0,0.7,0.4,0,1.1,1.4,0.7,37.2,83.9,0,2.5,Granada,LaLiga
300438,ve,Adalberto Peñaranda,19," AM(L),FW",185,79,21,2,1678,5,3,8,0,1,75.8,0,0.5,6.62,1.4,0.3,2.6,0,0.1,0.4,0.1,0,0.8,1.7,0.3,2.5,2.5,0.8,15.1,75.8,0,0.3,Granada,LaLiga
101084,fr,Dimitri Foulquier,23," D(LR),M(R)",183,78,16,5,1526,1,1,5,0,0.3,71.2,0,0.6,6.60,1.8,2,1.3,0.2,2.1,0.3,0.2,0,0.5,0.4,0,0.5,0.7,0.5,23,71.2,0.2,1,Granada,LaLiga
93935,it,Cristiano Biraghi,23," D(L),M(L)",186,79,32,0,2822,0,1,8,1,0.3,70.2,0,0.9,6.55,2.5,1.6,1.3,0.5,2.7,0.7,0.3,0,0.5,0.5,0,0.3,0.6,0.5,28.8,70.2,0.6,2.5,Granada,LaLiga
32565,es,Andrés Fernández,29, GK,183,79,37,0,3330,0,0,6,1,0,53.7,2,0.5,6.52,0,0.2,0,0,1.4,0.1,0,0,0.1,0.2,0,0,0,0.1,27.8,53.7,0,8.8,Granada,LaLiga
106913,es,Fran Rico,28, M(C),178,73,15,13,1447,2,1,6,0,0.6,77.7,0,1.2,6.52,1.3,1.1,1.4,0.1,0.6,1,0,0,1.4,0.7,0,0.6,0.3,1.4,29.8,77.7,0.8,2.5,Granada,LaLiga
122876,es,Lombán,29, D(C),185,74,29,2,2627,0,0,6,0,0.4,78.8,0,1.4,6.51,0.9,2.5,0.6,0.8,4,0.5,0.5,1,0.2,0.3,0,0,0.1,0.2,30.1,78.8,0,4.6,Granada,LaLiga
28517,es,Javi Márquez,30, M(C),179,71,16,3,1314,0,1,6,0,1.1,71.5,0,0.6,6.42,1.7,1.4,1.4,0,0.9,1.6,0.2,0,0.6,1.5,0.1,1.2,0.7,0.6,31.5,71.5,0.1,3.3,Granada,LaLiga
