player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
108100,es,Pedro Bigas,26, D(CL),180,78,26,1,2353,3,0.0,5,0.0,0.6,84.5,2,1.6,7.20,1.3,4.5,0.7,1,5.2,0.3,0.5,0,0.2,0.9,0,0.1,0.7,0.2,44.9,84.5,0,3,Las Palmas,LaLiga
91304,es,Jonathan Viera,26," AM(CL),FW",170,68,36,0,3121,10,9,4,0.0,2.4,81.9,5,0.4,7.19,1.9,0.6,0.7,0,0.2,0.9,0.1,0,2.2,2.3,0.5,2.3,2.3,2.2,51.9,81.9,0.8,1.7,Las Palmas,LaLiga
9474,py,Antolin Alcaraz,33, D(C),184,80,6,0,540,1,0,2,0.0,0.3,72.9,1,2.8,7.16,3.2,2.8,1,0.3,5.3,1,1,0.0,0.3,0.3,0,0.5,0.3,0.3,36.8,72.9,0.2,3.7,Las Palmas,LaLiga
141028,es,Raúl Lizoain,25, GK,186,76,7,1,707,0,0,0,0.0,0,53.9,0,0.8,7.12,0.1,0.1,0,0,1.5,0,0,0,0,0.3,0,0,0,0,30.6,53.9,0,6.9,Las Palmas,LaLiga
79838,es,David García,34, D(R),182,79,18,1,1609,2,1,2,0.0,0.5,80.3,1,2,7.10,1.6,3.5,0.7,0.4,2.7,0.8,0.6,0,0.5,0.8,0.1,0.2,0.1,0.5,44.7,80.3,0.2,2.7,Las Palmas,LaLiga
41033,,Dani Castellano,28, D(L),175,70,25,2,2247,0,0,5,0.0,0.3,82.2,0,1.3,7.07,2.1,3.2,0.9,0.2,2.2,0.9,0.2,0,0.4,1.6,0,0.7,1.1,0.4,40.7,82.2,0.2,1.7,Las Palmas,LaLiga
24575,es,Aythami,30, D(C),185,79,30,1,2643,0,1,9,2,0.3,83.1,2,2.9,6.98,1.5,3.4,0.9,1.1,5.4,0.5,0.6,0,0.2,0.4,0,0.1,0.1,0.2,50.5,83.1,0,4.1,Las Palmas,LaLiga
141024,,Javi Castellano,29, Midfielder,188,64,1,0,90,0,0,0,0,1,76.9,0,3,6.92,3,2,1,0,5,1,0,0.0,0,3,0,0,0,0,39,76.9,0,2,Las Palmas,LaLiga
25644,es,Javi Varas,33, GK,182,73,31,0,2711,0,0,1,1,0,57.2,2,0.4,6.84,0.1,0.2,0.1,0,1.1,0,0,0,0,0.2,0,0,0,0,34.2,57.2,0,8.5,Las Palmas,LaLiga
9451,es,Momo,33, AM(LR),184,67,15,8,1386,0,3,3,0,0.7,86.2,0,0.2,6.80,1.3,1.2,0.5,0,0.3,0.4,0.1,0,1,1.4,0.1,1.1,0.8,1,34.4,86.2,0.5,2,Las Palmas,LaLiga
141303,es,Vicente Gómez,27, DMC,187,77,16,5,1461,1,1,3,0,0.3,87.8,1,1.7,6.77,1.9,1.5,1,0.1,1.1,0.8,0.1,0,0.3,2,0,0.8,1.1,0.3,47.6,87.8,0,1.3,Las Palmas,LaLiga
141304,,Tana,25, AM(C),169,68,26,1,2127,5,4,2,0,1.1,84.3,1,0.2,6.76,1.1,0.6,0.9,0,0.3,1.1,0.1,0,1.2,2,0.1,2,2.3,1.2,40.8,84.3,0.3,1.1,Las Palmas,LaLiga
287049,,Mauricio Lemos,20, D(C),186,80,8,2,736,0,0,5,0,0.4,83,0,1.4,6.72,0.9,2,1.1,0.6,3.4,0,0.6,0,0,0,0.1,0.1,0.1,0,34.1,83,0,3.6,Las Palmas,LaLiga
116146,es,David Simón,26, D(R),178,74,24,3,2262,1,2,7,0,0.4,78.5,0,1.4,6.69,2.2,2.1,1.6,0.3,1.7,0.6,0.3,1,0.7,0.8,0.1,1.2,1.5,0.7,39.4,78.5,0.4,1.4,Las Palmas,LaLiga
77636,br,Willian José,24, FW,186,81,19,11,1728,9,1,6,0,1.8,72.9,0,1.3,6.68,0.6,0.1,1,0,0.8,0,0,0,0.7,0.9,0.6,1.4,1.1,0.7,17.5,72.9,0.1,0.7,Las Palmas,LaLiga
133454,,Sergio Araujo,24, FW,180,70,20,10,1821,5,3,4,0,2,70.4,1,1.7,6.67,0.8,0.1,1.3,0,0.7,0.3,0.1,0,0.6,0.5,0.6,1.7,1.7,0.6,17.2,70.4,0.1,0.5,Las Palmas,LaLiga
6210,es,Javier Garrido,31, D(CL),180,76,18,0,1576,0,1,2,0,0.1,86.7,0,0.6,6.65,1.7,2.1,0.9,1,2.6,0.7,0.4,0,0.3,0.2,0,0.2,0.4,0.3,47.2,86.7,0.4,2.6,Las Palmas,LaLiga
108176,es,Roque,27, DMC,171,68,34,0,2839,1,2,12,0,1,87.8,0,0.4,6.60,1.7,1.2,1.3,0.1,0.8,1.1,0.2,0,0.5,1.4,0.1,1.5,1.7,0.5,60,87.8,0.1,2.3,Las Palmas,LaLiga
32857,es,Montoro,27, DMC,181,74,5,4,433,0,0,2,0,0.1,83.9,0,0.7,6.56,1.1,1.7,1,0.1,1.3,1,0.3,0,0.6,0.7,0,0.2,0.4,0.6,35.2,83.9,0.4,2.4,Las Palmas,LaLiga
23167,ma,Nabil El Zhar,29, M(CLR),175,66,17,13,1708,2,4,4,0,0.9,80.9,0,0.5,6.55,0.9,0.7,0.9,0,0.3,0.2,0,0,0.6,1.1,0.2,1.5,0.9,0.6,18.7,80.9,0.5,0.2,Las Palmas,LaLiga
96817,es,Hernán,25, DMC,180,74,11,7,928,1,0,4,0,0.5,85.5,1,1.3,6.52,1.3,1.6,0.8,0.1,0.8,1.1,0,0,0.1,0.8,0,0.6,0.9,0.1,30.3,85.5,0,1.2,Las Palmas,LaLiga
44425,gh,Mubarak Wakaso,25, M(CLR),171,66,10,10,925,1,0,11,0,1,82.4,0,0.5,6.49,1.5,0.8,1.5,0.1,0.7,0.3,0.1,0,0.4,1.5,0.1,1.1,0.9,0.4,23,82.4,0.2,1.9,Las Palmas,LaLiga
23717,ar,Juan Emmanuel Culio,31, DMC,176,75,6,6,558,0,1,2,1,0.4,85.3,0,0.6,6.46,1.5,1,1.3,0,0.1,0.5,0,0,0.8,2.4,0,1,1,0.8,28.4,85.3,0.3,1.1,Las Palmas,LaLiga
302762,,Nili,22, Midfielder,0,0,4,4,318,0,0,0,0,0.5,79.6,0,0.1,6.31,0.6,1.1,0.4,0.1,0.4,0.5,0,0,1,0.1,0.3,0.9,1.4,1,13.5,79.6,0.1,0.5,Las Palmas,LaLiga
1141,es,Juan Carlos Valerón,41, AM(C),180,72,3,10,375,0,0,0,0,0.1,87.9,0,0.2,6.22,0.2,0.5,0,0,0.2,0,0,0,0.5,1.1,0.1,0.9,0.4,0.5,29.8,87.9,0,1.2,Las Palmas,LaLiga
4674,es,Ángel,35, D(R),180,71,0,3,30,0,0,0,0,0,88.6,0,0,6.15,0,0.3,0.3,0,0.7,0,0.3,0,0,0.3,0,0,0,0,11.7,88.6,0,1.3,Las Palmas,LaLiga
31333,es,Nauzet Alemán,31, M(C),178,71,2,8,243,0,0,0,0,0.3,77.2,0,0,6.14,0.3,0.4,0.8,0,0,0.1,0,0,0.6,0.2,0.1,0.3,0.5,0.6,13.6,77.2,0.6,0.6,Las Palmas,LaLiga
