player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
135321,es,Morales,28," D(R),M(LR)",180,70,31,4,2676,7,5,4,0.0,2,71.6,4,0.5,6.92,1.3,0.7,0.5,0.1,0.5,1,0.1,0.0,1.6,1.1,0.3,2.2,1.2,1.6,22.4,71.6,1.1,0.9,Levante,LaLiga
135641,br,Deyverson,25, FW,185,78,24,9,2166,9,1,10,2,2.1,55.2,1,4.3,6.83,0.9,0.5,1.5,0,0.8,0.5,0.1,0,0.8,2.1,0.6,1.2,2.6,0.8,19.4,55.2,0.1,0.2,Levante,LaLiga
106597,ma,Zouhair Feddal,27, D(C),191,83,28,0,2520,1,1,9,1,0.5,73.9,1,1.9,6.82,1.1,3.9,1.2,0.9,6.7,0.5,0.8,0.0,0.2,0.5,0,0.1,0.3,0.2,40.1,73.9,0,4.7,Levante,LaLiga
243187,es,Toño,26, D(L),179,69,26,1,2387,0,1,8,0,0.4,71.8,0,1.3,6.81,1.6,2.4,1.7,0.4,2.5,0.6,0.1,0.0,0.7,1.5,0.1,1.3,0.6,0.7,33.9,71.8,0.7,2,Levante,LaLiga
13802,it,Giuseppe Rossi,29, FW,173,72,15,2,1162,6,2,1,0,1.9,79.1,0,0.5,6.77,0.5,0.5,0.8,0,0.2,0.6,0,0,1.2,1,0.2,2.2,2.4,1.2,18,79.1,0.1,0.8,Levante,LaLiga
118481,es,José Mari,28, DMC,181,69,10,2,802,0,0,5,0,1,77.9,0,2,6.74,2.4,2.2,0.9,0.1,1.7,1.5,0,0.0,0.3,1.3,0,0.5,0.8,0.3,34,77.9,0,3.3,Levante,LaLiga
33088,mz,Simao Mate,27," D(C),M(C)",178,76,26,4,2181,1,0,10,2,0.3,76.4,1,3.2,6.70,1.5,2.4,1.8,0.1,2.5,0.3,0.3,0.0,0.1,1.2,0,0.4,0.4,0.1,32.5,76.4,0,1.9,Levante,LaLiga
133464,co,Jefferson Lerma,21," D(R),DMC",179,70,31,2,2686,1,2,11,0,1.1,75.1,0,1.9,6.68,1.8,1.9,1.5,0.2,1.3,0.6,0.2,0.0,0.8,0.8,0.1,0.9,1.1,0.8,32.3,75.1,0.4,1.7,Levante,LaLiga
14759,dz,Carl Medjani,31," D(C),DMC",184,78,14,0,1260,1,0,1,0,0.4,76.2,0,1.5,6.66,0.9,2.4,0.6,0.9,3.6,0.3,0.6,0,0.2,0.5,0.2,0.1,0.1,0.2,36.3,76.2,0,3.8,Levante,LaLiga
107168,es,Iván López,22, D(R),175,69,10,3,957,0,0,3,0,0.5,69,0,0.5,6.65,2.5,2.4,1.2,0.5,1.6,0.8,0.2,0.0,0.3,0.5,0,0.5,0.8,0.3,23.3,69,0.3,1.8,Levante,LaLiga
91216,es,Diego Mariño,26, GK,185,75,23,0,2070,0,0,1,0,0,62.6,0,0.3,6.64,0,0,0,0,1,0,0,2,0,0.3,0,0,0,0,29.9,62.6,0,10,Levante,LaLiga
10653,es,Joan Verdú,33, M(CR),178,71,10,3,907,1,1,0,0,0.7,85.2,0,0.5,6.62,0.9,0.8,0.4,0.1,0.3,0.9,0,0,1.5,0.9,0.2,1.3,0.5,1.5,38.5,85.2,0.6,1.5,Levante,LaLiga
12367,es,Verza,29, M(C),181,78,23,6,2127,2,3,13,0,0.9,82.2,0,0.3,6.62,1.5,1.1,1.3,0,1.1,0.8,0.2,0.0,1.3,1,0,0.3,0.8,1.3,42.5,82.2,1,4,Levante,LaLiga
10067,es,Pedro López,32," D(R),M(R)",174,72,16,1,1299,1,0,8,0,0.4,76.4,0,0.6,6.62,1.6,1.5,1.4,0.2,2.5,0.9,0.2,0.0,0.2,1.3,0.1,0.5,1.1,0.2,28.9,76.4,0.4,2,Levante,LaLiga
1324,es,Juanfran,39, D(CL),183,78,20,1,1519,0,1,8,1,0.1,64.9,1,0.9,6.55,1.8,1.9,0.7,0.6,2.8,1,0.5,0.0,0.3,0.8,0,0.3,0.6,0.3,28.8,64.9,0.1,3.3,Levante,LaLiga
14077,es,Casadesús,31," AM(C),FW",180,77,8,15,942,3,1,4,0,0.5,70.1,2,2.1,6.45,0.6,0.3,1,0,0.4,0.3,0,0,0.5,0.8,0.1,0.9,0.8,0.5,16.6,70.1,0,0.7,Levante,LaLiga
119189,es,Rubén García,22, AM(CLR),171,72,9,13,1012,1,0,5,0,0.7,69.1,0,0.3,6.44,1,0.7,1,0,0.3,0.6,0.1,0.0,1,1.2,0.1,1.6,1.2,1,18,69.1,0.6,0.7,Levante,LaLiga
302300,co,Mauricio Cuero,23, M(R),176,77,5,8,480,0,1,1,0,0.8,65.3,0,0.1,6.44,0.8,0.4,0.5,0,0.2,0.1,0,0,0.5,0.7,0.2,0.6,0.5,0.5,9.1,65.3,0.5,0.1,Levante,LaLiga
140957,es,Víctor Camarasa,22, DMC,183,76,21,13,2113,2,3,4,0,0.8,84.9,0,0.9,6.44,1.3,0.9,0.9,0,0.5,0.6,0,0.0,0.6,0.8,0.1,1.4,1.4,0.6,30.9,84.9,0.1,1.9,Levante,LaLiga
105721,es,Ángel Trujillo,28, D(C),179,79,8,0,668,0,0,0,0,0.3,76.9,0,0.4,6.44,1.3,2.4,0.8,0.4,3.3,0.3,1.1,0.0,0,0.1,0,0.1,0,0,22.8,76.9,0,1.4,Levante,LaLiga
5999,es,David Navarro,36, D(C),188,82,20,0,1693,0,0,3,1,0.4,79.3,0,1.5,6.43,1,2,0.8,0.9,4.6,0.5,0.6,1,0.1,0.5,0.1,0.2,0.3,0.1,33.4,79.3,0,3.6,Levante,LaLiga
9907,es,Rubén Martínez,31, GK,187,80,15,0,1350,0,0,4,0,0,49,0,0.2,6.33,0,0,0.1,0,0.9,0,0,0,0,0,0,0,0,0,23.3,49,0,7.7,Levante,LaLiga
35209,gr,Nikos Karámpelas,31, D(L),180,70,1,0,90,0,0,1,0,0,50,0,0,6.32,2,2,4,1,5,1,0,0.0,0,0,0,0,2,0,30,50,1,0,Levante,LaLiga
109632,dz,Nabil Ghilas,26," AM(L),FW",183,85,10,10,1010,0,1,1,0,1,60.9,0,1.7,6.21,0.3,0.3,1.2,0,0.4,0.1,0.1,0,0.5,0.5,0.3,1.3,1.7,0.5,11.5,60.9,0.2,0.1,Levante,LaLiga
109811,es,Roger,25, FW,178,73,7,9,646,0,0,4,0,1.3,59.2,0,0.7,6.17,0.6,0.2,1.3,0,0.3,0.3,0,0,0.3,0.6,0.2,0.9,1.1,0.3,8.1,59.2,0,0.1,Levante,LaLiga
44282,es,Jordi Xumetra,30, AM(R),172,70,5,8,527,0,0,5,0,0.6,70.7,0,0.7,6.06,0.2,0.2,1.1,0,0.3,0.4,0.2,0,0.2,0.5,0.2,0.6,0.4,0.2,9.5,70.7,0.2,0.2,Levante,LaLiga
75204,ar,Lucas Orban,27, D(L),184,78,3,0,270,0,0,1,0,0,76.6,0,2,5.99,3.3,1.3,1.3,1,2.3,4.3,0.0,0.0,0,2.7,0,0.7,0.7,0,31.3,76.6,0,1.3,Levante,LaLiga
