player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
35199,es,Ignacio Camacho,26, M(C),182,75,23,0.0,2008,2,1,7,1,1,73.5,3,3.2,7.22,3,3.5,2.2,0.1,2,1,0.3,0.0,0.6,1.9,0,1,0.9,0.6,49,73.5,0.1,2.6,Malaga,LaLiga
13289,br,Weligton,36, D(C),186,71,30,0.0,2608,0,2,5,0,0.1,71.7,2,3,7.18,1.8,3,1,1.2,5.1,0.8,0.7,0,0.2,0.8,0,0.1,0.2,0.2,37.8,71.7,0.1,3.8,Malaga,LaLiga
303080,uy,Federico Ricca,21, D(L),179,72,7,1,641,1,1,3,0,0.3,63.4,1,2.6,7.14,3.1,2.6,1.4,0.5,2.8,0.3,0.1,0.0,0.6,0.9,0,0.4,1,0.6,28.4,63.4,0.6,1,Malaga,LaLiga
102157,br,Charles,32, FW,179,75,33,2,3007,12,3,12,0,2.4,70.4,4,3.8,7.02,0.6,0.4,1.7,0,1.3,0.4,0.1,1,1,1.3,0.9,1.1,1.8,1,24.2,70.4,0.1,0.2,Malaga,LaLiga
25945,uy,Gonzalo Castro,31, AM(LR),176,70,15,1,1247,1,1,1,0,1.3,70,1,0.4,7.00,1.4,0.8,1.1,0,0.3,0.6,0,0,1.6,1.2,0.2,1.9,1.9,1.6,26.5,70,2.4,1.2,Malaga,LaLiga
40346,ve,Roberto Rosales,27, D(R),174,70,35,0,3071,0,5,5,0,0.5,74.6,2,1.1,6.98,3.1,1.9,1,0.4,1.9,1.1,0.1,0.0,0.6,1,0,0.9,1.1,0.6,34.7,74.6,0.5,2.5,Malaga,LaLiga
106596,es,Sergi Darder,22, DMC,180,71,1,0,85,0,0,1,0,3,80.6,0,0,6.96,4,0.0,1,0.0,0.0,1,0.0,0.0,1,1,0,2,1,1,36,80.6,1,3,Malaga,LaLiga
135527,es,Raúl Albentosa,27, D(C),193,86,27,2,2553,2,0,11,0,0.6,69.7,2,1.8,6.93,1.2,3.6,1,1,3.5,0.6,0.4,0,0.3,0.4,0,0,0.4,0.3,36.2,69.7,0,3.8,Malaga,LaLiga
93820,es,Recio,25, M(C),183,74,32,1,2750,0,4,16,0,1.1,82.3,0,0.8,6.93,2.8,1.4,1.8,0,0.7,0.8,0.2,0.0,1.1,1.2,0,1,1,1.1,42.1,82.3,0.6,2.1,Malaga,LaLiga
23250,es,Miguel Torres,30, D(CLR),184,74,22,1,1959,0,2,9,0,0,70,0,1.1,6.84,2.3,2.2,0.8,0.5,2.7,0.6,0.4,0.0,0.3,0.3,0,0,0.4,0.3,27.4,70,0.5,1.8,Malaga,LaLiga
3515,cm,Carlos Kameni,32, GK,186,86,28,0,2467,0,1,2,0,0,60.2,2,0.3,6.82,0,0.1,0,0,0.7,0,0,1,0,0,0,0,0.1,0,23.3,60.2,0,7.8,Malaga,LaLiga
31093,by,Igor Filipenko,28, D(C),194,85,6,2,562,0,0,1,0,1,68.3,0,1.4,6.81,1.6,2.8,0.3,0.8,4.9,0.4,0.6,0,0,0.4,0,0.4,0.6,0,22.5,68.3,0,1.8,Malaga,LaLiga
21015,mx,Guillermo Ochoa,30, GK,185,78,10,1,953,0,0,0,0,0,53.3,0,0.2,6.80,0.2,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0,22.2,53.3,0,7.1,Malaga,LaLiga
106874,es,Juan Carlos,26," D(L),M(L)",179,72,14,5,1247,1,2,1,0,0.8,76.2,0,1.1,6.76,1.1,1.4,1,0.1,1.3,0.5,0.1,0,0.8,1.1,0.2,0.8,0.9,0.8,23,76.2,0.4,0.4,Malaga,LaLiga
19188,ar,Marcos Angeleri,33, D(CR),182,76,13,0,1112,0,0,3,0,0.2,80.2,0,1,6.72,1.6,2.8,1,1.1,4.7,0.5,0.4,0,0.2,0.5,0,0.2,0.5,0.2,26.8,80.2,0,2.4,Malaga,LaLiga
13699,ar,Fernando Tissone,29, M(C),180,77,12,0,997,0,0,2,2,0.7,77.3,0,1.4,6.72,1.9,3.3,2.5,0.3,1.1,0.9,0.2,1,1,0.6,0,0.7,0.8,1,44.1,77.3,0.1,3.3,Malaga,LaLiga
9245,ci,Arthur Boka,33," D(L),M(C)",166,65,12,2,1049,0,0,3,1,0.5,78.2,0,0.9,6.65,1.4,1.6,1.1,0.1,1.3,0.3,0.1,0,0.4,1.2,0.1,0.9,0.7,0.4,32.8,78.2,0.7,1.6,Malaga,LaLiga
26361,hr,Duje Cop,26, FW,185,75,25,6,2064,7,3,3,0,1.6,67.9,1,1.2,6.61,0.9,0.5,1,0,0.2,0.4,0.1,0,0.6,0.5,0.1,1.4,1.7,0.6,20.7,67.9,0.2,0.4,Malaga,LaLiga
240507,,Juanpi,22, AM(R),171,65,18,11,1621,4,1,6,0,1.1,77.3,1,0.4,6.60,0.8,0.6,0.7,0,0.3,0.8,0.2,0,0.9,1.6,0.1,1.9,1.4,0.9,22,77.3,0.3,0.7,Malaga,LaLiga
96257,gh,Christian Atsu,24, AM(CLR),172,68,3,9,386,2,0,0,0,0.8,78.6,0,0.3,6.57,0.6,0.5,0.3,0,0.1,0.3,0,0,0.5,0.6,0.3,0.7,0.1,0.5,10.9,78.6,0.2,0.4,Malaga,LaLiga
6831,pt,Duda,35, M(CLR),175,71,11,16,1062,1,1,5,0,0.9,69.5,0,0.2,6.48,0.8,0.6,0.8,0,0.2,0.3,0,0,1.5,1.7,0.1,1.3,0.9,1.5,22.3,69.5,0.7,1.4,Malaga,LaLiga
297203,es,Pablo Fornals,20, M(C),178,67,12,15,1286,1,0,1,0,0.8,78.3,0,0.5,6.48,1.3,1.1,0.6,0,0.4,0.7,0,0,0.5,0.6,0.1,0.8,0.5,0.5,26,78.3,0,1,Malaga,LaLiga
120828,pt,Fábio Espinho,30, DMC,171,65,0,2,87,0,0,0,0,1,89.1,0,1,6.42,0,0,0,0,0.5,0,0,0,0.5,0,0,1.5,0,0.5,27.5,89.1,0.5,0,Malaga,LaLiga
