player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
25119,es,Roberto Trashorras,35, M(C),177,70,35,1,3119,3,7,10,0.0,0.9,87.3,5,0.5,7.01,1.7,1.4,1.1,0,1.1,1.3,0.1,0,2.2,2.3,0.2,1.1,0.8,2.2,74.8,87.3,1.3,8.7,Rayo Vallecano,LaLiga
123232,es,Diego Llorente,22," D(C),DMC",185,74,33,0,2877,2,0,11,1,0.4,79.6,1,3,6.95,1.8,3.2,1.6,1.2,3.6,0.7,0.5,1,0.1,1,0,0.7,0.6,0.1,43,79.6,0,3.6,Rayo Vallecano,LaLiga
89883,pt,Bebé,25," AM(LR),FW",190,75,27,7,2246,3,6,3,0,2.4,72.6,1,0.8,6.87,1.1,0.6,0.8,0.1,0.9,0.5,0,0,0.9,0.6,0.6,1.2,1.8,0.9,17.8,72.6,1.2,0.7,Rayo Vallecano,LaLiga
44317,ve,Miku,30, FW,185,79,18,4,1549,9,4,4,0,1.9,74.3,2,1.4,6.87,1.1,0.4,1.6,0,0.2,0.6,0.1,0,1.2,1,1,1.3,2,1.2,17.9,74.3,0.1,0.2,Rayo Vallecano,LaLiga
115995,es,Quini,26, D(R),179,70,22,5,2048,0,1,7,0,0.7,69.4,0,1.1,6.85,3.8,2.7,1.4,0.4,1.9,0.7,0.2,0.0,0.3,0.5,0,0.4,1.1,0.3,26.3,69.4,0.3,1.2,Rayo Vallecano,LaLiga
5750,ro,Razvan Rat,35, D(L),178,72,8,2,734,0,0,3,0,0.8,70.3,0,2.2,6.82,1,2.9,1.1,0.3,3.1,0.5,0.1,0,1.1,0.2,0.1,0.2,0.3,1.1,39.7,70.3,1.3,2.7,Rayo Vallecano,LaLiga
13630,es,Toño,36, GK,182,81,10,0,808,0,0,0,1,0,67.3,1,0.5,6.78,0,0.1,0.1,0,1.5,0.1,0,0,0,0.1,0,0,0,0,26.3,67.3,0,7.3,Rayo Vallecano,LaLiga
14258,pt,Zé Castro,33, D(C),183,76,22,0,1720,2,0,6,1,0.5,76.1,0,2.2,6.76,1.8,2.9,0.9,1,3,0.4,0.5,0,0.4,0.2,0,0.3,0.3,0.4,52.4,76.1,0,6.3,Rayo Vallecano,LaLiga
23215,es,Javi Guerra,34, FW,179,77,23,7,2092,12,0,8,0,2.4,74.9,2,2.3,6.75,0.9,0.3,1.6,0,0.3,0.2,0.1,0,0.6,2.1,1,1.8,2,0.6,21.1,74.9,0,0.4,Rayo Vallecano,LaLiga
70960,pt,Tito,30, D(CLR),174,62,29,0,2488,1,3,4,2,0.4,78.1,0,1.5,6.74,1.6,2.2,1.3,0.5,2.8,0.5,0.5,0,0.5,1.2,0.1,0.3,0.6,0.5,32.2,78.1,0.3,1.7,Rayo Vallecano,LaLiga
29571,es,Pablo Hernández,31, M(CLR),173,64,24,3,1917,3,4,3,0,1.3,77.1,0,0.2,6.74,1.3,0.9,0.4,0,0.3,1.1,0,0,1.1,0.8,0.2,0.9,0.9,1.1,35.2,77.1,0.4,1.9,Rayo Vallecano,LaLiga
135572,es,Adrián Embarba,24, AM(LR),173,66,19,9,1833,2,5,5,0,1.5,71.3,0,1,6.70,1.6,0.9,1,0.1,0.3,0.5,0,0,1.1,0.9,0.4,1.3,1.6,1.1,20.7,71.3,1.1,0.5,Rayo Vallecano,LaLiga
19444,es,José Ángel Crespo,29," D(CL),M(R)",183,72,9,0,718,0,0,4,0,0.1,81.9,0,1.3,6.70,2.6,3,1.4,1.4,3.3,0.4,0.3,0.0,0,0.8,0,0.3,0.2,0,43.7,81.9,0,2.1,Rayo Vallecano,LaLiga
141058,es,Jozabed,25, M(C),178,67,24,3,2062,9,2,3,0,1.7,85.2,1,0.3,6.69,1.2,0.8,0.7,0,0.6,0.9,0,1,1,0.8,0.2,1.7,1.5,1,37.9,85.2,0.2,2.1,Rayo Vallecano,LaLiga
97643,es,Juan Carlos,28, GK,187,82,19,2,1801,0,0,1,0,0,64.6,1,0.4,6.66,0,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0,28.5,64.6,0,6.2,Rayo Vallecano,LaLiga
44268,es,Antonio Amaya,33, D(C),192,86,10,7,1030,1,0,4,1,0.2,75.1,0,2.4,6.50,1,2.2,1,0.9,3.4,0.4,0.8,0,0.1,0.4,0,0.2,0.2,0.1,26.6,75.1,0,2.1,Rayo Vallecano,LaLiga
34937,ao,Manucho,33, FW,188,82,5,23,930,4,1,3,0,0.9,64.9,1,2.7,6.44,0.5,0.1,0.6,0,0.6,0.3,0.1,0,0.4,0.5,0.4,0.6,0.6,0.4,8.5,64.9,0,0.2,Rayo Vallecano,LaLiga
99693,gn,Lass,24, M(LR),174,71,7,9,803,0,1,2,0,1.1,71.6,0,0.4,6.44,1.1,0.6,1.1,0,0.1,0.5,0,0,0.8,0.6,0.4,1.2,1.6,0.8,14.3,71.6,0.6,0.1,Rayo Vallecano,LaLiga
121544,es,Nacho,27, D(LR),175,76,22,0,1714,0,0,7,0,0.7,72.9,0,1.1,6.43,2,2.4,1.3,0.4,2.1,0.5,0.1,0.0,0.5,0.9,0,0.3,0.6,0.5,36,72.9,0.3,2.4,Rayo Vallecano,LaLiga
81721,es,Raúl Baena,27, M(C),179,73,22,2,1840,1,1,10,1,0.4,78,0,0.8,6.43,1.6,1.8,1.8,0,0.9,0.5,0.3,0,0.5,1.7,0,0.8,0.8,0.5,30.1,78,0,1.3,Rayo Vallecano,LaLiga
15455,es,Piti,35, M(CLR),179,79,4,4,337,0,0,1,0,0.9,62,0,0.6,6.28,0.4,0.4,1.3,0,0.1,0.4,0.1,0,0.4,0.5,0,1.5,0.9,0.4,17.1,62,0.4,0.8,Rayo Vallecano,LaLiga
28721,cl,Manuel Iturra,31, DMC,172,74,4,2,384,0,0,2,1,0,80.9,0,1.5,6.26,1.8,1.8,2,0.2,1.2,0.5,0.2,0.0,0.3,0.5,0,0.3,0.7,0.3,27,80.9,0,0.3,Rayo Vallecano,LaLiga
83117,es,Yoel,27, GK,185,84,10,0,811,0,0,1,1,0,56.7,0,0,6.25,0,0.3,0,0,1.7,0,0,0,0.1,0.2,0,0,0,0.1,28.2,56.7,0,6.4,Rayo Vallecano,LaLiga
89562,am,Aras Özbiliz,26, AM(R),175,72,1,2,99,0,1,1,0,0.3,77.8,0,0.3,6.25,0.7,0,0.7,0,0,0.3,0,0,0.7,0.7,0,0.3,1,0.7,9,77.8,0.3,0,Rayo Vallecano,LaLiga
13750,de,Patrick Ebert,29, M(LR),175,72,7,2,557,0,0,3,1,1.1,77.3,0,0.7,6.15,0.4,0.6,0.9,0,0.8,0.3,0,0,1,0.7,0.2,0.7,1.1,1,26.4,77.3,0.3,0.4,Rayo Vallecano,LaLiga
44389,es,Chechu Dorado,33, D(C),180,69,4,6,469,0,0,2,0,0.1,79.5,0,0.3,6.13,0.9,0.9,0.7,0.8,1.4,0.2,0.1,0,0.2,0.2,0,0,0.1,0.2,26.4,79.5,0,2,Rayo Vallecano,LaLiga
125534,ar,Luis Fariña,25, AM(CL),177,74,0,3,52,0,0,0,0,0,88.9,0,0,6.10,0.7,0.7,0.3,0,0,0.7,0,0,0.3,0.3,0.3,1,0,0.3,6,88.9,0,0,Rayo Vallecano,LaLiga
