player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
303172,be,Charly Musonda,19, AM(LR),173,66,13,3,1228,1,1,2,0.0,0.9,78.4,0.0,0.1,7.09,2,0.6,0.9,0,0.3,0.4,0,0.0,0.8,3.3,0,1.8,2,0.8,21.4,78.4,0.4,0.8,Real Betis,LaLiga
121456,ar,Germán Pezzella,24, D(C),186,81,23,2,2165,3,1,9,0.0,0.7,73.1,4,3,7.07,2.1,3.5,0.9,0.8,5.5,0.9,0.6,0.0,0.1,0.5,0,0.2,0.4,0.1,31.2,73.1,0,2.4,Real Betis,LaLiga
294192,,Bruno,26, D(C),184,82,32,0,2807,0,0,9,0.0,0.5,77.6,0,2.2,7.06,2,2.8,1.1,0.9,6.1,0.7,0.5,0.0,0,0.5,0,0.2,0.4,0,32.5,77.6,0,2.8,Real Betis,LaLiga
94831,it,Cristiano Piccini,23, D(R),183,77,16,0,1421,0,0,4,0.0,0.9,78.4,0,1.8,7.04,2.7,2.6,1.6,0.3,2.1,0.9,0.3,0.0,0.8,0.8,0,1.1,1.2,0.8,37.6,78.4,0.8,1.3,Real Betis,LaLiga
91387,es,Martín Montoya,25, D(LR),174,74,13,0,1167,0,1,4,0.0,0.1,77.7,1,1.7,7.04,3.2,3.3,0.6,0.2,2.1,0.9,0.3,0.0,0.3,1.7,0.1,0.6,0.8,0.3,42.8,77.7,0.2,1.1,Real Betis,LaLiga
5673,de,Heiko Westermann,32, D(CLR),190,87,20,0,1633,1,0,3,2,0.8,75.9,5,2.9,7.02,2,3,1,0.8,6.5,0.8,0.6,1,0.1,0.7,0.1,0.5,0.5,0.1,30.9,75.9,0,2.3,Real Betis,LaLiga
34123,fr,Alfred N'Diaye,26," D(C),M(C)",186,80,34,0,3010,2,0,6,0,0.7,79.7,4,1.8,7.00,2.7,2.6,1.4,0.1,1.8,0.7,0.6,0.0,0.2,0.8,0.1,1.4,0.6,0.2,33.7,79.7,0.1,2.1,Real Betis,LaLiga
14660,pe,Juan Vargas,32," D(L),M(CL)",180,77,20,0,1719,2,2,5,1,0.9,74.8,2,1.2,6.98,1,2.4,1.3,0.2,3,0.5,0.5,0,1.3,0.3,0,0.6,0.8,1.3,30.1,74.8,1.6,1.3,Real Betis,LaLiga
3283,es,Joaquín,34, M(CLR),179,75,22,8,1963,1,5,3,0,0.9,79.3,1,0.7,6.88,0.9,0.9,0.4,0,0.6,0.2,0.1,0,1.7,1.3,0.3,1.5,1.2,1.7,26.9,79.3,1,1.2,Real Betis,LaLiga
146756,br,Petros,27, M(CLR),182,78,27,3,2329,1,1,7,1,0.3,83.2,1,0.7,6.79,3.4,2.1,1.7,0.0,0.5,2,0.3,0.0,0.5,2.3,0,0.9,0.7,0.5,39.3,83.2,0,1.3,Real Betis,LaLiga
