player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
13812,gb,Gareth Bale,26," M(CLR),FW",183,74,21,2,1741,19,10,2,0.0,3.5,79.9,5,0.9,8.12,0.5,0.9,0.6,0,0.3,0.4,0.1,0.0,2.2,1.2,0.7,0.8,1.3,2.2,30.3,79.9,0.8,1.3,Real Madrid,LaLiga
5583,pt,Cristiano Ronaldo,31," M(L),FW",185,80,36,0,3185,35,11,3,0.0,6.3,79.4,8,1.6,7.99,0.3,0.2,0.6,0,0.4,0.3,0.1,0.0,1.4,1.1,1.4,1.2,1.2,1.4,29.7,79.4,0.3,0.3,Real Madrid,LaLiga
14296,fr,Karim Benzema,28, FW,187,79,26,1,1994,24,7,1,0.0,3.6,81.5,3,0.4,7.65,0.3,0.1,0.6,0,0.5,0.1,0,0.0,1.6,0.8,0.7,1.3,1.3,1.6,24.8,81.5,0,0.6,Real Madrid,LaLiga
20241,br,Marcelo,28, D(L),174,75,28,2,2474,2,3,2,0.0,0.6,84.3,2,0.2,7.44,2.5,1.8,0.5,0.2,0.9,1.1,0.2,0.0,1.7,1.1,0.1,0.7,0.8,1.7,58.1,84.3,1.1,3.5,Real Madrid,LaLiga
20874,hr,Luka Modric,30, M(C),174,65,31,1,2629,2,4,5,0.0,1.1,90.9,6,0.3,7.37,1.5,1.9,0.8,0,0.2,0.7,0.1,0.0,1.9,1.4,0.1,1.1,0.7,1.9,68.3,90.9,0.7,4.5,Real Madrid,LaLiga
31772,de,Toni Kroos,26, M(C),182,78,32,0,2745,1,10,3,0.0,0.6,93.9,0,0.3,7.33,2,1.3,1.1,0,0.3,1.7,0.1,0.0,1.8,1.5,0,0.4,0.4,1.8,75.8,93.9,1.2,7.3,Real Madrid,LaLiga
71182,co,James Rodríguez,24, AM(CLR),180,75,17,9,1518,7,8,1,0.0,1.5,86.9,2,0.2,7.32,1.3,0.6,0.5,0,0.1,1,0,0.0,2.3,0.7,0.2,0.9,1,2.3,41.4,86.9,1.5,2,Real Madrid,LaLiga
88526,br,Casemiro,24, DMC,184,80,17,6,1526,1,3,7,0.0,0.9,87.2,1,1.9,7.30,3.1,2,1.7,0.0,1.4,1.6,0.4,0.0,0.3,1.6,0,0.4,0.6,0.3,44.4,87.2,0,4.8,Real Madrid,LaLiga
88300,br,Danilo,24, D(R),184,78,23,1,2044,2,5,6,0.0,0.8,86,0,1.3,7.27,2.9,2.3,1.5,0.2,1.7,0.7,0.1,0.0,0.8,0.8,0.1,0.3,0.4,0.8,51.8,86,0.5,2,Real Madrid,LaLiga
10105,pt,Pepe,33, D(C),188,81,21,0,1887,1,1,5,0.0,0.6,87.6,0,2.7,7.27,1.6,2.5,0.8,0.3,3.4,0.4,1,0.0,0.3,1.1,0,0.1,0.4,0.3,54.2,87.6,0.1,2.6,Real Madrid,LaLiga
106883,es,Daniel Carvajal,24, D(R),173,73,19,3,1638,0,4,6,0.0,0.4,88,0,1,7.22,1.5,1.8,1.2,0.3,1.1,0.9,0.3,0.0,1.4,1.2,0.1,0.5,0.8,1.4,45.1,88,1.2,1.6,Real Madrid,LaLiga
144511,es,Lucas Vázquez,24, AM(R),173,70,10,15,1231,4,6,4,0.0,0.9,85.8,1,0.2,7.21,2.1,1,0.6,0,0.3,0.6,0,0.0,1.1,1.4,0,1.3,1.3,1.1,25,85.8,0.6,0.6,Real Madrid,LaLiga
9909,es,Sergio Ramos,30, D(CR),183,75,23,0,1946,2,2,7,2,0.8,90.3,0,1.7,7.15,1.5,3.3,1.5,0.3,3.4,0.3,0.9,0.0,0.3,1.1,0.2,0.1,0.3,0.3,55.4,90.3,0.1,3.6,Real Madrid,LaLiga
65901,cr,Keylor Navas,29, GK,185,78,34,0,3060,0,0,0,0,0,63.4,1,0.4,7.12,0.1,0.1,0.1,0,0.8,0,0,0.0,0,0.1,0,0,0,0,21.1,63.4,0,5.9,Real Madrid,LaLiga
82989,es,Isco,24," AM(CLR),FW",176,74,21,10,1826,3,7,2,1,1.3,89.2,0,0.3,7.09,1,0.8,0.9,0,0,0.8,0,0.0,1.4,1.3,0.2,1.5,1.6,1.4,38.1,89.2,0.7,1.2,Real Madrid,LaLiga
23154,es,Kiko Casilla,29, GK,191,84,4,0,360,0,0,0,0,0,60.8,0,0,6.99,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,18.5,60.8,0,2.8,Real Madrid,LaLiga
106875,es,Nacho,26, D(CLR),179,75,12,4,1153,0,0,5,0,0.3,89.8,0,1.6,6.98,1.4,2.3,1.1,0.6,2.2,0.3,0.6,0.0,0.2,0.9,0.1,0.2,0.5,0.2,33.2,89.8,0.1,1.1,Real Madrid,LaLiga
93206,fr,Raphael Varane,23, D(C),191,78,23,3,2182,0,0,4,1,0.5,88.2,0,1.9,6.90,1.5,1.7,0.9,0.4,4.7,0.3,0.8,0.0,0,0.3,0,0.1,0.3,0,47.3,88.2,0,3.7,Real Madrid,LaLiga
11104,es,Álvaro Arbeloa,33, D(LR),184,79,2,4,258,0,0,1,0,0,85,0,2,6.73,2,1.5,1,0.2,1.3,0.5,0.2,0.0,0.2,0.2,0,0.2,0.8,0.2,22.2,85,0,0.3,Real Madrid,LaLiga
106028,es,Jesé,23, AM(LR),178,73,7,21,827,5,6,0,0,0.8,80.7,0,0.1,6.71,0.5,0.3,0.4,0,0,0.2,0,0.0,0.8,0.4,0,0.4,0.5,0.8,12.8,80.7,0.3,0,Real Madrid,LaLiga
110297,ru,Denis Cheryshev,25, AM(L),179,74,0,2,33,0,1,0,0,0.5,81,0,0,6.58,1,1,2.5,0,0,1,0.5,0.0,0.5,0.5,0,1,0.5,0.5,10.5,81,0,0.5,Real Madrid,LaLiga
93894,hr,Mateo Kovacic,22, M(CL),181,63,8,17,1030,0,2,4,1,0.4,90.5,0,0.1,6.50,1.5,0.6,0.6,0,0.2,0.3,0.1,0.0,0.7,0.6,0,0.6,0.7,0.7,30.2,90.5,0,0.7,Real Madrid,LaLiga
278721,es,Borja Mayoral,19, Forward,181,68,3,3,283,0,0,0,0,0.5,78.9,0,0.8,6.36,0.5,0,0.7,0,0,0.3,0,0.0,0.2,0.5,0.3,1,0.5,0.2,15,78.9,0,0.2,Real Madrid,LaLiga
254582,es,Marcos Llorente,21, Midfielder,180,71,0,2,23,0,0,0,0,0,95.2,0,0,6.19,0,0.5,0,0,0,0,0,0.0,0.5,0,0,0,0,0.5,10.5,95.2,0,0,Real Madrid,LaLiga
