player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
87094,es,Asier Illarramendi,26, M(C),179,76,32,1,2847,1,1,15,0.0,0.7,81,2,1.8,7.27,3.1,3.5,1.3,0.1,1.5,1.1,0.2,0.0,0.9,2,0,1.1,0.9,0.9,52.7,81,0.6,4.4,Real Sociedad,LaLiga
86235,mx,Diego Reyes,23," D(C),DMC",189,66,26,1,2313,2,0,3,1,0.4,81.7,2,2.8,7.24,2.1,3.9,0.9,0.6,3.7,0.2,0.7,1,0.3,0.5,0.1,0.3,0.4,0.3,38.8,81.7,0.2,3.7,Real Sociedad,LaLiga
56057,es,Yuri,26, D(L),181,78,21,0,1849,0,4,10,0,0.7,76.5,2,2.7,7.22,2.3,3.9,1.2,0.6,2.6,0.6,0.2,0.0,0.7,1,0.2,0.7,1.1,0.7,40.1,76.5,0.7,1.2,Real Sociedad,LaLiga
31096,es,David Zurutuza,29, M(CL),184,78,14,2,1130,1,3,1,0,1.1,78.5,0,1.9,7.13,2.3,1.9,1.2,0,0.9,0.6,0.2,0.0,0.9,2.2,0.1,2.2,1.6,0.9,34.3,78.5,0.3,1,Real Sociedad,LaLiga
14203,es,Imanol Agirretxe,29, FW,187,77,14,2,1174,13,0,0,0,2.9,66.2,3,1.8,7.06,0.3,0.3,0.6,0,0.5,0.5,0.1,0,0.2,1.7,0.6,1.2,1.5,0.2,20.7,66.2,0.1,0.4,Real Sociedad,LaLiga
106885,es,Iñigo Martínez,25, D(C),181,77,30,0,2700,1,0,7,0,0.5,78.5,1,2.3,6.95,1.9,3.1,1.1,0.8,4.7,0.5,0.6,0,0.1,0.9,0.1,0.2,0.4,0.1,47,78.5,0,4.4,Real Sociedad,LaLiga
256864,es,Aritz Elustondo,22, D(CR),182,72,30,1,2602,1,0,8,0,0.5,78.1,0,1.7,6.94,2.4,2.6,1,0.6,3.2,0.8,0.3,0.0,0.3,0.8,0.1,0.4,0.5,0.3,36.3,78.1,0.5,1.8,Real Sociedad,LaLiga
33462,es,Carlos Martínez,30, D(R),189,79,6,4,536,0,2,2,0,0.3,78.8,1,1.3,6.92,1.9,2.5,0.5,0.5,2.1,0.2,0.2,0,0.6,0.6,0,0.3,0.6,0.6,26.9,78.8,0.3,1.2,Real Sociedad,LaLiga
23475,es,Alberto De la Bella,30, D(L),182,82,14,1,1248,0,2,5,0,0.3,76.7,1,1.3,6.89,2.3,2.5,1.3,0.3,2.8,0.4,0.1,0.0,0.7,1,0.1,0.2,0.7,0.7,38,76.7,0.7,1.9,Real Sociedad,LaLiga
14200,es,Mikel González,30, D(C),190,79,17,2,1551,0,0,1,0,0.3,78.5,0,1.3,6.88,1.3,2.8,0.9,1,4.6,0.7,0.7,0,0.1,0.2,0,0.1,0.4,0.1,28.6,78.5,0.1,2,Real Sociedad,LaLiga
25165,mx,Carlos Vela,27," M(CLR),FW",177,75,32,3,2765,5,4,5,0,1.7,79.3,1,0.5,6.81,0.8,0.3,1,0,0.1,0.6,0,0,1.4,2.3,0.7,1.8,1.7,1.4,29.9,79.3,0.8,1.6,Real Sociedad,LaLiga
135911,es,Zaldúa,23, D(R),176,71,10,3,918,0,0,5,0,0.2,69.5,0,1.4,6.79,2.4,1.8,1.6,0.4,3.5,0.9,0.2,0.0,0.3,1.7,0,0.2,0.5,0.3,23.9,69.5,0.6,2.1,Real Sociedad,LaLiga
106887,es,Rubén Pardo,23, DMC,182,68,19,9,1788,0,7,7,0,1.3,81.6,0,0.6,6.79,0.9,1.3,0.7,0,0.2,0.4,0.1,0,1.6,0.3,0,0.3,0.7,1.6,36.8,81.6,1.6,3.6,Real Sociedad,LaLiga
