player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
67424,pl,Grzegorz Krychowiak,26, DMC,186,85,25,1,2271,0.0,0.0,6,0.0,0.8,84.3,3,2.9,7.23,2.5,4.5,1.8,0,3,0.5,0.6,2,0.2,2,0.1,0.5,0.8,0.2,45.9,84.3,0,3,Sevilla,LaLiga
33724,ar,Éver Banega,27, M(C),174,71,20,5,1726,5,2,6,1,1.6,82.9,4,0.2,7.21,2.1,0.8,1,0,0.2,1.1,0.1,0,1.8,1.8,0.2,2.5,1.2,1.8,46.9,82.9,1.2,4.4,Sevilla,LaLiga
40771,br,Mariano,29," D(R),M(R)",177,69,18,5,1685,0,3,6,0,0.4,75,1,0.7,6.95,2.3,2.1,1,0.3,1.3,1,0.3,0,0.9,0.6,0.3,0.2,0.7,0.9,24.6,75,1.1,1.3,Sevilla,LaLiga
89856,es,Sergio Escudero,26, D(L),176,72,13,2,1173,1,1,2,0,0.8,78.4,1,1.3,6.91,2.3,1.7,1.6,0.2,1.5,0.8,0.1,0,0.9,1.5,0,0.5,0.9,0.9,30.2,78.4,0.7,0.9,Sevilla,LaLiga
58467,ua,Yevhen Konoplyanka,26, AM(L),176,69,15,17,1613,4,4,4,0,1.6,79.8,2,0.1,6.89,0.6,0.7,0.7,0,0.2,0.5,0,0,1.1,0.8,0,0.9,0.8,1.1,15.6,79.8,1.4,0.4,Sevilla,LaLiga
19453,fr,Kevin Gameiro,29, FW,178,72,22,9,2084,16,4,2,0,2.3,74.4,2,0.5,6.86,0.7,0.3,0.3,0,0.4,0.4,0,0,0.8,0.6,0.8,1.1,1.4,0.8,13.2,74.4,0.1,0.1,Sevilla,LaLiga
39935,fr,Steven N'Zonzi,27, M(C),190,75,22,6,1847,3,1,2,1,0.7,79.9,2,2.5,6.86,1.4,1.5,1.1,0,1.3,0.2,0.2,0,0.4,0.5,0,0.5,0.3,0.4,33,79.9,0.2,1.6,Sevilla,LaLiga
91430,es,Vitolo,26, AM(LR),184,79,23,5,2053,2,4,4,1,0.9,75,0,0.6,6.84,1.6,0.6,1.8,0,0.3,1.4,0.2,0,1.3,2,0.3,1.1,1.4,1.3,27.2,75,0.3,0.4,Sevilla,LaLiga
109338,es,Sergio Rico,22, GK,195,90,34,0,3060,0,0,2,0,0,60.8,2,0.4,6.80,0,0.2,0,0,1.1,0.1,0,0,0,0.1,0,0,0,0,25.1,60.8,0,7.1,Sevilla,LaLiga
43824,pt,Daniel Carriço,27," D(C),DMC",180,80,11,3,1050,1,1,4,0,0.5,80.2,0,1.8,6.78,1.2,1.9,1,0.6,3.6,0.5,0.4,0,0.1,0.4,0,0.4,0.5,0.1,35,80.2,0,3.3,Sevilla,LaLiga
19193,ar,Nico Pareja,32, D(C),181,74,1,1,123,0,0,1,0,0,73,0,2.5,6.77,1.5,3,1.5,0,4,0,0,0,0.5,2,0,0.5,0,0.5,44.5,73,0,6.5,Sevilla,LaLiga
