player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
67327,co,Bernardo,26, D(C),192,84,16,0.0,1338,1,0.0,5,1,0.8,69.6,1,4,7.09,1.5,2.6,2.1,0.4,8.5,0.6,1.1,0.0,0.3,0.6,0.3,0.2,0.3,0.3,33.1,69.6,0,3.5,Sporting Gijon,LaLiga
31685,es,Alberto García,31, GK,182,77,6,0.0,540,0,0.0,0,0,0,43.5,1,0,7.05,0.2,0.2,0,0,0.7,0.2,0,0,0,0.2,0,0,0,0,29.5,43.5,0,7.3,Sporting Gijon,LaLiga
86826,es,Sergio Álvarez,24, M(C),182,72,26,1,2189,2,2,7,1,0.2,75.3,1,2.3,7.01,3.9,2.1,1.9,0.1,1.2,1.6,0.2,0.0,0.6,1.3,0,0.8,0.6,0.6,39.6,75.3,0,1.8,Sporting Gijon,LaLiga
12381,es,Carlos Carmona,28, AM(R),177,72,16,4,1224,2,3,4,0,0.7,73.8,0,1,6.82,2.6,0.9,1.5,0.1,0.2,1.8,0.2,0.0,1.3,1,0.2,1,1.6,1.3,27,73.8,0.5,0.5,Sporting Gijon,LaLiga
294139,,Luis Hernández,27, D(C),182,74,36,0,3224,0,0,4,1,0.3,81.3,0,1.2,6.82,1.1,3.9,0.6,0.7,5.1,0.2,0.4,1,0.4,0.5,0.1,0.2,0.3,0.4,41.1,81.3,0.1,2.7,Sporting Gijon,LaLiga
294140,,Jony,24, AM(L),179,80,33,3,2873,5,7,4,0,1.5,67.4,4,0.3,6.80,1,1.1,0.8,0,0.3,0.8,0.1,0,1.3,1.5,0.2,1.5,1.7,1.3,23.9,67.4,1.1,0.8,Sporting Gijon,LaLiga
294145,es,Jorge Meré,19, D(C),179,68,24,1,2174,0,0,6,0,0.3,76.9,0,1.1,6.77,2,2.8,0.7,0.6,4,0.7,0.6,0.0,0,0.4,0,0.2,0.3,0,31.3,76.9,0,2.2,Sporting Gijon,LaLiga
84868,ba,Ognjen Vranjes,26, D(CR),186,76,10,1,916,0,0,6,1,0,68.3,1,2.1,6.76,3.6,3.4,2.5,0.2,3.8,1.2,0.4,0.0,0.1,1.7,0,0.5,0.4,0.1,24.6,68.3,0,1.1,Sporting Gijon,LaLiga
67302,es,Alberto Lora,29, D(R),168,67,26,5,2411,0,4,7,0,0.2,75.8,0,0.8,6.74,2.2,2.4,1,0.2,2.2,1,0.1,0.0,0.7,0.8,0.1,0.3,0.6,0.7,34.3,75.8,0.4,1.5,Sporting Gijon,LaLiga
135057,py,Antonio Sanabria,20, FW,180,73,27,2,2265,11,1,4,0,1.7,71.6,3,2.1,6.72,0.6,0.3,1.4,0,0.5,0.4,0,0,0.4,1.2,0.8,1.5,2.7,0.4,20.4,71.6,0.1,0.5,Sporting Gijon,LaLiga
11188,es,Iván Cuéllar,32, GK,187,82,32,0,2880,0,2,4,0,0,34.2,3,0.3,6.68,0,0.1,0,0,1.5,0.1,0,0,0.1,0.3,0,0,0.1,0.1,27,34.2,0,6.6,Sporting Gijon,LaLiga
120151,hr,Alen Halilovic,20, AM(CR),169,61,24,12,2349,3,5,6,0,1.6,78.7,1,0.1,6.67,0.6,0.3,0.4,0,0.1,0.6,0,0,0.8,1.3,0.1,1.2,0.6,0.8,22.3,78.7,0.4,1.9,Sporting Gijon,LaLiga
94832,es,Isma López,26," D(L),M(L)",180,76,28,3,2502,2,0,8,0,0.5,71.5,0,0.4,6.64,2.4,1.3,0.6,0.2,1.9,1.3,0.2,0.0,0.5,0.7,0.1,0.5,0.7,0.5,31.5,71.5,0.4,1.8,Sporting Gijon,LaLiga
106892,es,Álex Menéndez,24, M(L),181,67,11,10,1033,2,1,1,0,0.8,65.7,0,0.8,6.59,1.5,0.9,0.5,0,1.3,0.6,0.1,0.0,0.6,0.2,0.2,0.7,0.8,0.6,14.1,65.7,0.5,0.5,Sporting Gijon,LaLiga
