player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
80921,de,Shkodran Mustafi,24, D(CR),184,82,30,0.0,2682,2,0.0,14,0.0,0.7,81.3,4,3,7.33,2.7,4.4,1.1,0.6,5.3,0.8,0.7,1,0.1,0.7,0.2,0.2,0.3,0.1,47,81.3,0,5.4,Valencia,LaLiga
28186,es,Daniel Parejo,27, M(C),180,75,30,3,2735,8,5,8,0.0,1.4,85.5,3,0.8,7.15,2.2,1.5,1.1,0.1,0.8,1.5,0.2,0,1.3,2.4,0.1,1.4,0.7,1.3,53,85.5,0.9,4.3,Valencia,LaLiga
136810,,Jaume,25, GK,187,76,17,0,1530,0,0,0,0.0,0,52.4,1,0.4,7.12,0.1,0.1,0,0,0.9,0,0,0,0.1,0.4,0,0,0,0.1,25.4,52.4,0,7.9,Valencia,LaLiga
110297,ru,Denis Cheryshev,25, AM(L),179,74,6,1,482,3,0,2,0.0,1.9,71,0,1,7.12,2.9,1.1,1.7,0.0,0.3,0.7,0,0.0,0.4,1.6,0,0.6,1.9,0.4,26.6,71,0.3,0.3,Valencia,LaLiga
128967,pt,João Cancelo,22," D(R),M(R)",182,72,25,3,2121,1,4,5,1,0.3,78.6,2,1.1,7.10,2.3,2.4,1.5,0.1,2,0.7,0.2,0,0.6,1.4,0,1,1.2,0.6,31.2,78.6,0.6,2.1,Valencia,LaLiga
130356,pt,Rúben Vezo,22, D(C),183,80,10,5,1084,0,0,2,0,0.2,74.3,0,1.9,6.99,2.3,3.3,1.2,0.5,3.7,0.9,0.5,0,0.2,0.5,0,0.3,0.5,0.2,29.3,74.3,0.1,2.6,Valencia,LaLiga
125953,br,Aderlan Santos,27, D(C),193,83,17,0,1520,0,0,0,1,0.4,83.7,0,1.9,6.90,2.7,2.4,0.7,0.5,6.1,0.3,0.9,0.0,0.1,0.4,0.1,0.4,0.5,0.1,37.5,83.7,0,3.4,Valencia,LaLiga
83250,tn,Aymen Abdennour,26, D(C),187,84,22,0,1853,0,0,4,0,0.3,83.2,0,1.9,6.88,1.9,3,0.9,0.7,4.6,0.7,0.9,0,0.2,0.5,0,0.4,0.4,0.2,38.1,83.2,0,2.7,Valencia,LaLiga
27745,es,Javi Fuego,32, M(C),182,74,23,3,2047,0,0,10,1,0.2,85.2,0,1.1,6.82,2.4,2.9,2.1,0.1,1.1,1.2,0.4,0,0.4,1.2,0.1,0.7,0.8,0.4,48.2,85.2,0,3.1,Valencia,LaLiga
20665,br,Guilherme Siqueira,30, D(L),182,81,14,0,1097,0,0,1,0,0.4,83.5,0,0.7,6.79,1.9,2.6,1.1,0.4,1.6,0.5,0.2,0,0.1,0.9,0.1,0.7,0.4,0.1,33,83.5,0.4,0.6,Valencia,LaLiga
118123,pt,André Gomes,22, M(CL),188,84,27,3,2381,3,3,10,0,1.4,81,0,1.3,6.78,1.1,0.5,2,0,0.5,1.1,0.1,0,0.9,1.5,0.1,2.5,2,0.9,43.1,81,0.2,2.6,Valencia,LaLiga
30641,br,Diego Alves,30, GK,187,83,13,0,1170,0,0,1,0,0,60.5,1,0.1,6.76,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,27.5,60.5,0,9.1,Valencia,LaLiga
294056,,Danilo,20, DMC,183,74,16,3,1366,0,0,4,0,0.8,75.5,1,1.3,6.74,2.4,1.5,1.3,0.1,1,0.6,0.2,0,0.4,2.3,0,1.7,1.2,0.4,25.4,75.5,0.1,1.7,Valencia,LaLiga
95953,es,Paco Alcácer,22, FW,176,71,25,9,2420,13,6,2,0,1.8,74.9,1,0.4,6.74,0.6,0.5,0.5,0,0.6,0.2,0,0,1,0.5,1.1,1,1.7,1,13.6,74.9,0.0,0.2,Valencia,LaLiga
