player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
14231,es,Bruno,32, M(C),184,73,28,3,2594,5,1,5,1,0.8,86.4,5,1.8,7.14,1.7,3.1,0.7,0,2.5,0.5,0.4,0.0,0.5,0.6,0,0.7,0.8,0.5,54,86.4,0,2.8,Villarreal,LaLiga
243271,es,Adrián Marín,19, D(L),177,70,10,1,925,0,0,1,0,0.1,75.6,0,0.7,7.14,3.8,2.5,1.4,0.3,1.5,1.1,0.2,0.0,0.5,0.4,0.1,0.5,0.5,0.5,35,75.6,0.4,1.5,Villarreal,LaLiga
92516,fr,Alphonse Areola,23, GK,191,88,32,0,2880,0,0,1,0,0,46.7,3,0.6,7.09,0,0,0,0,1.1,0,0,0,0,0.3,0,0,0,0,21.6,46.7,0,6.9,Villarreal,LaLiga
61014,ar,Mateo Musacchio,25, D(C),180,73,12,1,1010,1,0,1,0,0.2,83,0,1,7.08,1.3,2.9,1,0.3,3.2,0.4,0.5,0.0,0.2,0.7,0.1,0.2,0.5,0.2,35.2,83,0,2.4,Villarreal,LaLiga
69965,es,Jaume Costa,28," D(L),M(L)",171,66,17,1,1538,1,1,8,0,0.2,78.4,2,0.9,7.01,3.1,2.7,1.4,0.4,2.7,0.6,0.2,0.0,0.3,1.1,0.1,0.2,0.3,0.3,33.9,78.4,0.2,1.8,Villarreal,LaLiga
79909,es,Mario,25, D(R),178,71,32,1,2874,2,2,8,0,1,72.9,1,1.1,6.93,2.5,2.6,0.8,0.4,2.6,0.8,0.2,0.0,0.3,0.4,0,0.4,0.5,0.3,38.6,72.9,0.2,1.8,Villarreal,LaLiga
106525,es,Denis Suárez,22, AM(CLR),181,72,25,8,2372,4,4,3,0,1.1,72.9,4,0.3,6.93,1.6,0.8,0.8,0,0.4,1,0.1,0.0,1.4,1.3,0.1,1.1,1.7,1.4,28.6,72.9,1.1,0.5,Villarreal,LaLiga
243814,ci,Eric Bailly,22, D(C),187,77,25,0,2026,0,0,9,1,0.2,76.9,2,1.6,6.92,1.8,2.6,1.4,0.4,4.7,0.2,0.6,0.0,0.1,1.2,0,0.3,0.3,0.1,31.1,76.9,0,1.9,Villarreal,LaLiga
18275,es,Roberto Soldado,31, FW,179,72,27,1,2256,5,10,12,0,1.4,68.4,2,0.8,6.87,0.8,0.5,1.9,0,1.3,0.4,0.1,0.0,1,2.1,0.8,1.1,2.3,1,28.5,68.4,0.1,0.9,Villarreal,LaLiga
22056,si,Bojan Jokic,30, D(L),176,75,2,0,126,0,0,0,1,0,69.2,0,1,6.87,2,2,1,0,4,0,0.5,0.0,0,0.5,0,0,0,0,26,69.2,0,1,Villarreal,LaLiga
79558,es,Víctor Ruiz,27, D(C),184,75,32,3,2990,0,0,9,0,0.1,80.6,1,1.7,6.86,0.6,3.2,0.9,0.7,4.9,0.3,0.5,1,0,0.3,0,0.1,0.4,0,43.7,80.6,0,3.3,Villarreal,LaLiga
82598,mx,Jonathan dos Santos,26, M(CR),172,74,20,6,1762,0,1,4,0,0.7,81.5,0,0.6,6.82,2,2,1,0,0.8,1.4,0.1,0.0,1,0.8,0.1,0.8,1.2,1,34.2,81.5,0.8,1.8,Villarreal,LaLiga
83504,es,Tomás Pina,28, M(C),184,75,19,8,1634,0,1,4,0,0.3,78.6,0,1.9,6.71,1.7,1.7,1.4,0,1.4,0.4,0.1,0.0,0.3,0.9,0,0.6,0.4,0.3,27.2,78.6,0,1.2,Villarreal,LaLiga
102234,es,Manu Trigueros,24, M(C),178,70,24,7,2119,2,1,5,0,0.9,81.9,1,0.8,6.68,1.9,1.1,0.9,0,0.9,0.7,0.1,0.0,0.5,0.7,0.1,0.7,0.7,0.5,37.8,81.9,0,2.8,Villarreal,LaLiga
14089,es,Adrián,28," M(LR),FW",180,71,10,6,793,4,4,1,0,0.5,68.4,0,1.4,6.65,0.2,0.1,0.3,0,0.3,0.2,0.1,0,0.9,0.5,0.9,1.9,1.4,0.9,21.4,68.4,0.1,0.4,Villarreal,LaLiga
238773,es,Samu Castillejo,21, AM(LR),179,61,19,9,1701,1,1,4,0,0.9,70.9,1,0.8,6.63,0.9,1,0.8,0,0.4,0.9,0.1,0.0,0.8,1.6,0.3,1.8,1.2,0.8,20.4,70.9,0.9,0.5,Villarreal,LaLiga
303139,,Rodrigo,20, Midfielder,190,85,1,2,94,0,0,1,0,0.7,86.8,0,0.3,6.61,1.7,1,0.3,0,2,0,0.3,0.0,0.3,0.3,0.3,0,0.3,0.3,25.3,86.8,0,1.3,Villarreal,LaLiga
28133,rs,Antonio Rukavina,32," D(LR),M(R)",177,73,14,4,1346,0,0,5,0,0.1,78.8,0,0.6,6.61,1.6,1.9,0.9,0.2,2.2,0.4,0.1,0.0,0.2,0.3,0.1,0.3,0.3,0.2,26.8,78.8,0.1,1.2,Villarreal,LaLiga
86513,fr,Cédric Bakambu,25," AM(LR),FW",182,74,21,13,1861,12,3,4,0,1.4,73.7,3,0.8,6.57,0.5,0.1,1.6,0,0.1,0.5,0.1,0,0.4,0.9,0.8,1.3,1.7,0.4,14,73.7,0.1,0.2,Villarreal,LaLiga
32258,es,Sergio Asenjo,26, GK,182,84,4,0,360,0,0,1,0,0,51.6,0,0.3,6.56,0.3,0,0.3,0,0.8,0,0,0,0,0.3,0,0,0,0,23.8,51.6,0,8,Villarreal,LaLiga
135233,es,Samuel,25," AM(R),FW",179,73,7,9,759,2,1,2,0,0.6,73.4,0,1,6.52,1.3,0.3,1.7,0,0.4,0.8,0.3,0.0,0.9,0.8,0.3,0.9,1.6,0.9,20.7,73.4,0.3,0.1,Villarreal,LaLiga
116227,br,Leo Baptistao,23," AM(CR),FW",181,71,12,14,1259,3,1,1,0,1.2,66.9,0,0.8,6.45,0.6,0.2,0.8,0,0.7,0.4,0.1,0,0.3,1.4,0.5,1.8,1.3,0.3,13.8,66.9,0.1,0.3,Villarreal,LaLiga
141633,ar,Nahuel,19, M(LR),174,67,11,9,1000,0,1,4,0,0.5,74.6,0,0.4,6.44,0.8,0.8,1.3,0,0.6,0.5,0.1,0.0,0.7,0.8,0.2,1.6,1.1,0.7,17.2,74.6,0.3,0.4,Villarreal,LaLiga
2247,it,Daniele Bonera,35, D(CR),183,74,10,4,974,0,0,3,1,0.2,85.6,0,0.5,6.43,0.7,2.1,1.1,0.3,1.9,0.3,0.5,0.0,0,0.4,0,0,0.2,0,34.6,85.6,0,2.9,Villarreal,LaLiga
276489,,Alfonso,20, Midfielder,182,75,2,0,107,0,0,0,0,0.5,68.4,0,0,6.42,0.5,1,1.5,0,0,1,0.5,0,0.5,0.5,0,1.5,0.5,0.5,9.5,68.4,0,0,Villarreal,LaLiga
141021,ar,Mariano Barbosa,31, GK,188,81,2,0,180,0,0,0,0,0,73,0,0,6.14,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,18.5,73,0,2,Villarreal,LaLiga
