player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
315312,fr,Aissa Laidouni,19, Midfielder,0,0,1,0.0,90,0.0,0.0,0.0,0.0,0.0,77.8,0.0,1,7.38,3,3,1,0.0,2,0.0,0.0,0.0,1,1,0,0,0,1,36,77.8,1,2,Angers,Ligue1
124837,sn,Cheikh Ndoye,30, M(C),192,90,32,0.0,2775,9,4,5,2,2.1,66,6,6.9,7.32,1.9,1.1,2.3,0,2.8,0.8,0.3,0.0,0.8,1.4,0.1,1.8,1.2,0.8,35.4,66,0,0.8,Angers,Ligue1
236519,fr,Romain Saiss,26," D(C),DMC",190,76,35,0.0,3107,2,2,12,0,0.8,79.7,0,2,7.13,2.3,2.3,1.4,0.2,3.1,0.9,0.7,0.0,0.4,0.9,0.1,0.4,0.4,0.4,47.6,79.7,0.1,3.5,Angers,Ligue1
236557,fr,Billy Ketkeophomphone,26," AM(LR),FW",180,71,31,4,2697,5,7,4,0,1.6,73.7,2,1.1,7.03,2,0.8,1.2,0,0.3,1,0.1,0.0,1.1,1.7,0,1.4,2.2,1.1,27.2,73.7,0.5,0.6,Angers,Ligue1
232577,fr,Romain Thomas,28, D(C),193,84,36,0,3220,2,0,8,0,0.3,84.2,2,2,7.00,1.8,2.1,1.3,0.8,4.6,0.4,0.9,0.0,0.1,0.9,0.1,0.1,0.3,0.1,35.1,84.2,0,3.3,Angers,Ligue1
75495,gn,Abdoul Camara,26, AM(LR),178,72,17,0,1460,2,0,4,0,1.7,78.2,0,0.9,6.98,1.6,1.2,1.1,0,0.3,0.5,0.1,0.0,1,1.2,0,1.7,2.1,1,23.2,78.2,0.7,0.2,Angers,Ligue1
6740,es,Ludovic Butelle,33, GK,188,84,19,0,1710,0,0,0,0,0,54.7,0,0.3,6.92,0,0.1,0,0,0.6,0.1,0,0,0,0.2,0,0,0.1,0,23.8,54.7,0,9,Angers,Ligue1
69859,fr,Yoann Andreu,27, D(L),177,70,31,0,2724,0,1,7,0,0.2,78.3,1,0.9,6.91,2,2.4,1.2,0.2,2.1,0.6,0.2,0.0,0.4,0.6,0,0.4,0.7,0.4,36.3,78.3,0.4,1.8,Angers,Ligue1
34212,fr,Thomas Mangani,29, M(C),183,79,31,2,2499,5,4,5,1,1,77.4,3,1.1,6.90,2,1,1,0,0.7,1.8,0.1,0.0,1.8,0.7,0,1,1.1,1.8,48.6,77.4,1.2,2.8,Angers,Ligue1
234358,fr,Alexandre Letellier,25, GK,191,81,17,0,1530,0,0,1,0,0,55.9,1,0.4,6.79,0,0,0,0,0.6,0,0,0,0.1,0.1,0,0,0,0.1,24.1,55.9,0,9.2,Angers,Ligue1
104222,fr,Gael Angoula,33, D(R),177,75,10,3,1011,0,0,3,0,0.2,71.7,0,0.8,6.76,2.5,2.5,0.9,0.3,2.1,1.1,0.2,0.0,0.5,1.7,0.1,0.2,0.3,0.5,29.6,71.7,0.5,1.2,Angers,Ligue1
27356,fr,Ismael Traoré,29, D(CR),184,89,34,0,2960,1,0,2,1,0.3,83.5,0,0.9,6.66,1.5,1.9,0.7,0.4,4,0.7,0.5,0.0,0.1,0.3,0,0.2,0.4,0.1,32.1,83.5,0.1,2.5,Angers,Ligue1
234365,fr,Vincent Manceau,26, D(R),174,65,27,0,2386,0,1,2,0,0.2,76.7,0,0.6,6.66,1.7,1.9,0.5,0.1,1.9,0.7,0.1,0.0,0.5,0.7,0,0.5,0.5,0.5,31.3,76.7,0.4,1.7,Angers,Ligue1
128361,fr,Pierrick Capelle,29, AM(CL),180,71,15,13,1259,4,0,4,1,1,76.5,0,0.5,6.54,1.3,0.9,1.1,0,0.3,1,0,0.0,0.7,0.5,0.1,1.1,1,0.7,18.1,76.5,0.3,0.5,Angers,Ligue1
5991,fr,Grégory Bourillon,31," D(C),DMC",187,74,6,2,512,1,0,1,0,0.4,70.7,0,1.5,6.54,2.9,1.3,1.1,0.1,1.5,1.3,0.0,0.0,0.3,0.8,0,0,0.4,0.3,26.9,70.7,0,1.5,Angers,Ligue1
234359,cg,Arnold Bouka Moutou,27," D(L),M(L)",175,69,12,11,1246,2,0,2,0,0.3,70.3,0,0.4,6.54,1,1,0.4,0,1.1,0.4,0.1,1,0.4,0.9,0,1,0.7,0.4,19.6,70.3,0.2,0.8,Angers,Ligue1
82232,fr,Gilles Sunu,25," AM(LR),FW",181,75,32,0,2445,2,1,4,0,1.4,76.7,0,0.8,6.51,0.8,0.3,1.1,0.1,0.1,0.7,0,0,0.8,2.4,0.3,1.8,2.8,0.8,21.3,76.7,0.5,0.3,Angers,Ligue1
83668,cg,Ferebory Dore,27, AM(R),194,81,7,2,619,0,1,2,0,1.2,73.9,0,1.3,6.43,0.9,0.8,2.4,0,0.4,1,0.1,0,0.7,1.1,0.1,1.8,2.2,0.7,22.1,73.9,0,0.2,Angers,Ligue1
109913,gn,Mohamed Yattara,22, FW,185,76,9,10,936,2,2,2,0,1,66.2,0,1.3,6.41,1.1,0.2,1.3,0.1,0.1,0.4,0,0.0,0.3,0.8,0.5,1.4,1.9,0.3,14,66.2,0,0,Angers,Ligue1
