player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
71381,tn,Wahbi Khazri,25, M(CLR),182,76,20,0.0,1588,5,7,7,0.0,2,77.4,6,1,7.44,2.1,0.7,1.4,0,0.4,1.1,0,0,2.7,2,0.6,2.7,2.1,2.7,29.4,77.4,2.3,2,Bordeaux,Ligue1
11367,fr,Mathieu Debuchy,30, D(R),177,76,9,0.0,783,0,0,1,0.0,0.7,77,0,2.2,7.33,4,4,1.7,0.1,2.8,1,0.0,0.0,0.3,0.9,0.3,0.4,0.8,0.3,32.9,77,0.8,1.4,Bordeaux,Ligue1
34949,sn,Henri Saivet,25," M(CLR),FW",175,73,18,0.0,1560,2,0,3,1,1.5,80.9,1,2.1,7.33,3.8,1.7,0.9,0,0.8,1.7,0.2,0.0,0.8,1.8,0,1.3,0.8,0.8,54.9,80.9,0.4,3.1,Bordeaux,Ligue1
115817,fr,Maxime Poundje,23, D(L),179,71,14,0.0,1260,0,1,3,0,0.4,81.6,0,1.7,7.18,2.7,2.5,0.9,0.3,2.8,0.9,0.4,0.0,0.3,1.1,0.1,1.4,0.8,0.3,34.5,81.6,0.9,1.4,Bordeaux,Ligue1
84899,,Nicolas Pallois,28, D(C),190,85,17,0.0,1473,1,1,3,1,0.5,81.3,2,2,7.11,2.1,2.6,0.8,0.6,5.1,0.6,0.7,1,0.2,0.5,0.1,0.5,0.5,0.2,44.9,81.3,0.2,4.7,Bordeaux,Ligue1
144236,fr,Jerome Prior,20, GK,184,88,11,2,1074,0,0,0,0,0,54.5,1,0.4,7.08,0.2,0.1,0,0,1.2,0,0,0,0,0.1,0,0,0,0,30.2,54.5,0,11.6,Bordeaux,Ligue1
70097,de,Diego Contento,26, D(L),177,74,24,1,2113,2,0,4,0,0.5,78.6,2,1,7.05,3,2.6,0.7,0.3,2,0.8,0.2,0.0,0.6,1.6,0.1,0.5,1.1,0.6,37.6,78.6,0.8,1.8,Bordeaux,Ligue1
14116,fr,Clément Chantôme,28, M(C),180,71,25,1,2180,1,0,9,0,0.6,88.6,1,3.9,7.04,2.5,1.9,1.5,0,1.8,1.3,0,0.0,0.5,1.7,0,0.9,1,0.5,57.8,88.6,0.1,3.7,Bordeaux,Ligue1
6508,cz,Jaroslav Plasil,34, M(C),182,72,25,2,2200,3,3,2,0,0.7,86.1,2,1.3,7.01,2.3,1.3,0.8,0,1,1.3,0,0.0,0.9,1.4,0.1,1.1,0.9,0.9,44.9,86.1,0.2,1.7,Bordeaux,Ligue1
248098,fr,Cédric Yambéré,25," D(C),DMC",191,81,24,3,2254,3,0,6,0,0.8,83.4,2,1.9,6.99,2.1,2.4,1.3,0.8,5,0.7,0.5,0,0.1,0.8,0,0.4,0.5,0.1,38.3,83.4,0.1,2.1,Bordeaux,Ligue1
