player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
34176,fr,Damien Da Silva,28, D(C),183,81,28,0.0,2483,2,0.0,4,1,0.6,79.8,3,2.9,7.28,2.6,3.2,0.8,0.7,5.3,0.3,0.5,0.0,0.1,0.8,0.1,0.4,0.2,0.1,35.5,79.8,0,4.6,Caen,Ligue1
109921,tn,Syam Ben Youssef,27, D(C),189,82,16,2,1477,3,1,1,1,0.3,71.9,1,3.6,7.25,2.7,3.2,1.3,0.4,5.4,0.7,0.4,0.0,0.4,0.6,0.1,0.2,0.3,0.4,27.5,71.9,0.1,3.1,Caen,Ligue1
68277,fr,Ronny Rodelin,26," AM(CLR),FW",192,82,33,1,2803,10,2,1,0,2.1,65.2,4,4.6,7.18,1.2,0.7,0.6,0,1.1,0.4,0,1,1.1,1.1,0.6,0.9,1.5,1.1,29.9,65.2,0.4,1.6,Caen,Ligue1
79976,fr,Andy Delort,24, FW,182,82,34,2,3142,12,2,5,0,3.9,58.3,4,4.4,7.13,0.9,0.3,2.3,0,0.2,0.6,0,0,1.1,2.1,1.1,2.2,3,1.1,26.2,58.3,0.4,0.6,Caen,Ligue1
91088,fr,Dennis Appiah,24, D(LR),179,68,38,0,3420,1,1,2,0,0.3,66.7,0,1.8,7.01,3.7,1.8,0.9,0.1,2.6,1.4,0.3,0.0,0.7,0.4,0.1,0.6,0.9,0.7,24.4,66.7,0.7,1.1,Caen,Ligue1
23236,fr,Julien Féret,33, M(C),187,76,37,1,3275,4,8,1,0,0.8,74.3,5,1.6,6.93,1.1,1.1,0.4,0,1.1,1.3,0.1,0,1.9,1.2,0.1,1.5,1.9,1.9,42,74.3,0.9,3,Caen,Ligue1
97723,km,Chaker Alhadhur,24, D(LR),172,65,8,2,786,0,0,2,0,0,82.9,0,0.4,6.92,3.6,3.6,1.3,0.2,1,0.9,0.2,0.0,0.4,0.6,0,0.6,0.4,0.4,28.6,82.9,0.2,0.7,Caen,Ligue1
40921,bj,Emmanuel Imorou,27, D(L),181,69,15,0,1203,1,1,1,1,0.1,69.8,2,1.3,6.91,1.7,2.5,0.7,0.2,1.8,0.4,0.5,0.0,0.5,1.2,0.1,0.2,0.7,0.5,27.3,69.8,0.9,1.3,Caen,Ligue1
6047,tn,Alaeddine Yahia,34, D(C),187,81,26,0,2214,1,0,5,1,0.6,69.2,0,3.3,6.79,1.3,1.7,1.2,0.3,5,0.3,0.7,1,0.2,1.3,0.1,0.3,0.3,0.2,28.5,69.2,0,2.5,Caen,Ligue1
2446,fr,Rémy Vercoutre,35, GK,185,78,38,0,3420,0,0,2,0,0,52.6,1,0.2,6.78,0,0,0,0,0.8,0,0,0,0,0.1,0,0,0,0,24.9,52.6,0,11.4,Caen,Ligue1
29644,fr,Vincent Bessat,30," D(L),M(L)",178,73,32,3,2766,1,1,2,0,1.1,72.2,0,0.5,6.72,1.8,1.3,0.6,0.1,0.7,1.3,0.1,0.0,1,0.6,0.1,0.8,1.6,1,25.5,72.2,1.1,1.2,Caen,Ligue1
