player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
121858,gn,Issiaga Sylla,22," D(LR),M(L)",180,75,29,5,2694,0.0,4,7,2,0.6,72.2,3,1.8,7.05,3.2,3.4,1.7,0.2,1.8,0.9,0.1,1,0.9,0.7,0,1.8,1.3,0.9,33.4,72.2,0.9,1.6,GFC Ajaccio,Ligue1
296999,fr,Paul Andre Guerin,18, Goalkeeper,0,0,1,1,139,0.0,0,0,0,0,46.9,0,0.5,7.00,0,0,0,0,2,0,0,0,0,0,0,0,0,0,24.5,46.9,0,8.5,GFC Ajaccio,Ligue1
234403,fr,Roderic Filippi,27, D(C),183,81,21,5,1919,2,1,8,2,0.5,77,2,2.3,6.91,1.8,3.7,1.1,1,4.3,0.5,0.3,2,0.2,0.9,0,0.2,0.2,0.2,29.1,77,0,3.7,GFC Ajaccio,Ligue1
34183,cm,Jules Goda,27, Goalkeeper,190,80,3,0,221,0,0,0,0,0,62.3,1,0,6.91,0,0.3,0,0,0.3,0,0,0,0,0.3,0,0,0.3,0,25.7,62.3,0,8,GFC Ajaccio,Ligue1
232584,tn,Mohamed Larbi,28, AM(C),186,76,26,4,2289,8,3,0,0,1.4,80.6,3,0.2,6.85,1.3,0.4,0.7,0,0.3,1.2,0,0,1.5,0.6,0.1,1.6,1.8,1.5,36.6,80.6,0.8,1.7,GFC Ajaccio,Ligue1
234405,fr,Pablo Martinez,27, D(CL),182,77,26,2,2206,0,1,4,0,0.3,75.7,0,1.8,6.85,2.4,3,0.9,0.4,2.1,1,0.3,1,0.2,1,0,0.5,0.4,0.2,30,75.7,0.3,1.4,GFC Ajaccio,Ligue1
15224,sn,Kader Mangane,33," D(C),DMC",190,80,28,3,2553,1,1,7,0,0.5,74.6,0,2.1,6.84,1.9,2.1,1.1,0.8,4.7,0.8,0.3,0,0.5,0.7,0.1,0.3,0.5,0.5,32.8,74.6,0,3.4,GFC Ajaccio,Ligue1
69857,fr,Alassane Toure,27, D(R),187,80,11,2,951,1,0,5,0,0.5,71.2,0,1,6.84,3.1,2.6,1.7,0.1,1.2,1,0.1,0,0.5,1.5,0,0.7,1.2,0.5,25.4,71.2,0.5,2.2,GFC Ajaccio,Ligue1
101737,fr,Alexandre Coeff,24, D(CR),184,67,22,2,1997,0,2,5,0,0.4,70.4,0,0.9,6.83,2.7,2.6,1,0.7,1.9,1.8,0.3,0,0.9,0.5,0,0.6,0.7,0.9,38.3,70.4,0.8,3.3,GFC Ajaccio,Ligue1
1220,fr,Jeremie Bréchet,36, D(C),186,81,23,0,1938,0,0,0,0,0,80.9,0,1.4,6.74,1.3,3,0.4,1.1,3.3,0.4,0.6,0,0.1,0.5,0,0.1,0.1,0.1,38.2,80.9,0,3.8,GFC Ajaccio,Ligue1
288897,ma,Khalid Boutaib,29, FW,190,80,22,9,1929,6,1,3,0,1.8,71.9,4,2.8,6.71,1.2,0.7,1.4,0,0.7,1.2,0,0,0.9,1,0.7,1.5,2.3,0.9,21.9,71.9,0.2,0.3,GFC Ajaccio,Ligue1
25566,fr,David Ducourtioux,38, M(CR),177,68,29,4,2655,0,3,12,0,1,76.4,0,0.5,6.68,2.3,1.6,1.7,0,0.8,1.2,0.2,0,1.2,1.2,0,0.7,1.4,1.2,44.5,76.4,0.7,4.7,GFC Ajaccio,Ligue1
22700,fr,Jerome Le Moigne,33, DMC,188,77,27,4,2465,0,1,14,1,0.4,79.8,0,2.3,6.67,1.4,2.9,1.7,0,1.2,0.7,0.1,0,0.4,0.7,0,0.3,0.5,0.4,40.5,79.8,0.1,2.4,GFC Ajaccio,Ligue1
4495,fr,Grégory Pujol,36, FW,183,70,12,7,1142,5,0,2,0,1.4,71.9,0,2.2,6.63,0.5,0.3,1.5,0,0.6,0.4,0.1,0,0.7,0.5,0.5,1.3,1.8,0.7,17.1,71.9,0.1,0.6,GFC Ajaccio,Ligue1
