player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
93147,fr,Nicolas Benezet,25, AM(CLR),170,65,14,5,1241,4,4,2,1,1.2,73.8,3,0.9,7.20,1.8,1.5,0.8,0,0.1,0.8,0,0,1.9,2.1,0.2,1.5,1.7,1.9,21.1,73.8,1.8,1,Guingamp,Ligue1
32166,fr,Younousse Sankhare,26, M(C),184,76,33,0,2921,6,2,9,2,0.8,77.3,4,1,7.12,2.8,2.3,1.6,0,1,1.2,0.2,0,0.5,1.5,0.1,1.2,0.8,0.5,40.2,77.3,0.1,1.5,Guingamp,Ligue1
29998,fr,Jonathan Pereira,30, D(R),182,78,16,0,1384,0,3,3,0,0.3,76.2,0,1.4,7.12,2.6,3.4,1.1,0.3,2.3,0.8,0.3,0,0.7,0.4,0,0.5,0.5,0.7,36.8,76.2,0.2,2.3,Guingamp,Ligue1
81943,fr,Dorian Lévêque,26, D(LR),180,74,13,1,1205,1,0,2,0,0.6,72.6,0,1.2,7.09,2.9,3.3,1.4,0.1,2.4,0.3,0.4,0.0,0.1,1.4,0,0.1,0.6,0.1,31.3,72.6,0.1,2.4,Guingamp,Ligue1
72757,fr,Yannis Salibur,25," AM(LR),FW",177,76,28,2,2340,7,6,3,1,2.6,75.2,3,0.7,7.02,1.2,0.8,1.2,0,0.1,0.6,0,0,0.9,2.4,0.3,1.5,2.1,0.9,17.6,75.2,1.2,0.2,Guingamp,Ligue1
104235,fr,Christophe Kerbrat,29, D(C),183,74,29,0,2590,0,0,7,0,0.1,79.9,0,1.1,6.97,2.3,3.6,0.9,0.7,6.1,0.7,0.7,1,0.1,0.8,0.1,0.1,0.1,0.1,36.7,79.9,0,3.9,Guingamp,Ligue1
68861,ml,Mamadou Samassa,26, GK,198,88,1,0,90,0,0,0,0,0,46.4,0,0,6.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,46.4,0,11,Guingamp,Ligue1
58722,sn,Moustapha Diallo,30, DMC,190,75,21,9,1914,1,2,12,0,0.6,76.2,0,4.1,6.94,2.1,1.9,1.6,0,1.9,0.6,0.6,0,0.3,1.1,0.2,0.8,0.6,0.3,25.4,76.2,0,1.4,Guingamp,Ligue1
23906,fr,Jérémy Sorbon,32, D(C),183,79,34,0,3031,2,0,2,0,0.3,84.6,1,1.7,6.90,1.6,2.5,0.6,0.6,3.5,0.3,0.7,1,0,1.2,0,0.2,0.2,0,37.1,84.6,0,4.3,Guingamp,Ligue1
10427,fr,Thibault Giresse,35, AM(CL),172,65,20,5,1706,4,4,2,1,0.9,75.3,3,0.6,6.90,2,0.6,0.5,0,0.6,1.1,0,0,1.7,0.9,0,1.2,0.9,1.7,24,75.3,1.8,1.4,Guingamp,Ligue1
131171,dk,Jonas Lössl,27, GK,195,89,37,0,3330,0,0,0,0,0,53.4,1,0.2,6.83,0,0.1,0,0,0.7,0,0,0,0,0.1,0,0,0,0,26.9,53.4,0,9.3,Guingamp,Ligue1
296848,fr,Franck Hery,23, Defender,185,77,3,0,270,0,0,1,0,0,80.3,0,1.3,6.77,1.7,3,0.3,1,3.3,0.7,1,0,0,2,0,0.3,0,0,42.3,80.3,0,7.7,Guingamp,Ligue1
6890,fr,Jimmy Briand,30," M(R),FW",183,80,33,2,2938,7,7,2,0,1.9,74,3,1.5,6.74,0.6,0.3,1.1,0,0.4,0.8,0.1,0,1.2,2.1,0.6,3.3,2.7,1.2,29.4,74,0.3,0.5,Guingamp,Ligue1
299562,fr,Ludovic Blas,18, Midfielder,180,64,6,8,640,1,2,1,0,0.8,69.8,0,0.8,6.68,1.4,0.9,1.1,0,0.3,0.5,0.1,0,0.6,0.6,0.1,1.1,0.7,0.6,14.4,69.8,0.4,0.7,Guingamp,Ligue1
33862,fr,Sloan Privat,26, FW,186,85,14,13,1252,7,1,3,0,1.4,58.4,0,3.6,6.65,0.1,0.1,1,0,0.2,0.1,0,0,0.5,1,0.4,0.7,0.9,0.5,11.2,58.4,0.1,0.1,Guingamp,Ligue1
2135,fr,Lionel Mathis,34, DMC,174,72,17,3,1383,0,1,6,1,0.6,80,0,1.5,6.60,2.2,0.8,1.4,0,1.8,1.6,0.1,0,0.4,1.3,0,0.3,0.3,0.4,37.5,80,0.2,2.4,Guingamp,Ligue1
256539,fr,Marcus Coco,19, AM(LR),180,75,20,10,1731,1,2,6,0,0.7,62,0,1.9,6.58,1.4,1,2.1,0,0.1,0.9,0.1,0,0.7,1.7,0.1,1.7,2.2,0.7,13.2,62,0.3,0.5,Guingamp,Ligue1
7989,fr,Reynald Lemaître,32, D(L),175,68,5,1,451,0,0,2,0,0,59.1,0,1.3,6.52,2.8,1,1,0.3,1.3,0.7,0.5,1,0.3,0.3,0,0.5,0.2,0.3,25.7,59.1,0.2,2.2,Guingamp,Ligue1
2235,dk,Lars Jacobsen,36, D(LR),181,78,31,1,2752,0,3,3,0,0.1,75,0,0.5,6.51,1.3,1.1,0.5,0.1,2.1,0.3,0.3,0,0.5,0.5,0.1,0.2,0.3,0.5,25,75,0.6,1.8,Guingamp,Ligue1
31819,fr,Maxime Baca,33, D(LR),174,68,2,0,180,0,0,0,0,0,74.1,0,1.5,6.51,2.5,3.5,0.5,1,3.5,0,0,1,1,2,0,0,0.5,1,29,74.1,0.5,4,Guingamp,Ligue1
29414,ci,Benjamin Angoua,29, D(CR),183,72,13,5,1236,1,0,4,0,0.2,77.7,0,1.3,6.47,1.2,1.9,1.2,0.3,4.2,0.2,0.4,0,0,0.3,0,0.1,0.3,0,24.9,77.7,0,1.2,Guingamp,Ligue1
136805,fr,Laurent Dos Santos,23, D(L),177,70,6,3,600,0,0,1,0,0.1,58.6,0,1.2,6.44,1.7,1.6,0.7,0.1,3.2,0.9,0,0,0.2,0.1,0,0.1,0.6,0.2,20.1,58.6,0.2,1.1,Guingamp,Ligue1
19248,tr,Mevlüt Erdinc,29, FW,181,84,11,4,875,4,0,0,0,1.2,73.9,0,1.1,6.43,0.3,0.1,0.5,0,0.3,0.1,0,0,0.4,0.7,0.7,1.3,1.6,0.4,11.7,73.9,0.1,0.3,Guingamp,Ligue1
6301,fr,Julien Cardy,34, Midfielder,176,71,4,10,503,0,0,1,0,0.4,75.8,0,0.3,6.38,1.1,1.1,0.6,0,0.8,0.5,0.1,0,0.1,0.6,0,0.4,0.2,0.1,16.5,75.8,0,1,Guingamp,Ligue1
140697,fr,Julien Begue,22, Forward,168,60,0,3,43,0,1,1,0,0.7,63.6,0,0,6.33,0,0.3,0.3,0,0,0,0,0,0.3,1,0,0.3,0.3,0.3,3.7,63.6,0,0,Guingamp,Ligue1
300490,fr,Jeremy Livolant,18, Midfielder,174,63,0,1,7,0,0,0,0,0,100,0,0,6.27,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,100,1,0,Guingamp,Ligue1
58780,be,Nill de Pauw,26, AM(R),180,70,3,10,359,0,0,2,0,0.8,64.8,0,0.5,6.27,0.9,0.8,0.5,0,0.4,0.2,0,0,0.2,0.2,0,0.5,0.8,0.2,9.8,64.8,0.3,0.5,Guingamp,Ligue1
