player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
234363,ma,Sofiane Boufal,22," AM(CLR),FW",170,60,27,2,2343,11,4,10,2,1.7,77.1,6,0.4,7.56,1.8,0.2,2,0,0.1,0.8,0,0.0,2.5,2.5,0.0,3.9,3.3,2.5,32.1,77.1,1.5,0.8,Lille,Ligue1
10454,ml,Djibril Sidibe,23, D(LR),182,73,36,1,3275,4,3,3,0,1.1,78.5,3,1.5,7.45,3.3,3.2,1.1,0.3,1.5,1.2,0.3,0.0,1,1.5,0.2,1.6,1.9,1,40.8,78.5,0.6,1.5,Lille,Ligue1
43922,pt,Eder,28, FW,188,81,12,1,1073,6,4,1,0,2.4,70.9,2,3.8,7.26,0.4,0.4,2.1,0,0.9,0.4,0.2,0.0,0.7,2.5,0.8,1.5,3.9,0.7,25.2,70.9,0.0,0.2,Lille,Ligue1
141646,fr,Mike Maignan,20, Goalkeeper,190,80,3,1,288,0,0,0,0,0,65.3,0,0.3,7.21,0,0,0,0,0.3,0,0,0.0,0,0,0,0,0.3,0,18.8,65.3,0,3,Lille,Ligue1
14060,me,Marko Basa,33, D(C),190,86,15,0,1331,0,0,1,0,0.9,87.6,0,3.2,7.13,0.6,2.1,0.9,0.4,4.2,0,0.5,0.0,0.1,1.7,0.1,0.2,0.3,0.1,42.3,87.6,0.1,2.3,Lille,Ligue1
141592,zm,Stoppila Sunzu,26, D(C),189,80,10,2,918,1,0,0,1,0.8,79.2,1,3.7,7.13,2.3,1.8,1.6,0.3,3.7,0.5,0.2,0.0,0,0.5,0.2,0.1,0.3,0,34.4,79.2,0,1.9,Lille,Ligue1
118885,fr,Ibrahim Amadou,23, DMC,183,77,18,4,1665,1,0,2,0,0.5,80.9,2,2,7.10,2.1,2.9,1,0.1,1.5,0.6,0.2,0.0,0.2,0.6,0,0.7,0.6,0.2,38.4,80.9,0,2.2,Lille,Ligue1
18117,ar,Renato Civelli,32, D(C),193,89,32,0,2762,0,0,6,2,0.5,70.4,3,3.6,7.05,1.5,2,1,0.3,5.1,0.4,0.6,0.0,0.2,0.8,0,0.3,0.2,0.2,37.9,70.4,0,2.7,Lille,Ligue1
71293,fr,Sébastien Corchia,25," D(R),M(R)",176,69,30,3,2632,2,2,6,0,0.7,75,2,1.3,7.03,2.3,2,1.1,0.3,1.7,0.4,0.3,0.0,0.7,1.7,0.1,0.9,0.9,0.7,21.5,75,0.8,0.8,Lille,Ligue1
22797,fr,Morgan Amalfitano,31, M(CLR),176,68,10,5,958,2,0,2,0,0.9,80.2,2,0.5,7.00,0.9,1.5,0.8,0,0.3,0.4,0,0.0,1.3,0.7,0.4,1.9,1.2,1.3,26.3,80.2,1,0.4,Lille,Ligue1
34230,ma,Mounir Obbadi,33, M(C),172,65,25,5,2303,1,4,8,0,1,85.4,0,0.2,7.00,2.6,2,1.5,0,0.5,1.4,0.1,0.0,1.8,0.8,0.1,1,0.7,1.8,55.7,85.4,0.2,2.8,Lille,Ligue1
11895,fr,Adama Soumaoro,24, D(CR),187,93,25,3,2320,1,0,6,0,0.4,84.9,1,2.8,6.99,1.1,2.1,0.9,0.4,4.3,0.1,0.7,0.0,0.1,0.7,0.1,0.2,0.3,0.1,32.4,84.9,0,1,Lille,Ligue1
90106,fr,Éric Bautheac,28, AM(LR),168,65,25,3,2168,2,1,7,0,1.9,73,1,1,6.88,2,1.6,1.4,0,0.5,0.8,0,0.0,1,1,0.1,1.9,1.4,1,27.8,73,1.2,0.8,Lille,Ligue1
3525,ng,Vincent Enyeama,33, GK,182,87,35,0,3129,0,0,3,1,0,54.5,0,0.3,6.86,0,0,0,0,0.8,0.1,0,0.0,0,0.1,0,0,0,0,27.6,54.5,0,7.7,Lille,Ligue1
299162,fr,Nolan Mbemba,21, Midfielder,181,72,1,0,66,0,0,0,0,0,89.5,0,0,6.72,0,2,2,0,0,0,0,0.0,0,0,0,3,1,0,38,89.5,0,2,Lille,Ligue1
